n,m,dinic
900,37300,3096792
900,37400,3022690
900,37500,3036881
900,37600,3081336
900,37700,3325974
900,37800,3132167
900,37900,3163654
900,38000,3081216
900,38100,3121462
900,38200,3521429
900,38300,2892804
900,38400,3030283
900,38500,3543895
900,38600,3121927
900,38700,3165836
900,38800,3151396
900,38900,3998129
900,39000,3334830
900,39100,3435312
900,39200,3244350
900,39300,3189434
900,39400,3135117
900,39500,3085897
900,39600,3015837
900,39700,2977582
900,39800,3198316
900,39900,3382164
900,40000,3160790
900,40100,3096334
900,40200,3160867
900,40300,3360851
900,40400,3073238
900,40500,2906171
900,40600,3222395
900,40700,3316706
900,40800,3083352
900,40900,3228107
900,41000,3128942
900,41100,3159626
900,41200,3192732
900,41300,3299633
900,41400,3114744
900,41500,4338433
900,41600,3489768
900,41700,3050454
900,41800,3263698
900,41900,3247885
900,42000,3315518
900,42100,3072605
900,42200,3258887
900,42300,3388284
900,42400,4069210
900,42500,3044013
900,42600,3970273
900,42700,5261403
900,42800,3005860
900,42900,3935444
900,43000,3350905
900,43100,3225223
900,43200,3217770
900,43300,3500974
900,43400,3206255
900,43500,3214519
900,43600,3325304
900,43700,3222580
900,43800,3234949
900,43900,3347522
900,44000,3224677
900,44100,3567297
900,44200,3318223
900,44300,3249502
900,44400,3416225
900,44500,3571560
900,44600,3843534
900,44700,3407319
900,44800,3643800
900,44900,7171087
900,45000,3249339
900,45100,3212487
900,45200,3771357
900,45300,3593702
900,45400,3400867
900,45500,3989112
900,45600,3589689
900,45700,3934937
900,45800,3834264
900,45900,3583214
900,46000,3398803
900,46100,4120994
900,46200,4099133
900,46300,3767764
900,46400,4157859
900,46500,4646178
900,46600,4128152
900,46700,4072872
900,46800,4036159
900,46900,4065278
900,47000,4106819
900,47100,4046520
900,47200,4246344
900,47300,3544811
900,47400,3574640
900,47500,3725684
900,47600,3610406
900,47700,3487648
900,47800,3891419
900,47900,3584631
900,48000,3711877
900,48100,3686122
900,48200,3604244
900,48300,3533269
900,48400,3623660
900,48500,3399951
900,48600,11906598
900,48700,3805252
900,48800,3496864
900,48900,5163701
900,49000,3679821
900,49100,3712525
900,49200,3634166
900,49300,3850956
900,49400,3691761
900,49500,3720471
900,49600,3647467
900,49700,3787642
900,49800,3504454
900,49900,3943887
900,50000,4063727
900,50100,3691534
900,50200,3775115
900,50300,3718646
900,50400,4118426
900,50500,3665388
900,50600,3738345
900,50700,3943590
900,50800,4234658
900,50900,3710194
900,51000,3855812
900,51100,4197030
900,51200,3681797
900,51300,4248300
900,51400,4243427
900,51500,3832502
900,51600,3995946
900,51700,4239286
900,51800,3999840
900,51900,4026920
900,52000,3903216
900,52100,3905475
900,52200,3968552
900,52300,4344726
900,52400,4539757
900,52500,4016358
900,52600,5055958
900,52700,4120587
900,52800,4097306
900,52900,4171603
900,53000,4006205
900,53100,4417865
900,53200,4272937
900,53300,4030670
900,53400,4010302
900,53500,4239432
900,53600,4394892
900,53700,4686555
900,53800,3986081
900,53900,4198573
900,54000,4896685
900,54100,4651877
900,54200,4763392
900,54300,4930541
900,54400,5741682
900,54500,4687158
900,54600,5016851
900,54700,5228994
900,54800,7058949
900,54900,4790201
900,55000,5187929
900,55100,4743001
900,55200,5091333
900,55300,5721183
900,55400,4857873
900,55500,5013351
900,55600,4838849
900,55700,4996417
900,55800,5744108
900,55900,4797910
900,56000,4978788
900,56100,4936969
900,56200,4900091
900,56300,5251662
900,56400,4721039
900,56500,5206175
900,56600,5255234
900,56700,6322718
900,56800,5034347
900,56900,5662575
900,57000,5686207
900,57100,5055810
900,57200,5004247
900,57300,4617620
900,57400,4761483
900,57500,5147174
900,57600,6349984
900,57700,5310959
900,57800,5147493
900,57900,4931856
900,58000,5089782
900,58100,5549992
900,58200,5646969
900,58300,5422212
900,58400,5411493
900,58500,5463910
900,58600,5477940
900,58700,5070666
900,58800,5531419
900,58900,5061791
900,59000,5313294
900,59100,5958954
900,59200,5553997
900,59300,6015230
900,59400,5389405
900,59500,6142320
900,59600,5232855
900,59700,5549943
900,59800,5387090
900,59900,5302001
900,60000,5405808
900,60100,7627762
900,60200,6217241
900,60300,5397547
900,60400,5257413
900,60500,5391185
900,60600,5834448
900,60700,5408945
900,60800,6435160
900,60900,5709301
900,61000,5568626
900,61100,5597901
900,61200,5658327
900,61300,5356805
900,61400,5933531
900,61500,5941536
900,61600,6367857
900,61700,5934896
900,61800,5966287
900,61900,5983202
900,62000,6185421
900,62100,5909528
900,62200,5561552
900,62300,5707105
900,62400,5753650
900,62500,5960928
900,62600,6258701
900,62700,5827914
900,62800,6166982
900,62900,5922600
900,63000,5887421
900,63100,6153470
900,63200,6327008
900,63300,5916388
900,63400,6683863
900,63500,5757379
900,63600,6854937
900,63700,6151743
900,63800,6204286
900,63900,5806635
900,64000,6159293
900,64100,7807817
900,64200,6188438
900,64300,6279500
900,64400,6337483
900,64500,6075876
900,64600,6090381
900,64700,8114144
900,64800,6447505
900,64900,6265511
900,65000,6676724
900,65100,6400054
900,65200,6792436
900,65300,6461077
900,65400,7896005
900,65500,9414717
900,65600,7411963
900,65700,7557432
900,65800,7497920
900,65900,7801465
900,66000,7478740
900,66100,7283955
900,66200,7411784
900,66300,9018729
900,66400,7362234
900,66500,7548244
900,66600,7376425
900,66700,8037771
900,66800,7620060
900,66900,7426586
900,67000,7769059
900,67100,8347898
900,67200,7790992
900,67300,8466325
900,67400,7510534
900,67500,8576192
900,67600,7244358
900,67700,7571660
900,67800,7391455
900,67900,7676214
900,68000,7377861
900,68100,7307228
900,68200,7897094
900,68300,8156097
900,68400,8409093
900,68500,7974152
900,68600,7969514
900,68700,9025355
900,68800,9604902
900,68900,11483753
900,69000,11424974
900,69100,10729980
900,69200,9229970
900,69300,8447697
900,69400,7844660
900,69500,8909163
900,69600,7819190
900,69700,7862145
900,69800,8417605
900,69900,7701472
900,70000,8383142
900,70100,7972997
900,70200,8076583
900,70300,8351121
900,70400,7586601
900,70500,9125710
900,70600,11046706
900,70700,8174685
900,70800,8102956
900,70900,8317532
900,71000,8788250
900,71100,8775180
900,71200,9250675
900,71300,7976890
900,71400,9729784
900,71500,8486934
900,71600,8584514
900,71700,8547834
900,71800,8472367
900,71900,8487149
900,72000,9104856
900,72100,9933775
900,72200,8140496
900,72300,8707691
900,72400,9405980
900,72500,8714753
900,72600,9379006
900,72700,9211991
900,72800,9213220
900,72900,8555263
900,73000,11124781
900,73100,9161287
900,73200,8964754
900,73300,9999412
900,73400,12158834
900,73500,10910422
900,73600,10931536
900,73700,10227486
900,73800,9467831
900,73900,8707922
900,74000,9452962
900,74100,8889331
900,74200,14189307
900,74300,8973954
900,74400,8667127
900,74500,8950441
900,74600,9869402
900,74700,8546511
900,74800,8898763
900,74900,8839549
900,75000,9335813
900,75100,9091213
900,75200,9266779
900,75300,9776872
900,75400,9432565
900,75500,9852251
900,75600,8971588
900,75700,9146275
900,75800,9523038
900,75900,8777642
900,76000,8840395
900,76100,9650782
900,76200,9167362
900,76300,9274691
900,76400,9076238
900,76500,9567646
900,76600,9458590
900,76700,11658074
900,76800,9194617
900,76900,9102381
900,77000,9212044
900,77100,8962554
900,77200,9422111
900,77300,9481843
900,77400,8885527
900,77500,9299955
900,77600,9159726
900,77700,9732040
900,77800,9041930
900,77900,9644119
900,78000,9319027
900,78100,9108533
900,78200,9735100
900,78300,9323523
900,78400,9496741
900,78500,9200025
900,78600,9737854
900,78700,9539911
900,78800,9253937
900,78900,9488935
900,79000,10273124
900,79100,9374237
900,79200,8931051
900,79300,9375506
900,79400,9728470
900,79500,9371573
900,79600,9331890
900,79700,9794647
900,79800,9699405
900,79900,9995720
900,80000,9410960
900,80100,9734608
900,80200,9235204
900,80300,9758884
900,80400,10799799
900,80500,14292879
900,80600,9392979
900,80700,9513945
900,80800,9759847
900,80900,9396878
900,81000,9485063
900,81100,9660044
900,81200,9638805
900,81300,10514067
900,81400,9534262
900,81500,9883182
900,81600,10345971
900,81700,10357143
900,81800,9865799
900,81900,9760698
900,82000,9945829
900,82100,12588784
900,82200,10275740
900,82300,9691672
900,82400,9555589
900,82500,9678356
900,82600,10433397
900,82700,9783296
900,82800,9681661
900,82900,9633323
900,83000,12688019
900,83100,10133142
900,83200,9471255
900,83300,10582776
900,83400,9669403
900,83500,10677634
900,83600,10895115
900,83700,9588488
900,83800,11241529
900,83900,9904862
900,84000,13417687
900,84100,10051634
900,84200,9617419
900,84300,10181783
900,84400,9910265
900,84500,11215545
900,84600,10482048
900,84700,10245566
900,84800,10782979
900,84900,11228440
900,85000,10094809
900,85100,11534509
900,85200,12010132
900,85300,11251087
900,85400,10252165
900,85500,12471389
900,85600,10216002
900,85700,10637652
900,85800,11336011
900,85900,13288893
900,86000,10647640
900,86100,10794569
900,86200,11063538
900,86300,12180138
900,86400,10710028
900,86500,11463325
900,86600,10774577
900,86700,12685872
900,86800,10847176
900,86900,11712317
900,87000,12265055
900,87100,10694695
900,87200,10767317
900,87300,11176454
900,87400,17454970
900,87500,13759658
900,87600,13367658
900,87700,14213217
900,87800,10978744
900,87900,13244488
900,88000,10928580
900,88100,12183371
900,88200,11017095
900,88300,11128378
900,88400,10683001
900,88500,14452866
900,88600,13684726
900,88700,12651037
900,88800,15076203
900,88900,11848492
900,89000,16446577
900,89100,14947096
900,89200,14741878
900,89300,11832110
900,89400,12028183
900,89500,15120631
900,89600,20371443
900,89700,11291313
900,89800,11406910
900,89900,11503824
900,90000,11592718
900,90100,13861327
900,90200,12571285
900,90300,12244813
900,90400,12001131
900,90500,11372123
900,90600,11265749
900,90700,12919690
900,90800,20902377
900,90900,16514569
900,91000,16902665
900,91100,17145231
900,91200,11578293
900,91300,12462319
900,91400,11865897
900,91500,12077286
900,91600,11879751
900,91700,11685704
900,91800,12891356
900,91900,12540167
900,92000,11543666
900,92100,12590291
900,92200,12117460
900,92300,11519639
900,92400,11411103
900,92500,12553278
900,92600,13391624
900,92700,12354384
900,92800,11592753
900,92900,12916366
900,93000,12350373
900,93100,11859359
900,93200,12529030
900,93300,11982660
900,93400,15679586
900,93500,14778015
900,93600,12140430
900,93700,14186628
900,93800,13620915
900,93900,12068362
900,94000,11531054
900,94100,11449720
900,94200,11323459
900,94300,11854161
900,94400,12053618
900,94500,11568260
900,94600,11352108
900,94700,11244625
900,94800,11828806
900,94900,12026444
900,95000,12479045
900,95100,11819218
900,95200,11842161
900,95300,12279762
900,95400,13152319
900,95500,13168378
900,95600,12292360
900,95700,11881281
900,95800,12010283
900,95900,11953688
900,96000,12337719
900,96100,11694308
900,96200,11860502
900,96300,12148713
900,96400,11919943
900,96500,12192175
900,96600,12124567
900,96700,12181587
900,96800,13699948
900,96900,13627026
900,97000,12635601
900,97100,13016794
900,97200,12379502
900,97300,12237652
900,97400,12534526
900,97500,12313361
900,97600,12325834
900,97700,12368722
900,97800,13098011
900,97900,12910165
900,98000,12451288
900,98100,12481528
900,98200,12546484
900,98300,12092175
900,98400,13529979
900,98500,12925041
900,98600,12558662
900,98700,12966928
900,98800,13341793
900,98900,13322796
900,99000,12610599
900,99100,13904044
900,99200,13964895
900,99300,12937734
900,99400,12628236
900,99500,14060867
900,99600,12539133
900,99700,12846452
900,99800,12812963
900,99900,12311899
900,100000,12687547
900,100100,12360826
900,100200,12616825
900,100300,12668332
900,100400,12469089
900,100500,12516364
900,100600,12030040
900,100700,12198137
900,100800,15867391
900,100900,12256625
900,101000,12846566
900,101100,12643054
900,101200,12993925
900,101300,12946862
900,101400,12523749
900,101500,13060415
900,101600,12500058
900,101700,12548276
900,101800,12589125
900,101900,13562186
900,102000,12970022
900,102100,13243572
900,102200,12840634
900,102300,12903627
900,102400,13948863
900,102500,14009639
900,102600,12984052
900,102700,16350025
900,102800,16469893
900,102900,15029150
900,103000,14361263
900,103100,13042536
900,103200,12936881
900,103300,13450414
900,103400,12634894
900,103500,13278152
900,103600,14804122
900,103700,15705225
900,103800,14478484
900,103900,13197661
900,104000,13726074
900,104100,13715879
900,104200,12989254
900,104300,12936611
900,104400,12745891
900,104500,13045905
900,104600,13050424
900,104700,12996940
900,104800,13144536
900,104900,12568277
900,105000,12747181
900,105100,12913273
900,105200,13046511
900,105300,12628071
900,105400,13510450
900,105500,14023108
900,105600,14833885
900,105700,20239594
900,105800,21787775
900,105900,15440308
900,106000,13609371
900,106100,13618800
900,106200,13157874
900,106300,13365172
900,106400,13454286
900,106500,14726356
900,106600,13977138
900,106700,13764282
900,106800,13532420
900,106900,13935055
900,107000,13762232
900,107100,14496201
900,107200,14215803
900,107300,13884505
900,107400,15827431
900,107500,16486092
900,107600,13966284
900,107700,14382676
900,107800,10629077
900,107900,10724647
900,108000,10702008
900,108100,10860655
900,108200,10936670
900,108300,10541042
900,108400,10924714
900,108500,10899223
900,108600,10415249
900,108700,10437929
900,108800,11407312
900,108900,10693864
900,109000,13397273
900,109100,11046386
900,109200,11364411
900,109300,10868730
900,109400,11185929
900,109500,10664271
900,109600,10902404
900,109700,10794408
900,109800,10967428
900,109900,10698758
900,110000,11488313
900,110100,10592149
900,110200,11409359
900,110300,10809462
900,110400,10882051
900,110500,12078557
900,110600,11853491
900,110700,14721497
900,110800,14000159
900,110900,14120461
900,111000,15074077
900,111100,13919635
900,111200,14617638
900,111300,15323123
900,111400,16566221
900,111500,15257552
900,111600,14067628
900,111700,14383411
900,111800,13969971
900,111900,14134876
900,112000,14353847
900,112100,14313485
900,112200,14295772
900,112300,14210650
900,112400,13990132
900,112500,15086997
900,112600,14791842
900,112700,14244034
900,112800,14211869
900,112900,14297272
900,113000,14461740
900,113100,15744625
900,113200,15474520
900,113300,14914793
900,113400,16526737
900,113500,15688980
900,113600,14928947
900,113700,14841337
900,113800,15662062
900,113900,15488242
900,114000,15559272
900,114100,15477407
900,114200,16586529
900,114300,15212974
900,114400,15361422
