n,m,cmin,cmax,dual_lp
50,700,1,100,7085898
55,770,1,100,11093926
60,840,1,100,9384314
65,910,1,100,9308928
70,980,1,100,9519825
75,1050,1,100,10907650
80,1120,1,100,12103900
85,1190,1,100,11765265
90,1260,1,100,12189458
95,1330,1,100,13936692
100,1400,1,100,13593599
105,1470,1,100,15175542
110,1540,1,100,15189124
115,1610,1,100,16604676
120,1680,1,100,17299040
125,1750,1,100,21897631
130,1820,1,100,18975265
135,1890,1,100,17309569
140,1960,1,100,18359529
145,2030,1,100,18478160
150,2100,1,100,19677691
155,2170,1,100,23091048
160,2240,1,100,21278364
165,2310,1,100,25121902
170,2380,1,100,25555431
175,2450,1,100,25176524
180,2520,1,100,26868383
185,2590,1,100,28487957
190,2660,1,100,28089217
195,2730,1,100,27048502
200,2800,1,100,28715590
205,2870,1,100,30137317
210,2940,1,100,29749107
215,3010,1,100,29764120
220,3080,1,100,32960917
225,3150,1,100,33291824
230,3220,1,100,32036870
235,3290,1,100,32188687
240,3360,1,100,33685937
245,3430,1,100,34762835
250,3500,1,100,36286960
255,3570,1,100,37905718
260,3640,1,100,36721883
265,3710,1,100,39797835
270,3780,1,100,39661195
275,3850,1,100,38959761
280,3920,1,100,38300432
285,3990,1,100,38551299
290,4060,1,100,36967130
295,4130,1,100,38173210
300,4200,1,100,38632592
305,4270,1,100,41569249
310,4340,1,100,42161779
315,4410,1,100,44047978
320,4480,1,100,41762288
325,4550,1,100,43218476
330,4620,1,100,42300906
335,4690,1,100,41779528
340,4760,1,100,42818230
345,4830,1,100,44952396
350,4900,1,100,45970154
355,4970,1,100,47872310
360,5040,1,100,49025315
365,5110,1,100,44262445
370,5180,1,100,44896645
375,5250,1,100,45785373
380,5320,1,100,46153279
385,5390,1,100,50000985
390,5460,1,100,52177894
395,5530,1,100,51306427
400,5600,1,100,49717612
405,5670,1,100,49883235
410,5740,1,100,51834447
415,5810,1,100,52127564
420,5880,1,100,53449296
425,5950,1,100,55019545
430,6020,1,100,55011772
435,6090,1,100,59357933
440,6160,1,100,65578834
445,6230,1,100,66794303
450,6300,1,100,76644266
455,6370,1,100,77828287
460,6440,1,100,85122319
465,6510,1,100,79486241
470,6580,1,100,71135377
475,6650,1,100,68934154
480,6720,1,100,83678199
485,6790,1,100,74835941
490,6860,1,100,77525018
495,6930,1,100,85572501
500,7000,1,100,86043093
505,7070,1,100,89451910
510,7140,1,100,76837156
515,7210,1,100,79904122
520,7280,1,100,82896517
525,7350,1,100,111613766
530,7420,1,100,125515195
535,7490,1,100,98904719
540,7560,1,100,91848215
545,7630,1,100,83728733
550,7700,1,100,87938399
555,7770,1,100,83439377
560,7840,1,100,85559016
565,7910,1,100,88553441
570,7980,1,100,84272846
575,8050,1,100,82584412
580,8120,1,100,89692867
585,8190,1,100,89170375
590,8260,1,100,86974569
595,8330,1,100,104648884
600,8400,1,100,116121008
605,8470,1,100,97180751
610,8540,1,100,96439319
615,8610,1,100,122337324
620,8680,1,100,134435466
625,8750,1,100,128481902
630,8820,1,100,137408985
635,8890,1,100,117888665
640,8960,1,100,115312310
645,9030,1,100,164770431
650,9100,1,100,157016477
655,9170,1,100,138643326
660,9240,1,100,112799954
665,9310,1,100,112661292
670,9380,1,100,117304364
675,9450,1,100,119754968
680,9520,1,100,122063096
685,9590,1,100,139711239
690,9660,1,100,129499071
695,9730,1,100,130423594
700,9800,1,100,120703402
705,9870,1,100,118670597
710,9940,1,100,133926714
715,10010,1,100,126806589
720,10080,1,100,223967031
725,10150,1,100,190746979
730,10220,1,100,245851750
735,10290,1,100,226535142
740,10360,1,100,207689200
745,10430,1,100,341380310
750,10500,1,100,197729441
755,10570,1,100,193858182
760,10640,1,100,195914083
765,10710,1,100,197388526
770,10780,1,100,215055559
775,10850,1,100,267481691
780,10920,1,100,240229031
785,10990,1,100,225064947
790,11060,1,100,413891999
795,11130,1,100,258280083
800,11200,1,100,216789867
805,11270,1,100,283485735
810,11340,1,100,305844787
815,11410,1,100,301268050
820,11480,1,100,304670935
825,11550,1,100,269836546
830,11620,1,100,256185225
835,11690,1,100,304909886
840,11760,1,100,324051524
845,11830,1,100,325080534
850,11900,1,100,320348180
855,11970,1,100,351191888
860,12040,1,100,337231975
865,12110,1,100,327312186
870,12180,1,100,328290951
875,12250,1,100,335981640
880,12320,1,100,293219400
885,12390,1,100,317416106
890,12460,1,100,327378487
895,12530,1,100,318875926
900,12600,1,100,284042193
905,12670,1,100,283833853
910,12740,1,100,349738775
915,12810,1,100,339499141
920,12880,1,100,317606778
925,12950,1,100,258786018
930,13020,1,100,319205376
935,13090,1,100,312497131
940,13160,1,100,259499523
945,13230,1,100,263825156
950,13300,1,100,486665220
955,13370,1,100,359886712
960,13440,1,100,277108392
965,13510,1,100,273807722
970,13580,1,100,298519945
975,13650,1,100,268055521
980,13720,1,100,357903825
985,13790,1,100,286546475
990,13860,1,100,265384963
995,13930,1,100,317971444
1000,14000,1,100,287762357
1005,14070,1,100,274259667
1010,14140,1,100,290537931
1015,14210,1,100,305357408
1020,14280,1,100,289106164
1025,14350,1,100,355741607
1030,14420,1,100,268657573
1035,14490,1,100,299124203
1040,14560,1,100,278134639
1045,14630,1,100,286639954
1050,14700,1,100,300129736
1055,14770,1,100,284236769
1060,14840,1,100,312847115
1065,14910,1,100,276005134
1070,14980,1,100,281585060
1075,15050,1,100,281172182
1080,15120,1,100,277977348
1085,15190,1,100,298774130
1090,15260,1,100,338567998
1095,15330,1,100,310340641
1100,15400,1,100,319583964
1105,15470,1,100,331932436
1110,15540,1,100,373370619
1115,15610,1,100,314094512
1120,15680,1,100,313836903
1125,15750,1,100,306641375
1130,15820,1,100,309790875
1135,15890,1,100,324239294
1140,15960,1,100,296827850
1145,16030,1,100,299145232
1150,16100,1,100,406053734
1155,16170,1,100,354828131
1160,16240,1,100,424781674
1165,16310,1,100,331512612
1170,16380,1,100,323504580
1175,16450,1,100,305610760
1180,16520,1,100,331724816
1185,16590,1,100,299017491
1190,16660,1,100,325579157
1195,16730,1,100,337169436
1200,16800,1,100,326480644
1205,16870,1,100,312463203
1210,16940,1,100,340441996
1215,17010,1,100,316954013
1220,17080,1,100,310343937
1225,17150,1,100,315583369
1230,17220,1,100,324091667
1235,17290,1,100,339730875
1240,17360,1,100,362819212
1245,17430,1,100,319899297
1250,17500,1,100,333296286
1255,17570,1,100,356673511
1260,17640,1,100,374033760
1265,17710,1,100,323304138
1270,17780,1,100,358998231
1275,17850,1,100,350373411
1280,17920,1,100,338416134
1285,17990,1,100,331484726
1290,18060,1,100,338969030
1295,18130,1,100,401201714
1300,18200,1,100,348741034
1305,18270,1,100,344865222
1310,18340,1,100,319142015
1315,18410,1,100,383236972
1320,18480,1,100,396062267
1325,18550,1,100,347120146
1330,18620,1,100,341942444
1335,18690,1,100,377166962
1340,18760,1,100,348505293
1345,18830,1,100,382382240
1350,18900,1,100,354245341
1355,18970,1,100,367774092
1360,19040,1,100,362575718
1365,19110,1,100,392512686
1370,19180,1,100,378578425
1375,19250,1,100,451867554
1380,19320,1,100,357097256
1385,19390,1,100,369792507
1390,19460,1,100,393121043
1395,19530,1,100,458178990
1400,19600,1,100,368203294
1405,19670,1,100,458346651
1410,19740,1,100,383489226
1415,19810,1,100,383502651
1420,19880,1,100,385590902
1425,19950,1,100,451072156
1430,20020,1,100,457033443
1435,20090,1,100,409230924
1440,20160,1,100,407995010
1445,20230,1,100,474404216
1450,20300,1,100,488760434
1455,20370,1,100,417224648
1460,20440,1,100,374072245
1465,20510,1,100,382071972
1470,20580,1,100,466518254
1475,20650,1,100,490525043
1480,20720,1,100,522845418
1485,20790,1,100,385117845
1490,20860,1,100,385394963
1495,20930,1,100,403540141
1500,21000,1,100,426727930
1505,21070,1,100,456611725
1510,21140,1,100,379809773
1515,21210,1,100,396491311
1520,21280,1,100,483072036
1525,21350,1,100,399868136
1530,21420,1,100,399475694
1535,21490,1,100,450222747
1540,21560,1,100,423623494
1545,21630,1,100,419952572
1550,21700,1,100,386690423
1555,21770,1,100,493643615
1560,21840,1,100,469380671
1565,21910,1,100,407215579
1570,21980,1,100,412666616
1575,22050,1,100,444587414
1580,22120,1,100,399533555
1585,22190,1,100,419136907
1590,22260,1,100,508584014
1595,22330,1,100,425761934
1600,22400,1,100,438415064
1605,22470,1,100,408226940
1610,22540,1,100,428652117
1615,22610,1,100,415601370
1620,22680,1,100,422168265
1625,22750,1,100,439084991
1630,22820,1,100,447558966
1635,22890,1,100,487509657
1640,22960,1,100,451219048
1645,23030,1,100,428080024
1650,23100,1,100,425784055
1655,23170,1,100,421226427
1660,23240,1,100,506903343
1665,23310,1,100,492235535
1670,23380,1,100,442461159
1675,23450,1,100,452806854
1680,23520,1,100,459078411
1685,23590,1,100,478122862
1690,23660,1,100,555919278
1695,23730,1,100,591256835
1700,23800,1,100,480807253
1705,23870,1,100,519450644
1710,23940,1,100,542951044
1715,24010,1,100,446751568
1720,24080,1,100,461697478
1725,24150,1,100,476915045
1730,24220,1,100,462166404
1735,24290,1,100,540963294
1740,24360,1,100,483693680
1745,24430,1,100,476704809
1750,24500,1,100,503098996
1755,24570,1,100,514509076
1760,24640,1,100,524420030
1765,24710,1,100,449139071
1770,24780,1,100,453507111
1775,24850,1,100,466236975
1780,24920,1,100,479667948
1785,24990,1,100,513881213
1790,25060,1,100,481568511
1795,25130,1,100,510468576
1800,25200,1,100,492522780
1805,25270,1,100,520705170
1810,25340,1,100,506653305
1815,25410,1,100,490715606
1820,25480,1,100,596018215
1825,25550,1,100,544523039
1830,25620,1,100,479331579
1835,25690,1,100,525371501
1840,25760,1,100,469282750
1845,25830,1,100,502500855
1850,25900,1,100,606614515
1855,25970,1,100,506438557
1860,26040,1,100,515834334
1865,26110,1,100,512733118
1870,26180,1,100,576732366
1875,26250,1,100,517522943
1880,26320,1,100,486899360
1885,26390,1,100,521422961
1890,26460,1,100,514943282
1895,26530,1,100,503203759
1900,26600,1,100,486154672
1905,26670,1,100,518101328
1910,26740,1,100,619437553
1915,26810,1,100,520124628
1920,26880,1,100,578209522
