n,m,dual_lp
50,650,7501063
55,715,7546648
60,780,8287355
65,845,8450592
70,910,8954911
75,975,9375946
80,1040,10204771
85,1105,10312007
90,1170,10882391
95,1235,12229996
100,1300,11690615
105,1365,12097881
110,1430,12321263
115,1495,13213571
120,1560,14259348
125,1625,13904950
130,1690,14168502
135,1755,16479960
140,1820,16834227
145,1885,17089660
150,1950,16595539
155,2015,17274927
160,2080,17094436
165,2145,17567729
170,2210,18396918
175,2275,21539509
180,2340,22885234
185,2405,23580303
190,2470,24055109
195,2535,24098570
200,2600,25770786
205,2665,27430905
210,2730,27248878
215,2795,26361650
220,2860,29593380
225,2925,29164463
230,2990,28643552
235,3055,29411617
240,3120,29523090
245,3185,30682668
250,3250,29988661
255,3315,30479512
260,3380,31813211
265,3445,32415912
270,3510,33999512
275,3575,32595597
280,3640,32495276
285,3705,33154185
290,3770,33988870
295,3835,35425067
300,3900,36187749
305,3965,36011208
310,4030,38342839
315,4095,40368851
320,4160,39673693
325,4225,40472470
330,4290,39994908
335,4355,46229530
340,4420,43035516
345,4485,42606118
350,4550,43812167
355,4615,42697347
360,4680,43717349
365,4745,43024941
370,4810,45146862
375,4875,45745786
380,4940,45959029
385,5005,46016180
390,5070,47033693
395,5135,46085599
400,5200,51093242
405,5265,50022362
410,5330,49966711
415,5395,50183154
420,5460,51973729
425,5525,51365761
430,5590,53346894
435,5655,55766517
440,5720,56787955
445,5785,52493777
450,5850,53979193
455,5915,54059229
460,5980,56547592
465,6045,54186825
470,6110,53968903
475,6175,59294421
480,6240,65079829
485,6305,66691893
490,6370,67126886
495,6435,63422533
500,6500,64849411
505,6565,63118691
510,6630,65608531
515,6695,71644526
520,6760,67197007
525,6825,65699167
530,6890,74362532
535,6955,74955576
540,7020,71289586
545,7085,68091383
550,7150,68458277
555,7215,80915383
560,7280,75489295
565,7345,75060065
570,7410,78378646
575,7475,75938852
580,7540,84863984
585,7605,76007899
590,7670,79052162
595,7735,78296656
600,7800,81052326
605,7865,83975680
610,7930,83353335
615,7995,80621382
620,8060,82409728
625,8125,84579027
630,8190,82775197
635,8255,92156188
640,8320,94752298
645,8385,85326417
650,8450,84493658
655,8515,96144596
660,8580,94116544
665,8645,91648129
670,8710,90044371
675,8775,96165202
680,8840,96419505
685,8905,98041547
690,8970,106326457
695,9035,96215795
700,9100,95834546
705,9165,109429469
710,9230,97756864
715,9295,103248595
720,9360,106939554
725,9425,98914743
730,9490,111192964
735,9555,100894801
740,9620,102586581
745,9685,108137191
750,9750,106212818
755,9815,103885140
760,9880,107794098
765,9945,112142076
770,10010,112516169
775,10075,175029679
780,10140,180592402
785,10205,170032299
790,10270,181985718
795,10335,181544686
800,10400,176968094
805,10465,193189888
810,10530,185472292
815,10595,185236153
820,10660,172240980
825,10725,191312164
830,10790,185885843
835,10855,197799975
840,10920,184554322
845,10985,195796791
850,11050,183368281
855,11115,210034362
860,11180,209656869
865,11245,191884930
870,11310,194420200
875,11375,192641691
880,11440,201438110
885,11505,196015598
890,11570,209496653
895,11635,203699612
900,11700,206031871
905,11765,210226104
910,11830,203907576
915,11895,216671957
920,11960,221453122
925,12025,211510786
930,12090,210627880
935,12155,194361353
940,12220,215870183
945,12285,207973185
950,12350,218591196
955,12415,220050434
960,12480,219748136
965,12545,246013919
970,12610,229184096
975,12675,221833645
980,12740,215784952
985,12805,223064040
990,12870,228296101
995,12935,224762378
1000,13000,237219869
1005,13065,217581733
1010,13130,226706216
1015,13195,231782852
1020,13260,223489606
1025,13325,217558340
1030,13390,235083538
1035,13455,238846731
1040,13520,244045088
1045,13585,314824065
1050,13650,252355689
1055,13715,244884721
1060,13780,245174850
1065,13845,228720862
1070,13910,248965317
1075,13975,244822711
1080,14040,249614296
1085,14105,268554415
1090,14170,266202483
1095,14235,258855266
1100,14300,241966869
1105,14365,248761159
1110,14430,251109256
1115,14495,251470573
1120,14560,252674390
1125,14625,256020837
1130,14690,261904145
1135,14755,259354312
1140,14820,253561151
1145,14885,259072512
1150,14950,255166831
1155,15015,259172687
1160,15080,256308398
1165,15145,266152391
1170,15210,262510720
1175,15275,262064111
1180,15340,258674080
1185,15405,284354643
1190,15470,273197029
1195,15535,267489554
1200,15600,277261918
1205,15665,270439329
1210,15730,273084567
1215,15795,277486862
1220,15860,283279968
1225,15925,267407675
1230,15990,339777366
1235,16055,290329201
1240,16120,298062852
1245,16185,357116915
1250,16250,340970844
1255,16315,299267838
1260,16380,320416493
1265,16445,299108340
1270,16510,314784445
1275,16575,414169557
1280,16640,305133893
1285,16705,286865166
1290,16770,297690860
1295,16835,282216883
1300,16900,294529276
1305,16965,290996075
1310,17030,282176449
1315,17095,272155124
1320,17160,291152014
1325,17225,285155534
1330,17290,280439422
1335,17355,293735964
1340,17420,330570777
1345,17485,300792636
1350,17550,294878990
1355,17615,311223414
1360,17680,300786554
1365,17745,334566803
1370,17810,309248006
1375,17875,296955854
1380,17940,311688104
1385,18005,308460547
1390,18070,317007380
1395,18135,302942269
1400,18200,310819478
1405,18265,297094424
1410,18330,302398505
1415,18395,342654377
1420,18460,314530930
1425,18525,335652794
1430,18590,322295493
1435,18655,303262778
1440,18720,329810181
1445,18785,327249529
1450,18850,314403390
1455,18915,309649426
1460,18980,326613697
1465,19045,329624959
1470,19110,349791777
1475,19175,322042671
1480,19240,317004293
1485,19305,321325588
1490,19370,325115803
1495,19435,333829273
1500,19500,338995976
1505,19565,334168224
1510,19630,315934678
1515,19695,317360457
1520,19760,343049316
1525,19825,344113317
1530,19890,326891644
1535,19955,327079544
1540,20020,349552864
1545,20085,336660383
1550,20150,347081103
1555,20215,399584679
1560,20280,340535799
1565,20345,351959888
1570,20410,336307166
1575,20475,387144677
1580,20540,335889501
1585,20605,336944475
1590,20670,376994540
1595,20735,351253676
1600,20800,332176661
1605,20865,347474010
1610,20930,367433377
1615,20995,355889157
1620,21060,369036933
1625,21125,422300035
1630,21190,353749042
1635,21255,373802899
1640,21320,351654284
1645,21385,364442688
1650,21450,369939575
1655,21515,394651602
1660,21580,352066335
1665,21645,375262940
1670,21710,389660556
1675,21775,378294692
1680,21840,389467121
1685,21905,374106131
1690,21970,375200976
1695,22035,370643089
1700,22100,413994829
1705,22165,399690625
1710,22230,383368296
1715,22295,412703699
1720,22360,413525948
1725,22425,388315331
1730,22490,384670093
1735,22555,414957954
1740,22620,382867352
1745,22685,392404839
