n,m,dinic
50,400,62704
55,440,59627
60,480,63938
65,520,66499
70,560,70102
75,600,83569
80,640,87352
85,680,92009
90,720,86489
95,760,93086
100,800,113025
105,840,118533
110,880,125491
115,920,114524
120,960,139563
125,1000,154860
130,1040,285959
135,1080,197237
140,1120,173371
145,1160,170235
150,1200,179791
155,1240,185995
160,1280,186395
165,1320,193878
170,1360,205582
175,1400,208843
180,1440,215570
185,1480,249367
190,1520,386056
195,1560,272400
200,1600,281457
205,1640,317062
210,1680,312495
215,1720,317775
220,1760,254525
225,1800,417540
230,1840,306634
235,1880,335546
240,1920,373774
245,1960,606396
250,2000,505933
255,2040,364879
260,2080,334227
265,2120,382351
270,2160,398365
275,2200,354498
280,2240,367468
285,2280,367658
290,2320,426003
295,2360,683239
300,2400,414276
305,2440,434223
310,2480,419208
315,2520,387292
320,2560,463901
325,2600,456797
330,2640,478550
335,2680,477354
340,2720,464807
345,2760,479745
350,2800,706424
355,2840,643415
360,2880,511968
365,2920,437704
370,2960,429352
375,3000,439101
380,3040,447927
385,3080,458041
390,3120,455028
395,3160,589410
400,3200,500263
405,3240,490130
410,3280,500526
415,3320,512856
420,3360,512907
425,3400,521073
430,3440,512801
435,3480,516174
440,3520,542261
445,3560,506261
450,3600,611571
455,3640,537609
460,3680,634680
465,3720,528551
470,3760,551144
475,3800,544922
480,3840,538847
485,3880,863630
490,3920,692937
495,3960,582991
500,4000,577455
505,4040,598782
510,4080,585033
515,4120,640508
520,4160,695308
525,4200,683027
530,4240,683581
535,4280,689986
540,4320,725209
545,4360,871252
550,4400,1234219
555,4440,801946
560,4480,853967
565,4520,818242
570,4560,900512
575,4600,696683
580,4640,702888
585,4680,791675
590,4720,811344
595,4760,744665
600,4800,626069
605,4840,753972
610,4880,734934
615,4920,777641
620,4960,772588
625,5000,755607
630,5040,939271
635,5080,765031
640,5120,767445
645,5160,1222438
650,5200,1001579
655,5240,936492
660,5280,938718
665,5320,1226741
670,5360,1701751
675,5400,1005692
680,5440,691207
685,5480,903185
690,5520,998007
695,5560,1571592
700,5600,1055224
705,5640,835677
710,5680,849049
715,5720,869176
720,5760,965825
725,5800,905186
730,5840,918587
735,5880,1151337
740,5920,1049384
745,5960,1107104
750,6000,1323006
755,6040,944129
760,6080,1079920
765,6120,1275030
770,6160,957135
775,6200,968965
780,6240,1016408
785,6280,1584228
790,6320,1565702
795,6360,1826586
800,6400,1768972
805,6440,2412268
810,6480,1889175
815,6520,1081128
820,6560,896093
825,6600,1203615
830,6640,1303326
835,6680,1277742
840,6720,1055040
845,6760,1021845
850,6800,1047959
855,6840,1276882
860,6880,1090162
865,6920,1072658
870,6960,1128114
875,7000,1076990
880,7040,1272012
885,7080,1070462
890,7120,1067833
895,7160,1119650
900,7200,1155410
905,7240,1106553
910,7280,1102084
915,7320,1086154
920,7360,1479258
925,7400,1182656
930,7440,1460134
935,7480,1156401
940,7520,1720799
945,7560,1211779
950,7600,1134511
955,7640,1764118
960,7680,1112694
965,7720,1141755
970,7760,1860539
975,7800,1753310
980,7840,1396904
985,7880,1662601
990,7920,1315450
995,7960,1171626
1000,8000,1576330
1005,8040,1158351
1010,8080,2008593
1015,8120,1349939
1020,8160,1479656
1025,8200,1555433
1030,8240,1709224
1035,8280,2622637
1040,8320,1517013
1045,8360,1609795
1050,8400,1532893
1055,8440,1861869
1060,8480,1212604
1065,8520,2134815
1070,8560,1511007
1075,8600,1507505
1080,8640,1692000
1085,8680,1562866
1090,8720,1360087
1095,8760,1633784
1100,8800,1507821
1105,8840,1582885
1110,8880,1548719
1115,8920,1706705
1120,8960,1497566
1125,9000,1427166
1130,9040,1970882
1135,9080,2619896
1140,9120,2258368
1145,9160,1600462
1150,9200,1642519
1155,9240,2576105
1160,9280,1697768
1165,9320,1620064
1170,9360,1883390
