n,m,lp_runs,exp_lp
100,100,1,1575019
100,200,4,2136185
100,300,13,3970613
100,400,14,5040899
100,500,20,6776505
100,600,27,9760742
100,700,21,8949625
100,800,27,12424411
100,900,27,12272796
100,1000,21,10373913
100,1100,35,16889483
100,1200,44,22077826
100,1300,49,25565987
100,1400,46,25637083
100,1500,46,26401918
100,1600,46,31255136
100,1700,56,38009633
100,1800,54,37433646
100,1900,52,34862507
100,2000,67,45609545
100,2100,61,43418910
100,2200,66,50306172
100,2300,72,55910661
100,2400,72,56794610
100,2500,69,57482862
100,2600,74,63548221
100,2700,80,68324832
100,2800,80,73230440
100,2900,75,68340027
100,3000,76,71365406
100,3100,78,76414841
100,3200,72,72946205
100,3300,91,92855731
100,3400,103,109414292
100,3500,97,102526529
100,3600,93,100255434
100,3700,100,110331054
100,3800,97,111330159
100,3900,106,122059620
100,4000,107,127259288
100,4100,110,131883271
100,4200,108,135375231
100,4300,118,148571211
100,4400,120,154396875
100,4500,114,147706950
100,4600,118,156817112
100,4700,110,148060729
100,4800,117,162369940
100,4900,130,182752820
100,5000,124,176442204
100,5100,125,179478976
100,5200,122,181430615
100,5300,127,188910528
100,5400,130,198063036
100,5500,126,198436714
100,5600,130,206134154
100,5700,141,226308972
100,5800,148,245251207
100,5900,150,247474809
100,6000,154,258009909
100,6100,165,279970793
100,6200,158,272812233
100,6300,150,337352103
100,6400,136,240123005
100,6500,146,262450669
100,6600,164,301190267
100,6700,158,292846531
100,6800,154,289642950
100,6900,174,336690577
100,7000,165,322589478
100,7100,166,323085760
100,7200,175,347107824
100,7300,168,337574962
100,7400,168,339041396
100,7500,165,338317182
100,7600,166,343373993
100,7700,171,359229938
100,7800,177,375718135
100,7900,195,417809981
100,8000,184,401327003
100,8100,163,363372238
100,8200,173,391995552
100,8300,171,383624182
100,8400,170,387156443
100,8500,170,391414635
100,8600,161,377495599
100,8700,174,423865430
100,8800,176,422204396
100,8900,182,445025091
100,9000,182,449017050
100,9100,197,482029317
100,9200,191,468556568
100,9300,192,477117188
100,9400,204,510621084
100,9500,205,517337824
100,9600,192,493164369
100,9700,197,514990637
100,9800,199,523102684
100,9900,194,507551869
100,10000,100,264702084
