n,m,primal_lp
700,700,22863547
700,800,5691443
700,900,5943357
700,1000,8656087
700,1100,7472523
700,1200,12537639
700,1300,10171603
700,1400,11438060
700,1500,13672729
700,1600,13532170
700,1700,15019768
700,1800,14009520
700,1900,17934624
700,2000,17265642
700,2100,18101536
700,2200,20340184
700,2300,22662641
700,2400,23168894
700,2500,22998271
700,2600,25522373
700,2700,26313235
700,2800,27996673
700,2900,27064776
700,3000,23892383
700,3100,22931381
700,3200,30350794
700,3300,29326017
700,3400,28924319
700,3500,29649803
700,3600,29539996
700,3700,30331172
700,3800,31684151
700,3900,31935526
700,4000,30235510
700,4100,30580877
700,4200,32225030
700,4300,31677872
700,4400,31488265
700,4500,31821313
700,4600,34530190
700,4700,40258822
700,4800,35421597
700,4900,38193809
700,5000,34493500
700,5100,34081447
700,5200,37955599
700,5300,31659946
700,5400,36944547
700,5500,37983134
700,5600,36839826
700,5700,31644763
700,5800,38175963
700,5900,39477106
700,6000,34367565
700,6100,39737842
700,6200,42154157
700,6300,41140732
700,6400,39289334
700,6500,47547977
700,6600,43023308
700,6700,42638419
700,6800,48463292
700,6900,43298980
700,7000,50109607
700,7100,51377807
700,7200,43881261
700,7300,52584909
700,7400,45154103
700,7500,48817494
700,7600,48905213
700,7700,46869766
700,7800,65159354
700,7900,43280878
700,8000,50951418
700,8100,51570115
700,8200,41556554
700,8300,43257181
700,8400,46113161
700,8500,48049325
700,8600,48077880
700,8700,54405155
700,8800,45270000
700,8900,49458901
700,9000,56197041
700,9100,60155368
700,9200,48187676
700,9300,48284777
700,9400,81642975
700,9500,57417949
700,9600,44174529
700,9700,48849482
700,9800,45576785
700,9900,50523305
700,10000,61898533
700,10100,52146098
700,10200,49810859
700,10300,50000045
700,10400,50628242
700,10500,62219777
700,10600,53611502
700,10700,54740505
700,10800,71806984
700,10900,58896943
700,11000,64434043
700,11100,62555508
700,11200,70712492
700,11300,64329253
700,11400,76422406
700,11500,65887481
700,11600,68153540
700,11700,64947513
700,11800,60964876
700,11900,63024943
700,12000,69912199
700,12100,68370362
700,12200,87235490
700,12300,71398240
700,12400,76934752
700,12500,75439287
700,12600,69511610
700,12700,75217341
700,12800,70893542
700,12900,89709453
700,13000,80671409
700,13100,91394405
700,13200,72236579
700,13300,83116186
700,13400,71239779
700,13500,82170610
700,13600,77169991
700,13700,71431333
700,13800,90811361
700,13900,77932215
700,14000,97612282
700,14100,80037301
700,14200,89918870
700,14300,95599770
700,14400,85075389
700,14500,90634800
700,14600,98832180
700,14700,94427894
700,14800,84452315
700,14900,96931428
700,15000,103203410
700,15100,118355787
700,15200,122253499
700,15300,140489695
700,15400,103943813
700,15500,112950628
700,15600,123822470
700,15700,111056386
700,15800,124422011
700,15900,129579422
700,16000,158238984
700,16100,103208106
700,16200,139460457
700,16300,134684969
700,16400,148053567
700,16500,159885060
700,16600,138309145
700,16700,153081227
700,16800,109973283
700,16900,122953769
700,17000,139685577
700,17100,119792976
700,17200,162045391
700,17300,110761921
700,17400,149861143
700,17500,163942438
700,17600,169540731
700,17700,126109314
700,17800,148587248
700,17900,157515080
700,18000,149692929
700,18100,157854387
700,18200,123309947
700,18300,123103900
700,18400,112504647
700,18500,141600048
700,18600,121027201
