n,m,cmin,cmax,primal_lp
50,50,1,100,3734282
55,55,1,100,5411506
60,60,1,100,4354953
65,65,1,100,1664823
70,70,1,100,1500975
75,75,1,100,1497344
80,80,1,100,1484666
85,85,1,100,1593463
90,90,1,100,1567032
95,95,1,100,1608693
100,100,1,100,1727955
105,105,1,100,1625931
110,110,1,100,1816944
115,115,1,100,1604280
120,120,1,100,1704665
125,125,1,100,1625077
130,130,1,100,1931414
135,135,1,100,1803425
140,140,1,100,1849504
145,145,1,100,1810372
150,150,1,100,1825473
155,155,1,100,2149571
160,160,1,100,1953767
165,165,1,100,1829045
170,170,1,100,2003647
175,175,1,100,1960025
180,180,1,100,2122375
185,185,1,100,2003347
190,190,1,100,2046863
195,195,1,100,2041572
200,200,1,100,2024253
205,205,1,100,2385518
210,210,1,100,2174734
215,215,1,100,2193110
220,220,1,100,2079826
225,225,1,100,2107861
230,230,1,100,2470613
235,235,1,100,2274982
240,240,1,100,2168501
245,245,1,100,2284284
250,250,1,100,2565725
255,255,1,100,3053377
260,260,1,100,2291220
265,265,1,100,2445333
270,270,1,100,2393855
275,275,1,100,2443689
280,280,1,100,2434278
285,285,1,100,2399617
290,290,1,100,2512634
295,295,1,100,2809503
300,300,1,100,2874381
305,305,1,100,2961084
310,310,1,100,2683794
315,315,1,100,2394569
320,320,1,100,2472729
325,325,1,100,2648716
330,330,1,100,2670545
335,335,1,100,2513594
340,340,1,100,2959159
345,345,1,100,2656766
350,350,1,100,2783217
355,355,1,100,2786446
360,360,1,100,2535823
365,365,1,100,2563463
370,370,1,100,2991485
375,375,1,100,2749289
380,380,1,100,2686337
385,385,1,100,2734072
390,390,1,100,2979540
395,395,1,100,2826307
400,400,1,100,2830256
405,405,1,100,2699800
410,410,1,100,3278369
415,415,1,100,2792484
420,420,1,100,2822520
425,425,1,100,3006162
430,430,1,100,2928733
435,435,1,100,3051999
440,440,1,100,3357302
445,445,1,100,3293828
450,450,1,100,3858986
455,455,1,100,3176274
460,460,1,100,3416359
465,465,1,100,3862218
470,470,1,100,3619785
475,475,1,100,3475271
480,480,1,100,3661774
485,485,1,100,3672292
