n,m,primal_lp
200,200,2533241
200,300,3006546
200,400,4363830
200,500,5447879
200,600,6350363
200,700,6982039
200,800,7598478
200,900,7784644
200,1000,8470349
200,1100,8659500
200,1200,9823118
200,1300,10167610
200,1400,11014586
200,1500,11530028
200,1600,11465360
200,1700,12212863
200,1800,11752246
200,1900,12469086
200,2000,11582428
200,2100,13520821
200,2200,13447890
200,2300,12681892
200,2400,14383177
200,2500,14208439
200,2600,14097406
200,2700,15948752
200,2800,16237718
200,2900,16838120
200,3000,17641085
200,3100,16819486
200,3200,17126464
200,3300,17091888
200,3400,17422178
200,3500,19656594
200,3600,17745661
200,3700,20208690
200,3800,20906913
200,3900,21591626
200,4000,20076235
200,4100,22254149
200,4200,23278183
200,4300,21629463
200,4400,22882967
200,4500,22524712
200,4600,23373988
200,4700,22058979
200,4800,22751378
200,4900,25046726
200,5000,24691155
200,5100,26119210
200,5200,26669393
200,5300,28203246
200,5400,26186800
200,5500,26277141
200,5600,25470790
200,5700,27928060
200,5800,29672536
200,5900,28982189
200,6000,28932805
200,6100,29169904
200,6200,31080634
200,6300,30012128
200,6400,31806084
200,6500,31819626
200,6600,32532651
200,6700,35888035
200,6800,34837292
200,6900,34111575
200,7000,32905796
200,7100,31059305
200,7200,38139526
200,7300,34306230
200,7400,36632702
200,7500,40076628
200,7600,37312736
200,7700,38499013
200,7800,40373197
200,7900,40520261
200,8000,41680959
200,8100,37892683
200,8200,40382947
200,8300,41613827
200,8400,44072952
200,8500,40329782
200,8600,46461181
200,8700,38619303
200,8800,43379206
200,8900,45444682
200,9000,45487468
200,9100,44740259
200,9200,47595036
200,9300,47897143
200,9400,44549494
200,9500,51947717
200,9600,47585623
200,9700,50911333
200,9800,49223702
200,9900,49851059
200,10000,47344741
200,10100,56758853
200,10200,49171249
200,10300,51943482
200,10400,53621698
200,10500,48614144
200,10600,54769469
200,10700,56978162
200,10800,62041826
200,10900,56397247
200,11000,59968634
200,11100,55187618
200,11200,58220777
200,11300,56497781
200,11400,61873118
200,11500,61099479
200,11600,54885524
200,11700,55036071
200,11800,58415086
200,11900,67170995
200,12000,64298652
200,12100,64294191
200,12200,60263261
200,12300,64684439
200,12400,68806194
200,12500,49030732
200,12600,51890241
200,12700,61298263
200,12800,41798563
200,12900,42998111
200,13000,80118197
200,13100,74217387
200,13200,66975244
200,13300,73252442
200,13400,80010243
200,13500,74849870
200,13600,44334723
200,13700,39164595
200,13800,43737155
200,13900,67905878
200,14000,81819991
200,14100,77158413
200,14200,76395888
200,14300,72086915
200,14400,70161784
200,14500,75519809
200,14600,71698100
200,14700,78711079
200,14800,81327656
200,14900,67982608
200,15000,85857072
200,15100,76365338
200,15200,76658326
200,15300,89203497
200,15400,83011181
200,15500,87918111
200,15600,104706728
200,15700,85896367
200,15800,97834458
200,15900,95858753
200,16000,89864291
200,16100,91333661
200,16200,101063119
200,16300,96530134
200,16400,96291391
200,16500,93066392
200,16600,96562142
200,16700,91502604
200,16800,95901097
200,16900,97008308
200,17000,92878234
200,17100,101625851
200,17200,109141283
200,17300,98449618
200,17400,110096619
200,17500,112789186
200,17600,110252298
200,17700,104280120
200,17800,112540253
200,17900,96989731
200,18000,103104361
200,18100,93264605
200,18200,101990886
200,18300,114999430
200,18400,99431810
200,18500,119657044
200,18600,98649838
200,18700,120030267
200,18800,98919617
200,18900,120828580
200,19000,108078342
200,19100,115012952
200,19200,113515133
200,19300,120953383
200,19400,121972117
200,19500,117198647
200,19600,116414374
200,19700,122021681
200,19800,122633641
200,19900,121912784
200,20000,122735172
200,20100,113348278
200,20200,127362609
200,20300,113468996
200,20400,113864771
200,20500,112606003
200,20600,145200885
200,20700,118923559
200,20800,128009548
200,20900,121571895
200,21000,112687012
200,21100,71528127
200,21200,121930208
200,21300,121204099
200,21400,137867100
200,21500,141148413
200,21600,61298852
200,21700,141763484
200,21800,131679858
200,21900,144534343
200,22000,134865446
200,22100,123489563
200,22200,139233145
200,22300,146885543
200,22400,151828519
200,22500,145080366
200,22600,147422230
200,22700,136918770
200,22800,124648979
200,22900,134887993
200,23000,142732201
200,23100,138787052
200,23200,139912630
200,23300,138395088
200,23400,145658004
200,23500,156676598
200,23600,144260118
200,23700,139087650
200,23800,135384056
200,23900,135687286
200,24000,129653132
200,24100,164342536
200,24200,155669755
200,24300,168468691
200,24400,159463928
200,24500,131223423
200,24600,141141069
200,24700,146336615
200,24800,134721214
200,24900,149460568
200,25000,144600441
200,25100,156711690
200,25200,135248290
200,25300,158262804
200,25400,163222231
200,25500,173117988
200,25600,155703805
200,25700,151594443
200,25800,166207270
200,25900,159867558
200,26000,159360841
200,26100,169955252
200,26200,158074420
200,26300,165730144
200,26400,154585746
200,26500,166392423
200,26600,135225380
200,26700,151623624
200,26800,159246975
200,26900,145454335
200,27000,166443438
200,27100,146481457
200,27200,156220867
200,27300,144985488
200,27400,180489245
200,27500,191951464
200,27600,177824933
200,27700,187750062
200,27800,179782742
200,27900,176348028
200,28000,170357027
200,28100,158669648
200,28200,159619223
200,28300,198637739
200,28400,184459038
200,28500,259711374
200,28600,171290938
200,28700,204515909
200,28800,188804247
200,28900,177305862
200,29000,193753572
200,29100,188466699
200,29200,195182902
200,29300,107690645
200,29400,174361870
200,29500,197511689
200,29600,180849953
200,29700,175732463
200,29800,202547911
200,29900,176169089
200,30000,204958143
200,30100,188895356
200,30200,185706157
200,30300,179506671
200,30400,168771540
200,30500,172093901
200,30600,192273134
200,30700,186697345
200,30800,173471537
200,30900,176717812
200,31000,181521849
200,31100,198352139
200,31200,193493547
200,31300,188916413
200,31400,197002508
200,31500,175763204
200,31600,180787749
200,31700,168246190
200,31800,182508365
