n,m,dual_lp
1760,7040,78204078
1765,7060,83644550
1770,7080,77599413
1775,7100,81884383
1780,7120,80258968
1785,7140,79567317
1790,7160,74671996
1795,7180,78731702
1800,7200,83116006
1805,7220,78678501
1810,7240,80592700
1815,7260,88663603
1820,7280,80781224
1825,7300,82418022
1830,7320,84334744
1835,7340,82595446
1840,7360,84095120
1845,7380,84925726
1850,7400,81023995
1855,7420,83867936
1860,7440,80853817
1865,7460,84616760
1870,7480,80971359
1875,7500,85828384
1880,7520,85072909
1885,7540,82775691
1890,7560,86187790
1895,7580,90484722
1900,7600,88289795
1905,7620,87056576
1910,7640,84592859
1915,7660,93401494
1920,7680,90970112
1925,7700,92438825
1930,7720,81452761
1935,7740,90803437
1940,7760,83520081
1945,7780,87313584
1950,7800,85359228
1955,7820,94001922
1960,7840,85689486
1965,7860,90165372
1970,7880,97430374
1975,7900,91488150
1980,7920,88822649
1985,7940,86216368
1990,7960,90250732
1995,7980,92164569
2000,8000,90325876
2005,8020,91687742
2010,8040,95905377
2015,8060,92333093
2020,8080,92877606
2025,8100,90533465
2030,8120,86809713
2035,8140,93111643
2040,8160,95670093
2045,8180,94822574
2050,8200,96550906
2055,8220,96259052
2060,8240,94192084
2065,8260,96222326
2070,8280,93735411
2075,8300,89675634
2080,8320,96266985
2085,8340,95510741
2090,8360,100984227
2095,8380,104595944
2100,8400,102747070
2105,8420,89810273
2110,8440,97794955
2115,8460,103305185
2120,8480,98818615
2125,8500,96475219
2130,8520,103585089
2135,8540,103101378
2140,8560,99284882
2145,8580,101593033
2150,8600,100904410
2155,8620,109154203
2160,8640,114449533
2165,8660,103861463
2170,8680,102686217
2175,8700,92476712
2180,8720,113328329
2185,8740,95961303
2190,8760,109020573
2195,8780,100656307
2200,8800,106950348
2205,8820,103436099
2210,8840,99654313
2215,8860,102396085
2220,8880,103006179
2225,8900,100509245
2230,8920,105705328
2235,8940,100984347
2240,8960,116910608
2245,8980,103759964
2250,9000,96989896
2255,9020,99099357
2260,9040,101094571
2265,9060,98909604
2270,9080,119114446
2275,9100,115315308
2280,9120,106327994
2285,9140,106342060
2290,9160,108817277
2295,9180,104326263
2300,9200,109131833
2305,9220,115312835
2310,9240,110068028
2315,9260,108870798
2320,9280,114976242
2325,9300,109438737
2330,9320,119762337
2335,9340,103722038
2340,9360,113395179
2345,9380,112225283
2350,9400,104357125
2355,9420,114925339
2360,9440,113211383
2365,9460,116480475
2370,9480,111152971
2375,9500,110242996
2380,9520,111145287
2385,9540,108496347
2390,9560,148615588
2395,9580,129968635
2400,9600,115077720
2405,9620,119297106
2410,9640,132939476
2415,9660,115014119
2420,9680,122249252
2425,9700,117127412
2430,9720,118261543
2435,9740,118114548
2440,9760,126806317
2445,9780,126116064
2450,9800,125137482
2455,9820,122007184
2460,9840,118292096
2465,9860,124599795
2470,9880,123434452
2475,9900,126840168
2480,9920,134363605
2485,9940,122093655
2490,9960,125582485
2495,9980,120810212
2500,10000,123729592
2505,10020,190479300
2510,10040,148754720
2515,10060,148390228
2520,10080,147981812
2525,10100,174818907
2530,10120,145632258
2535,10140,150162391
2540,10160,151737050
2545,10180,154108947
2550,10200,169685485
2555,10220,157644554
2560,10240,157076124
2565,10260,161032400
2570,10280,179855190
2575,10300,177407598
2580,10320,158775669
2585,10340,163485810
2590,10360,158555659
2595,10380,159411223
2600,10400,150705691
2605,10420,173602522
2610,10440,153443072
2615,10460,162256886
2620,10480,185270934
2625,10500,159778888
2630,10520,163938066
2635,10540,159278827
2640,10560,153895896
2645,10580,181640581
2650,10600,155182501
2655,10620,164491451
2660,10640,158735825
2665,10660,150831870
2670,10680,160226194
2675,10700,164594206
2680,10720,162392739
2685,10740,163773724
2690,10760,163043489
2695,10780,166955825
2700,10800,166005423
2705,10820,189736628
2710,10840,169538535
2715,10860,165563954
2720,10880,169271151
2725,10900,171346902
2730,10920,167561942
2735,10940,161685374
2740,10960,166299151
2745,10980,170118530
2750,11000,160003485
2755,11020,187153450
2760,11040,164764930
2765,11060,168258117
2770,11080,162913230
2775,11100,170729883
2780,11120,167074575
2785,11140,168360511
2790,11160,174123519
2795,11180,163655292
2800,11200,168509328
2805,11220,166255402
2810,11240,176507872
2815,11260,168629064
2820,11280,173873996
2825,11300,169357561
2830,11320,165416788
2835,11340,183905329
2840,11360,170496057
2845,11380,172168823
2850,11400,168006228
2855,11420,179179392
2860,11440,168969909
2865,11460,172313855
