n,m,cmin,cmax,dinic
50,100,1,1,26938
55,110,1,1,25311
60,120,1,1,31392
65,130,1,1,24883
70,140,1,1,31156
75,150,1,1,32511
80,160,1,1,33652
85,170,1,1,41517
90,180,1,1,45442
95,190,1,1,34407
100,200,1,1,41978
105,210,1,1,38011
110,220,1,1,33576
115,230,1,1,34151
120,240,1,1,34064
125,250,1,1,35590
130,260,1,1,40695
135,270,1,1,39822
140,280,1,1,35655
145,290,1,1,37194
150,300,1,1,38158
155,310,1,1,38879
160,320,1,1,40612
165,330,1,1,40479
170,340,1,1,42076
175,350,1,1,42562
180,360,1,1,44787
185,370,1,1,44470
190,380,1,1,45425
195,390,1,1,47948
200,400,1,1,48550
205,410,1,1,49813
210,420,1,1,50380
215,430,1,1,50439
220,440,1,1,51321
225,450,1,1,52376
230,460,1,1,54113
235,470,1,1,54824
240,480,1,1,56188
245,490,1,1,57866
250,500,1,1,58425
255,510,1,1,58338
260,520,1,1,65143
265,530,1,1,60859
270,540,1,1,62490
275,550,1,1,66013
280,560,1,1,69069
285,570,1,1,69715
290,580,1,1,69913
295,590,1,1,72108
300,600,1,1,78798
305,610,1,1,79904
310,620,1,1,79861
315,630,1,1,77520
320,640,1,1,77391
325,650,1,1,77213
330,660,1,1,92266
335,670,1,1,125635
340,680,1,1,130671
345,690,1,1,101135
350,700,1,1,97165
355,710,1,1,111678
360,720,1,1,109359
365,730,1,1,113080
370,740,1,1,109309
375,750,1,1,103587
380,760,1,1,115915
385,770,1,1,110198
390,780,1,1,107085
395,790,1,1,134595
400,800,1,1,129240
405,810,1,1,110818
410,820,1,1,112989
415,830,1,1,112802
420,840,1,1,116689
425,850,1,1,140050
430,860,1,1,117189
435,870,1,1,117641
440,880,1,1,152629
445,890,1,1,122466
450,900,1,1,122339
455,910,1,1,156249
460,920,1,1,124821
465,930,1,1,127079
470,940,1,1,164607
475,950,1,1,127359
480,960,1,1,131124
485,970,1,1,130319
490,980,1,1,134943
495,990,1,1,134695
500,1000,1,1,155797
505,1010,1,1,145513
510,1020,1,1,138982
515,1030,1,1,156166
520,1040,1,1,154610
525,1050,1,1,154341
530,1060,1,1,158603
535,1070,1,1,158202
540,1080,1,1,160231
545,1090,1,1,161662
550,1100,1,1,160370
555,1110,1,1,165215
560,1120,1,1,165927
565,1130,1,1,165221
570,1140,1,1,168584
575,1150,1,1,169549
580,1160,1,1,169258
585,1170,1,1,171908
590,1180,1,1,175361
595,1190,1,1,174844
600,1200,1,1,177671
605,1210,1,1,177967
610,1220,1,1,179809
615,1230,1,1,179261
620,1240,1,1,181002
625,1250,1,1,186070
630,1260,1,1,193241
635,1270,1,1,193944
640,1280,1,1,186613
645,1290,1,1,193262
650,1300,1,1,192993
655,1310,1,1,191154
660,1320,1,1,192204
665,1330,1,1,195454
670,1340,1,1,197044
675,1350,1,1,196129
680,1360,1,1,196653
685,1370,1,1,198997
690,1380,1,1,199376
695,1390,1,1,241938
700,1400,1,1,223033
705,1410,1,1,206342
710,1420,1,1,206060
715,1430,1,1,209024
720,1440,1,1,208508
725,1450,1,1,213816
730,1460,1,1,213180
735,1470,1,1,212429
740,1480,1,1,215226
745,1490,1,1,217259
750,1500,1,1,214723
755,1510,1,1,203137
760,1520,1,1,207262
765,1530,1,1,208250
770,1540,1,1,224186
775,1550,1,1,225063
780,1560,1,1,224154
785,1570,1,1,224998
790,1580,1,1,230065
795,1590,1,1,229434
800,1600,1,1,230269
805,1610,1,1,228241
810,1620,1,1,232712
815,1630,1,1,234510
820,1640,1,1,236524
825,1650,1,1,256118
830,1660,1,1,226053
835,1670,1,1,241831
840,1680,1,1,244159
845,1690,1,1,243780
850,1700,1,1,244681
855,1710,1,1,231338
860,1720,1,1,231901
865,1730,1,1,234404
870,1740,1,1,266020
875,1750,1,1,246628
880,1760,1,1,252217
885,1770,1,1,256164
890,1780,1,1,255122
895,1790,1,1,260327
900,1800,1,1,257681
905,1810,1,1,261182
910,1820,1,1,264124
915,1830,1,1,275569
920,1840,1,1,263285
925,1850,1,1,250315
930,1860,1,1,372594
935,1870,1,1,269195
940,1880,1,1,270454
945,1890,1,1,273401
950,1900,1,1,275163
955,1910,1,1,255034
960,1920,1,1,259686
965,1930,1,1,261177
970,1940,1,1,295928
975,1950,1,1,235376
980,1960,1,1,238063
985,1970,1,1,240724
990,1980,1,1,242005
995,1990,1,1,240550
1000,2000,1,1,240777
1005,2010,1,1,229687
1010,2020,1,1,243177
1015,2030,1,1,246077
1020,2040,1,1,261260
1025,2050,1,1,265367
1030,2060,1,1,241845
1035,2070,1,1,257897
1040,2080,1,1,271031
1045,2090,1,1,262019
1050,2100,1,1,263005
1055,2110,1,1,265968
1060,2120,1,1,273173
1065,2130,1,1,263272
1070,2140,1,1,269611
1075,2150,1,1,269909
1080,2160,1,1,269616
1085,2170,1,1,254505
1090,2180,1,1,272079
1095,2190,1,1,273202
1100,2200,1,1,276165
1105,2210,1,1,279159
1110,2220,1,1,278183
1115,2230,1,1,277892
1120,2240,1,1,281437
1125,2250,1,1,287668
1130,2260,1,1,287771
1135,2270,1,1,453659
1140,2280,1,1,300197
1145,2290,1,1,295177
1150,2300,1,1,290206
1155,2310,1,1,291914
1160,2320,1,1,288031
1165,2330,1,1,290375
1170,2340,1,1,291208
1175,2350,1,1,292798
1180,2360,1,1,307616
1185,2370,1,1,296567
1190,2380,1,1,320285
1195,2390,1,1,299753
1200,2400,1,1,299317
1205,2410,1,1,304168
1210,2420,1,1,359128
1215,2430,1,1,359663
1220,2440,1,1,304936
1225,2450,1,1,377343
1230,2460,1,1,474342
1235,2470,1,1,317439
1240,2480,1,1,369161
1245,2490,1,1,396984
1250,2500,1,1,368629
1255,2510,1,1,381751
1260,2520,1,1,317220
1265,2530,1,1,383910
1270,2540,1,1,315939
1275,2550,1,1,490422
1280,2560,1,1,404507
1285,2570,1,1,393898
1290,2580,1,1,380198
1295,2590,1,1,412620
1300,2600,1,1,391929
1305,2610,1,1,386190
1310,2620,1,1,386411
1315,2630,1,1,527942
1320,2640,1,1,412728
1325,2650,1,1,473412
1330,2660,1,1,398649
1335,2670,1,1,398530
1340,2680,1,1,394783
1345,2690,1,1,340939
1350,2700,1,1,405929
1355,2710,1,1,466787
1360,2720,1,1,558694
1365,2730,1,1,405906
1370,2740,1,1,604221
1375,2750,1,1,616089
