n,m,dinic
50,150,33589
55,165,34469
60,180,31457
65,195,29356
70,210,27473
75,225,30949
80,240,35752
85,255,33567
90,270,55990
95,285,38896
100,300,38987
105,315,45049
110,330,53303
115,345,50738
120,360,56288
125,375,62440
130,390,56184
135,405,88330
140,420,54264
145,435,45764
150,450,46170
155,465,48751
160,480,51037
165,495,51070
170,510,52540
175,525,58798
180,540,58756
185,555,84085
190,570,72515
195,585,78250
200,600,105930
205,615,105756
210,630,97314
215,645,120384
220,660,105240
225,675,104677
230,690,109857
235,705,113252
240,720,124413
245,735,102203
250,750,124319
255,765,121135
260,780,171470
265,795,169077
270,810,172555
275,825,172065
280,840,237232
285,855,176326
290,870,162505
295,885,237852
300,900,198729
305,915,204105
310,930,249217
315,945,213470
320,960,184580
325,975,176430
330,990,114631
335,1005,151170
340,1020,181583
345,1035,130960
350,1050,170227
355,1065,201563
360,1080,197287
365,1095,196931
370,1110,204884
375,1125,203663
380,1140,201803
385,1155,234476
390,1170,180091
395,1185,231058
400,1200,183294
405,1215,194675
410,1230,231275
415,1245,219739
420,1260,179361
425,1275,258347
430,1290,243918
435,1305,296858
440,1320,300894
445,1335,255480
450,1350,356200
455,1365,401714
460,1380,317882
465,1395,271773
470,1410,297898
475,1425,450697
480,1440,295936
485,1455,319316
490,1470,274568
495,1485,212026
500,1500,359461
505,1515,301101
510,1530,257661
515,1545,314639
520,1560,298050
525,1575,191383
530,1590,288536
535,1605,343398
540,1620,251011
545,1635,257628
550,1650,259998
555,1665,203544
560,1680,320847
565,1695,330392
570,1710,384471
575,1725,329660
580,1740,212872
585,1755,216207
590,1770,356156
595,1785,393779
600,1800,340628
605,1815,469935
610,1830,240504
615,1845,237109
620,1860,266289
625,1875,258877
630,1890,228177
635,1905,229973
640,1920,232738
645,1935,237791
650,1950,307135
655,1965,288217
660,1980,353485
665,1995,258406
670,2010,270826
675,2025,262948
680,2040,269045
685,2055,277442
690,2070,288352
695,2085,283078
700,2100,275195
705,2115,272819
710,2130,297813
