n,m,cmin,cmax,primal_lp
50,500,1,100,22893352
55,550,1,100,5743190
60,600,1,100,4596414
65,650,1,100,5062914
70,700,1,100,5050286
75,750,1,100,4946835
80,800,1,100,6767447
85,850,1,100,6085575
90,900,1,100,5748892
95,950,1,100,8987716
100,1000,1,100,6933772
105,1050,1,100,7018373
110,1100,1,100,7349775
115,1150,1,100,8006124
120,1200,1,100,7872896
125,1250,1,100,7980949
130,1300,1,100,9827203
135,1350,1,100,8424236
140,1400,1,100,9535019
145,1450,1,100,9882142
150,1500,1,100,10572534
155,1550,1,100,9815608
160,1600,1,100,8375007
165,1650,1,100,11634511
170,1700,1,100,11572059
175,1750,1,100,12110207
180,1800,1,100,9334556
185,1850,1,100,12669260
190,1900,1,100,9852209
195,1950,1,100,14098949
200,2000,1,100,12459301
205,2050,1,100,13887167
210,2100,1,100,15724074
215,2150,1,100,16576318
220,2200,1,100,15535672
225,2250,1,100,16291335
230,2300,1,100,15504680
235,2350,1,100,16959551
240,2400,1,100,15779334
245,2450,1,100,19283492
250,2500,1,100,16226320
255,2550,1,100,19802359
260,2600,1,100,19958729
265,2650,1,100,17610802
270,2700,1,100,20649915
275,2750,1,100,15921914
280,2800,1,100,15177383
285,2850,1,100,15312573
290,2900,1,100,20412047
295,2950,1,100,19641861
300,3000,1,100,21459187
305,3050,1,100,20072638
310,3100,1,100,24262146
315,3150,1,100,24115457
320,3200,1,100,20598194
325,3250,1,100,22731895
330,3300,1,100,23368918
335,3350,1,100,24385667
340,3400,1,100,24804696
345,3450,1,100,25655410
350,3500,1,100,22491170
355,3550,1,100,25203959
360,3600,1,100,26497466
365,3650,1,100,24104344
370,3700,1,100,27118276
375,3750,1,100,24786406
380,3800,1,100,25828804
385,3850,1,100,26604385
390,3900,1,100,27273514
395,3950,1,100,29049487
400,4000,1,100,28995303
405,4050,1,100,32004571
410,4100,1,100,29653971
415,4150,1,100,30017153
420,4200,1,100,31507523
425,4250,1,100,31925155
430,4300,1,100,32036321
435,4350,1,100,30334827
440,4400,1,100,24463908
445,4450,1,100,32241359
450,4500,1,100,31852086
455,4550,1,100,32178844
460,4600,1,100,36356752
465,4650,1,100,33777544
470,4700,1,100,29286920
475,4750,1,100,36248087
480,4800,1,100,34372369
485,4850,1,100,31986706
490,4900,1,100,33552379
495,4950,1,100,40755358
500,5000,1,100,35264129
505,5050,1,100,33626695
510,5100,1,100,45192093
515,5150,1,100,35691744
520,5200,1,100,41651966
525,5250,1,100,39374247
530,5300,1,100,36769002
535,5350,1,100,41586247
540,5400,1,100,39031706
545,5450,1,100,38792749
550,5500,1,100,38616386
555,5550,1,100,41758008
560,5600,1,100,44112662
565,5650,1,100,41275238
570,5700,1,100,39537815
575,5750,1,100,43546226
580,5800,1,100,42133963
585,5850,1,100,45498075
590,5900,1,100,43338395
595,5950,1,100,46046657
600,6000,1,100,49700881
605,6050,1,100,47937768
610,6100,1,100,51570562
615,6150,1,100,50489936
620,6200,1,100,52882474
625,6250,1,100,48657810
630,6300,1,100,48131347
635,6350,1,100,56723723
640,6400,1,100,50845880
645,6450,1,100,51471160
650,6500,1,100,44688261
655,6550,1,100,52275748
660,6600,1,100,50815600
665,6650,1,100,56045382
670,6700,1,100,52356604
675,6750,1,100,59757308
680,6800,1,100,53043225
685,6850,1,100,53963837
690,6900,1,100,57711366
695,6950,1,100,51155133
700,7000,1,100,53491252
705,7050,1,100,56059032
710,7100,1,100,57445129
715,7150,1,100,53071438
720,7200,1,100,54770088
725,7250,1,100,54737113
730,7300,1,100,59812849
735,7350,1,100,55543890
740,7400,1,100,55509312
745,7450,1,100,59311444
750,7500,1,100,62251854
755,7550,1,100,63480239
760,7600,1,100,58276702
765,7650,1,100,68924455
770,7700,1,100,59676153
775,7750,1,100,69308790
780,7800,1,100,61608104
785,7850,1,100,66342860
790,7900,1,100,66567183
795,7950,1,100,66078670
800,8000,1,100,66584811
805,8050,1,100,84117792
810,8100,1,100,67287086
815,8150,1,100,61554690
820,8200,1,100,63540445
825,8250,1,100,66649194
830,8300,1,100,74986011
835,8350,1,100,75638370
840,8400,1,100,80102249
845,8450,1,100,64399525
850,8500,1,100,67300318
855,8550,1,100,74070803
860,8600,1,100,74809683
865,8650,1,100,74357255
870,8700,1,100,85433195
875,8750,1,100,103884083
880,8800,1,100,113863176
885,8850,1,100,82842465
890,8900,1,100,71753264
895,8950,1,100,80035067
900,9000,1,100,82419661
905,9050,1,100,85822503
910,9100,1,100,89903737
915,9150,1,100,83506351
920,9200,1,100,83098681
925,9250,1,100,84347898
930,9300,1,100,74034125
935,9350,1,100,101590025
940,9400,1,100,86834721
945,9450,1,100,89498978
950,9500,1,100,83288223
955,9550,1,100,90707726
960,9600,1,100,81812442
965,9650,1,100,90587175
970,9700,1,100,112756029
975,9750,1,100,101609455
980,9800,1,100,111835248
985,9850,1,100,97477877
990,9900,1,100,101286587
995,9950,1,100,106122823
1000,10000,1,100,83782436
1005,10050,1,100,93054822
1010,10100,1,100,95706475
1015,10150,1,100,100771884
1020,10200,1,100,104286227
1025,10250,1,100,96253170
1030,10300,1,100,110764010
1035,10350,1,100,106495887
1040,10400,1,100,108873210
1045,10450,1,100,103097065
1050,10500,1,100,93920719
1055,10550,1,100,96269799
1060,10600,1,100,123479407
1065,10650,1,100,130360432
1070,10700,1,100,116894825
1075,10750,1,100,119868146
1080,10800,1,100,101705522
1085,10850,1,100,92707107
1090,10900,1,100,112964550
1095,10950,1,100,102886097
1100,11000,1,100,138433245
1105,11050,1,100,117898537
