n,m,cmin,cmax,dual_lp
50,300,1,100,4099436
55,330,1,100,3778003
60,360,1,100,4010845
65,390,1,100,5185608
70,420,1,100,4297329
75,450,1,100,5089564
80,480,1,100,5503614
85,510,1,100,5660903
90,540,1,100,5638336
95,570,1,100,6590167
100,600,1,100,5720378
105,630,1,100,7200536
110,660,1,100,6659323
115,690,1,100,7083569
120,720,1,100,7576607
125,750,1,100,7889806
130,780,1,100,8405335
135,810,1,100,8377935
140,840,1,100,8861909
145,870,1,100,8794197
150,900,1,100,8422335
155,930,1,100,9675148
160,960,1,100,9885472
165,990,1,100,10898195
170,1020,1,100,10871601
175,1050,1,100,10273088
180,1080,1,100,12563225
185,1110,1,100,11289404
190,1140,1,100,11546001
195,1170,1,100,11958351
200,1200,1,100,12709517
205,1230,1,100,15100452
210,1260,1,100,13004742
215,1290,1,100,13302685
220,1320,1,100,12025936
225,1350,1,100,12102710
230,1380,1,100,12571845
235,1410,1,100,12647248
240,1440,1,100,13380463
245,1470,1,100,12606325
250,1500,1,100,15380385
255,1530,1,100,15442412
260,1560,1,100,16054293
265,1590,1,100,17193821
270,1620,1,100,15291761
275,1650,1,100,15777335
280,1680,1,100,15812674
285,1710,1,100,16554021
290,1740,1,100,15659616
295,1770,1,100,16647745
300,1800,1,100,16020908
305,1830,1,100,15234372
310,1860,1,100,15682966
315,1890,1,100,17727521
320,1920,1,100,16574469
325,1950,1,100,16997277
330,1980,1,100,17139326
335,2010,1,100,17114879
340,2040,1,100,17410199
345,2070,1,100,18168844
350,2100,1,100,17938254
355,2130,1,100,18285794
360,2160,1,100,18310333
365,2190,1,100,18745814
370,2220,1,100,20263676
375,2250,1,100,19387635
380,2280,1,100,19137581
385,2310,1,100,19864065
390,2340,1,100,20605787
395,2370,1,100,20317114
400,2400,1,100,20100954
405,2430,1,100,21293768
410,2460,1,100,23557048
415,2490,1,100,21239124
420,2520,1,100,22293782
425,2550,1,100,21844843
430,2580,1,100,23479785
435,2610,1,100,28876001
440,2640,1,100,23991192
445,2670,1,100,24186452
450,2700,1,100,25334456
455,2730,1,100,23929286
460,2760,1,100,23378430
465,2790,1,100,23784214
470,2820,1,100,23523463
475,2850,1,100,30025445
480,2880,1,100,30381679
485,2910,1,100,29002278
490,2940,1,100,28475085
495,2970,1,100,29587033
500,3000,1,100,32495753
505,3030,1,100,31509909
510,3060,1,100,32781290
515,3090,1,100,31023944
520,3120,1,100,32947761
525,3150,1,100,33818561
530,3180,1,100,31008626
535,3210,1,100,34829449
540,3240,1,100,34342416
545,3270,1,100,32477972
550,3300,1,100,31824823
555,3330,1,100,35430323
560,3360,1,100,33489956
565,3390,1,100,32919550
570,3420,1,100,35244868
575,3450,1,100,37069239
580,3480,1,100,33738143
585,3510,1,100,35105403
590,3540,1,100,34933654
595,3570,1,100,35453277
600,3600,1,100,35931600
605,3630,1,100,36557756
610,3660,1,100,36144475
615,3690,1,100,37211184
620,3720,1,100,37500062
625,3750,1,100,37275123
630,3780,1,100,38801541
635,3810,1,100,36893513
640,3840,1,100,41080241
645,3870,1,100,42223576
650,3900,1,100,41410363
655,3930,1,100,40236675
660,3960,1,100,43836382
665,3990,1,100,40697359
670,4020,1,100,39534280
675,4050,1,100,39714054
680,4080,1,100,42642957
685,4110,1,100,42212888
690,4140,1,100,40764799
695,4170,1,100,42706212
700,4200,1,100,48485931
705,4230,1,100,44229986
710,4260,1,100,42673678
715,4290,1,100,44790094
