n,m,dual_lp
50,450,5354373
55,495,6310203
60,540,6704928
65,585,9427744
70,630,8108494
75,675,7434994
80,720,7534035
85,765,8352220
90,810,8907971
95,855,12052010
100,900,9704527
105,945,10118045
110,990,13808621
115,1035,10884052
120,1080,11497298
125,1125,12121977
130,1170,13580710
135,1215,13353445
140,1260,15166531
145,1305,12873110
150,1350,16855156
155,1395,13510270
160,1440,13820015
165,1485,15994809
170,1530,15748554
175,1575,14496568
180,1620,16428730
185,1665,16987649
190,1710,16788806
195,1755,15988316
200,1800,20115959
205,1845,18836839
210,1890,21588210
215,1935,18774033
220,1980,20818315
225,2025,21384333
230,2070,21030864
235,2115,21398359
240,2160,23459531
245,2205,21631403
250,2250,21100413
255,2295,24490131
260,2340,24478584
265,2385,27689606
270,2430,29959394
275,2475,26234699
280,2520,28571193
285,2565,28826613
290,2610,29029332
295,2655,28562776
300,2700,28278403
305,2745,31443822
310,2790,30969260
315,2835,29546694
320,2880,29330194
325,2925,28299773
330,2970,30869914
335,3015,30416454
340,3060,31333859
345,3105,31339063
350,3150,31873613
355,3195,31399788
360,3240,33966132
365,3285,32793593
370,3330,32934734
375,3375,33011012
380,3420,33488600
385,3465,34067239
390,3510,36120472
395,3555,37535116
400,3600,37386270
405,3645,36271021
410,3690,36243827
415,3735,36117300
420,3780,39035153
425,3825,40835288
430,3870,42270683
435,3915,40307849
440,3960,40872858
445,4005,41329257
450,4050,39581764
455,4095,39884895
460,4140,40642527
465,4185,41441760
470,4230,45123923
475,4275,43854981
480,4320,43558999
485,4365,46637236
490,4410,43900379
495,4455,47892722
500,4500,44364798
505,4545,45959078
510,4590,47686793
515,4635,47687974
520,4680,47943661
525,4725,51007368
530,4770,50881393
535,4815,51320571
540,4860,48208496
545,4905,51668844
550,4950,50167429
555,4995,51837299
560,5040,52437904
565,5085,52673094
570,5130,53357690
575,5175,56022127
580,5220,60394262
585,5265,56318682
590,5310,55545345
595,5355,55315792
600,5400,55037355
605,5445,53190179
610,5490,53283146
615,5535,56557183
620,5580,57042229
625,5625,56458615
630,5670,59033542
635,5715,56324852
640,5760,58889026
645,5805,57387558
650,5850,60293939
655,5895,61151273
660,5940,95763253
665,5985,95955095
670,6030,65018423
675,6075,63825967
680,6120,65417539
685,6165,65240832
690,6210,66368274
695,6255,72938647
700,6300,69648845
705,6345,68049272
710,6390,72615013
715,6435,69116329
720,6480,66333695
725,6525,64142558
730,6570,71784410
735,6615,71631658
740,6660,66945866
745,6705,67269090
750,6750,73335471
755,6795,71819084
760,6840,68784024
765,6885,75247457
770,6930,70138707
775,6975,90823145
780,7020,87974635
785,7065,87489100
790,7110,96239760
795,7155,93148216
800,7200,106626839
805,7245,97413850
810,7290,101781231
815,7335,108076715
820,7380,98751685
825,7425,110554874
830,7470,100964717
835,7515,84146070
840,7560,103769449
845,7605,97149097
850,7650,96946638
855,7695,107047197
860,7740,102182822
865,7785,105469286
870,7830,106352699
875,7875,102506647
880,7920,107427809
885,7965,102403471
890,8010,104982793
895,8055,112792078
900,8100,113731793
905,8145,115976706
910,8190,105979865
915,8235,110802469
920,8280,113376431
925,8325,106268270
930,8370,124727976
935,8415,116598569
940,8460,114040154
945,8505,119464808
950,8550,122583008
955,8595,119183745
960,8640,120273644
965,8685,132795023
970,8730,121903295
975,8775,151765319
980,8820,123369828
985,8865,145349899
990,8910,126183133
995,8955,132764943
1000,9000,133217356
1005,9045,145927419
1010,9090,139728185
1015,9135,135563161
1020,9180,137982881
1025,9225,132535293
1030,9270,131864458
1035,9315,139434482
1040,9360,146361538
1045,9405,151878440
1050,9450,126032727
1055,9495,151165853
1060,9540,140660668
1065,9585,149161820
1070,9630,148564958
1075,9675,148409128
1080,9720,155775945
1085,9765,153045927
1090,9810,142417525
1095,9855,158546000
1100,9900,152699857
1105,9945,154092666
1110,9990,159518134
1115,10035,183412062
1120,10080,204052105
1125,10125,243503364
1130,10170,225140422
1135,10215,260827624
1140,10260,284832227
1145,10305,266967464
1150,10350,193486132
1155,10395,184988671
1160,10440,214786932
1165,10485,211571654
1170,10530,219811933
1175,10575,215911251
1180,10620,211728589
1185,10665,223116031
1190,10710,185585662
1195,10755,193323194
1200,10800,188407586
1205,10845,185415388
1210,10890,202894003
1215,10935,222419900
1220,10980,216987922
1225,11025,208642134
1230,11070,215849404
1235,11115,214037969
1240,11160,215372123
1245,11205,243736539
1250,11250,240372355
1255,11295,194513903
1260,11340,196775662
1265,11385,232013159
1270,11430,250233162
1275,11475,242895928
1280,11520,256366718
1285,11565,239508895
1290,11610,277272037
1295,11655,222141005
1300,11700,246215716
1305,11745,201127773
1310,11790,281221209
1315,11835,229197594
1320,11880,259519449
1325,11925,236838229
1330,11970,251315256
1335,12015,259750324
1340,12060,271657553
1345,12105,259058606
1350,12150,219925186
1355,12195,352123502
1360,12240,270442456
1365,12285,265732835
1370,12330,278200519
1375,12375,288199563
1380,12420,284828116
1385,12465,260459911
1390,12510,279053103
1395,12555,259218773
1400,12600,287416270
1405,12645,248771602
1410,12690,277300776
1415,12735,273416705
1420,12780,284479055
1425,12825,241166829
1430,12870,283178757
1435,12915,281913604
1440,12960,269575036
1445,13005,272528530
1450,13050,240513296
1455,13095,276982543
1460,13140,292046521
1465,13185,287174475
1470,13230,284826501
1475,13275,279504166
1480,13320,299482432
1485,13365,299073012
1490,13410,364915197
1495,13455,274378958
1500,13500,254955024
1505,13545,293772172
1510,13590,289292277
1515,13635,300740139
1520,13680,293887288
1525,13725,277486760
1530,13770,305067293
1535,13815,274164825
1540,13860,332314522
1545,13905,293829560
1550,13950,289001115
1555,13995,297629534
1560,14040,301430278
1565,14085,300474788
1570,14130,294053117
1575,14175,301842500
1580,14220,323998013
1585,14265,312606950
1590,14310,299569780
1595,14355,313305956
1600,14400,313935620
1605,14445,310186784
1610,14490,302906025
1615,14535,304863907
1620,14580,318962905
1625,14625,360611015
1630,14670,311384448
1635,14715,313281174
1640,14760,333554388
1645,14805,316443990
1650,14850,358148918
1655,14895,328155403
1660,14940,327507971
1665,14985,332976328
1670,15030,317467776
1675,15075,329941739
1680,15120,320089503
1685,15165,366897617
1690,15210,357669265
1695,15255,356730974
1700,15300,345199319
1705,15345,326376137
1710,15390,352051040
1715,15435,325862835
1720,15480,338425815
1725,15525,334169635
1730,15570,344641834
1735,15615,327525933
1740,15660,459496199
1745,15705,329460606
1750,15750,330982715
1755,15795,342162712
1760,15840,346001758
1765,15885,352873858
1770,15930,351376817
1775,15975,347178636
1780,16020,339985862
1785,16065,368227756
1790,16110,367247423
1795,16155,348512780
1800,16200,341177761
1805,16245,350377722
1810,16290,348432613
1815,16335,351224994
1820,16380,358316504
1825,16425,362059897
1830,16470,353948086
1835,16515,351351692
1840,16560,383333289
1845,16605,369235633
1850,16650,360495843
1855,16695,371802147
1860,16740,358859887
1865,16785,380003372
1870,16830,359371712
1875,16875,372265456
1880,16920,380422378
1885,16965,373931246
1890,17010,358939849
1895,17055,363763405
1900,17100,364643816
1905,17145,396094205
1910,17190,387112044
1915,17235,372892556
1920,17280,462765594
1925,17325,391021324
1930,17370,368583662
1935,17415,377707602
1940,17460,371962091
1945,17505,397189327
1950,17550,373149183
1955,17595,410480701
1960,17640,412382789
1965,17685,391898582
1970,17730,426591457
1975,17775,400017924
1980,17820,388258341
1985,17865,412705868
1990,17910,386061914
1995,17955,380315192
2000,18000,427125961
2005,18045,435600301
2010,18090,394896251
2015,18135,410130984
2020,18180,560919644
2025,18225,395652264
2030,18270,456166926
2035,18315,434762843
2040,18360,436338363
2045,18405,385103622
2050,18450,444720477
2055,18495,424273722
2060,18540,453835301
2065,18585,419367770
2070,18630,437580615
2075,18675,404882985
2080,18720,426882401
2085,18765,427347557
2090,18810,444167414
2095,18855,466301948
2100,18900,480351439
2105,18945,444074764
2110,18990,417642309
2115,19035,453234004
2120,19080,429410366
2125,19125,487913954
2130,19170,476560354
2135,19215,483579766
2140,19260,466922726
2145,19305,458031330
2150,19350,497500522
2155,19395,438549454
2160,19440,452706335
2165,19485,443158610
2170,19530,482364293
2175,19575,475638105
2180,19620,497271556
2185,19665,503938453
2190,19710,444083750
2195,19755,495864029
2200,19800,476241401
2205,19845,540911975
2210,19890,497613936
2215,19935,487736612
2220,19980,484523843
2225,20025,463297714
2230,20070,494110568
2235,20115,495098314
2240,20160,501502059
2245,20205,628124200
2250,20250,512821017
2255,20295,502606969
2260,20340,530745274
2265,20385,518390117
2270,20430,512158645
2275,20475,503483754
2280,20520,535880577
2285,20565,515797937
2290,20610,449964588
2295,20655,497901359
2300,20700,494054391
2305,20745,530504876
2310,20790,488821827
2315,20835,500266827
2320,20880,543030058
2325,20925,537930652
2330,20970,509800253
2335,21015,520128325
2340,21060,500336550
2345,21105,542485008
2350,21150,526726070
2355,21195,515661861
2360,21240,563602136
2365,21285,500681634
2370,21330,488073324
2375,21375,544557736
2380,21420,504406844
2385,21465,558828989
2390,21510,553657381
2395,21555,465722754
2400,21600,537078609
2405,21645,490803855
2410,21690,576709935
2415,21735,545557382
2420,21780,564201777
2425,21825,537442985
2430,21870,518944701
2435,21915,595771776
2440,21960,653924143
2445,22005,571726259
2450,22050,533921025
2455,22095,617174187
2460,22140,590598371
2465,22185,618887825
2470,22230,580799879
2475,22275,589983035
2480,22320,594678533
2485,22365,541013163
2490,22410,538124319
2495,22455,560387291
2500,22500,523240723
2505,22545,543420538
2510,22590,549341152
2515,22635,587344808
2520,22680,593232524
2525,22725,523769594
2530,22770,550399239
2535,22815,569098398
2540,22860,560472894
2545,22905,616792909
2550,22950,575265070
2555,22995,565571659
2560,23040,557973279
2565,23085,623266110
2570,23130,564317036
2575,23175,562291723
2580,23220,604094942
2585,23265,551279164
2590,23310,615239451
2595,23355,742999034
2600,23400,604851018
2605,23445,607722145
2610,23490,565542203
2615,23535,603975215
2620,23580,579739388
2625,23625,717313483
2630,23670,627141653
2635,23715,617294195
2640,23760,791221682
2645,23805,592645216
2650,23850,633678392
2655,23895,585590977
2660,23940,646069142
2665,23985,579333781
2670,24030,635276021
2675,24075,599003975
2680,24120,655723212
2685,24165,604282896
2690,24210,633131009
2695,24255,592826598
2700,24300,609607091
2705,24345,591599328
2710,24390,613081934
2715,24435,642277088
2720,24480,657717736
2725,24525,619413032
2730,24570,616758506
2735,24615,646947666
2740,24660,627866369
2745,24705,604287565
2750,24750,606201575
2755,24795,636363464
2760,24840,666332289
2765,24885,636312354
2770,24930,655026264
2775,24975,573442810
2780,25020,656865087
2785,25065,609814797
2790,25110,684296821
2795,25155,658202735
2800,25200,641666077
2805,25245,669815817
2810,25290,731618671
2815,25335,676488517
2820,25380,646188577
2825,25425,634327851
2830,25470,673339272
2835,25515,655904867
2840,25560,695476348
2845,25605,621595365
2850,25650,661582304
2855,25695,671661520
2860,25740,707114397
2865,25785,655267568
2870,25830,636139270
2875,25875,660335250
2880,25920,686151263
2885,25965,718619055
2890,26010,653891227
2895,26055,701230992
2900,26100,639286835
2905,26145,681090888
2910,26190,672671734
2915,26235,942216091
2920,26280,670113173
2925,26325,715438747
2930,26370,683364059
2935,26415,719416448
2940,26460,702393469
2945,26505,916720375
2950,26550,622763212
2955,26595,622898890
2960,26640,596425604
2965,26685,658978605
2970,26730,589485711
2975,26775,673270329
2980,26820,641119984
2985,26865,663651873
2990,26910,623716140
2995,26955,584930298
3000,27000,629588554
