n,m,cmin,cmax,dual_lp
50,650,1,1,6839566
55,715,1,1,7512928
60,780,1,1,7712394
65,845,1,1,8904361
70,910,1,1,8581625
75,975,1,1,9091805
80,1040,1,1,9722798
85,1105,1,1,10663929
90,1170,1,1,11274336
95,1235,1,1,11028427
100,1300,1,1,15139041
105,1365,1,1,13030577
110,1430,1,1,12712139
115,1495,1,1,13502852
120,1560,1,1,14093183
125,1625,1,1,15066133
130,1690,1,1,13939652
135,1755,1,1,14765037
140,1820,1,1,15613021
145,1885,1,1,15993512
150,1950,1,1,15775033
155,2015,1,1,16825796
160,2080,1,1,17607843
165,2145,1,1,17713083
170,2210,1,1,18071943
175,2275,1,1,21641269
180,2340,1,1,24241268
185,2405,1,1,24637989
190,2470,1,1,25990003
195,2535,1,1,26914562
200,2600,1,1,26653558
205,2665,1,1,27488442
210,2730,1,1,28330588
215,2795,1,1,28857606
220,2860,1,1,29362215
225,2925,1,1,29697646
230,2990,1,1,31136726
235,3055,1,1,31881644
240,3120,1,1,30533293
245,3185,1,1,32696623
250,3250,1,1,30339202
255,3315,1,1,33091374
260,3380,1,1,34935226
265,3445,1,1,36407487
270,3510,1,1,34285688
275,3575,1,1,33281316
280,3640,1,1,32835014
285,3705,1,1,34992139
290,3770,1,1,36107435
295,3835,1,1,37738142
300,3900,1,1,38170858
305,3965,1,1,43011607
310,4030,1,1,37314239
315,4095,1,1,40242232
320,4160,1,1,41127004
325,4225,1,1,41850273
330,4290,1,1,41492883
335,4355,1,1,42371152
340,4420,1,1,42933275
345,4485,1,1,41475174
350,4550,1,1,44284527
355,4615,1,1,41876240
360,4680,1,1,44012030
365,4745,1,1,42917585
370,4810,1,1,44762284
375,4875,1,1,44355738
380,4940,1,1,45795643
385,5005,1,1,47412668
390,5070,1,1,46379168
395,5135,1,1,47757414
400,5200,1,1,48317311
405,5265,1,1,50365434
410,5330,1,1,50199567
415,5395,1,1,51161657
420,5460,1,1,51250777
425,5525,1,1,50059202
430,5590,1,1,52887832
435,5655,1,1,55484594
