n,m,primal_lp
100,100,2418638
100,200,2576905
100,300,2803163
100,400,3474493
100,500,5152794
100,600,4172738
100,700,4490705
100,800,4900186
100,900,5538471
100,1000,4759090
100,1100,6234555
100,1200,6421936
100,1300,7559554
100,1400,7087029
100,1500,6730655
100,1600,7808315
100,1700,7461915
100,1800,8974002
100,1900,8604853
100,2000,8525582
100,2100,8552330
100,2200,9041378
100,2300,9435526
100,2400,9834058
100,2500,10810967
100,2600,10552868
100,2700,10865392
100,2800,11252172
100,2900,12500376
100,3000,12197436
100,3100,12735566
100,3200,13713060
100,3300,13605830
100,3400,13504959
100,3500,13361807
100,3600,14040741
100,3700,14705692
100,3800,14112974
100,3900,15363151
100,4000,15371960
100,4100,15269785
100,4200,17318150
100,4300,17714169
100,4400,14085136
100,4500,18311377
100,4600,16826419
100,4700,17604596
100,4800,17988433
100,4900,17102245
100,5000,17455048
100,5100,19081851
100,5200,18339319
100,5300,20471845
100,5400,20371893
100,5500,20212298
100,5600,20633859
100,5700,20242648
100,5800,20418991
100,5900,19624107
100,6000,21464671
100,6100,21074832
100,6200,21912435
100,6300,23575627
100,6400,22295041
100,6500,23338440
100,6600,22720252
100,6700,23384380
100,6800,17257024
100,6900,24464457
100,7000,23149471
100,7100,23883489
100,7200,24213889
100,7300,26646664
100,7400,26214369
100,7500,25998525
100,7600,24848952
100,7700,26341327
100,7800,25989775
100,7900,26846451
100,8000,27511152
100,8100,28674171
100,8200,28673207
100,8300,28287372
100,8400,27769481
100,8500,20465577
100,8600,27098972
100,8700,30377504
100,8800,29324859
100,8900,22929985
100,9000,30679712
100,9100,29051911
100,9200,29394514
100,9300,28573565
100,9400,29249991
100,9500,31366064
100,9600,30819208
100,9700,32392955
100,9800,47205547
100,9900,31472203
100,10000,17802481
