n,m,primal_lp
900,900,28031772
900,1000,6951063
900,1100,8168503
900,1200,8771925
900,1300,8318823
900,1400,9889112
900,1500,11650582
900,1600,14793105
900,1700,13520260
900,1800,16406861
900,1900,18334034
900,2000,19086657
900,2100,20906577
900,2200,19204845
900,2300,20137981
900,2400,30163218
900,2500,23173071
900,2600,30110523
900,2700,30013285
900,2800,21505006
900,2900,17110803
900,3000,17043636
900,3100,20233493
900,3200,40531710
900,3300,32592856
900,3400,24769180
900,3500,20199360
900,3600,22090681
900,3700,40297547
900,3800,54342726
900,3900,29684987
900,4000,18945400
900,4100,23850308
900,4200,18326299
900,4300,21355121
900,4400,21788634
900,4500,22018017
900,4600,20860691
900,4700,33082072
900,4800,23724125
900,4900,32592679
900,5000,23009778
900,5100,21970824
900,5200,35002612
900,5300,40169834
900,5400,24345886
900,5500,31926007
900,5600,51051363
900,5700,58893852
900,5800,53907891
900,5900,57996184
900,6000,48837364
900,6100,60412993
900,6200,28649148
900,6300,46937922
900,6400,56704466
900,6500,64714861
900,6600,30605193
900,6700,48803200
900,6800,62781883
900,6900,30488877
900,7000,38852173
900,7100,56117662
900,7200,70470249
900,7300,60281574
900,7400,40283342
900,7500,62224953
900,7600,57492720
900,7700,57750956
900,7800,55958868
900,7900,61069629
900,8000,63913892
900,8100,63189980
900,8200,57465899
900,8300,61842498
900,8400,71005250
900,8500,57651133
900,8600,69397196
900,8700,69594490
900,8800,75064438
900,8900,71894883
900,9000,75379224
900,9100,65723565
900,9200,74517991
900,9300,69016222
900,9400,60284993
900,9500,69075643
900,9600,68949349
900,9700,81487618
900,9800,82870171
900,9900,66789739
900,10000,80159478
900,10100,75768265
900,10200,82515702
900,10300,80851669
900,10400,94036357
900,10500,93938408
900,10600,85968175
900,10700,63434905
900,10800,81319574
900,10900,87122213
900,11000,87686036
900,11100,83705098
900,11200,84499638
900,11300,86548809
900,11400,73297819
900,11500,80984447
900,11600,92722482
900,11700,87645742
900,11800,105576117
900,11900,89306044
900,12000,76322220
900,12100,98644059
900,12200,93415746
900,12300,98831487
900,12400,110426992
900,12500,117271686
900,12600,114339561
900,12700,113368717
900,12800,121193298
900,12900,116559202
900,13000,113243755
900,13100,112778430
900,13200,120299477
900,13300,114131465
900,13400,101163237
900,13500,123125290
900,13600,109886333
900,13700,113979086
900,13800,105234924
900,13900,150102743
900,14000,119195339
900,14100,94020303
900,14200,109780434
900,14300,121204595
900,14400,106569655
900,14500,127662674
900,14600,124633554
900,14700,106497900
900,14800,126659848
900,14900,103974917
900,15000,95723085
900,15100,120344993
900,15200,133107538
900,15300,116386048
900,15400,125031876
900,15500,137463225
900,15600,135382305
900,15700,124036598
900,15800,135344002
900,15900,125194528
900,16000,136246122
900,16100,122290417
900,16200,131344278
900,16300,131824925
900,16400,140235040
900,16500,128942089
900,16600,129436685
900,16700,117844471
900,16800,114606373
900,16900,112750776
900,17000,111745612
900,17100,128114377
900,17200,112885736
900,17300,114226783
900,17400,115195152
900,17500,122438410
900,17600,132022461
900,17700,136341209
900,17800,148822160
900,17900,145660018
900,18000,147254866
900,18100,137004959
900,18200,132741097
900,18300,148939791
900,18400,135650528
900,18500,137257947
900,18600,138237069
900,18700,150073553
900,18800,139605684
900,18900,152811497
900,19000,140486343
900,19100,141068423
900,19200,162664129
900,19300,152478426
900,19400,160465611
900,19500,154484415
900,19600,158039146
900,19700,142204058
900,19800,168800933
900,19900,146653386
900,20000,142777515
900,20100,143392216
900,20200,148165478
900,20300,160866445
900,20400,159557382
900,20500,146369364
900,20600,161067715
900,20700,146275844
900,20800,160155602
900,20900,143941937
900,21000,152562693
900,21100,151034386
900,21200,168273183
900,21300,152791370
900,21400,172173231
900,21500,162559693
900,21600,172069974
900,21700,190889796
900,21800,166422040
900,21900,170133625
900,22000,172492726
900,22100,169050726
900,22200,155098543
900,22300,168617273
900,22400,170778141
900,22500,168617958
900,22600,184072273
900,22700,203292946
900,22800,169970148
900,22900,174951143
900,23000,175637992
900,23100,165477333
900,23200,177341422
900,23300,189027809
900,23400,169935530
900,23500,178646315
900,23600,168959216
900,23700,177315749
900,23800,176436270
900,23900,161592524
900,24000,205875933
900,24100,167912902
900,24200,144774270
900,24300,185301776
900,24400,197221798
900,24500,171947747
900,24600,178066288
900,24700,165322928
900,24800,230467886
900,24900,243799241
900,25000,168227106
900,25100,209468006
900,25200,163923017
900,25300,169027011
900,25400,179632788
900,25500,188927568
900,25600,197405833
900,25700,169881643
900,25800,191310460
900,25900,201000403
900,26000,191762492
900,26100,163982631
900,26200,169572049
900,26300,167489592
900,26400,219202822
900,26500,197871293
900,26600,185231762
900,26700,207316017
900,26800,177482462
900,26900,244132131
900,27000,188644574
900,27100,212375349
900,27200,204412079
900,27300,211164838
900,27400,200099037
900,27500,187679396
900,27600,210131331
900,27700,201795483
900,27800,210197734
900,27900,188091222
900,28000,189816982
900,28100,239336435
900,28200,213569707
900,28300,190638312
900,28400,211026864
900,28500,194831277
900,28600,172052321
900,28700,247882152
900,28800,193160420
900,28900,209567480
900,29000,232400773
900,29100,224205637
900,29200,217426377
900,29300,234697396
900,29400,202521590
900,29500,186049106
900,29600,188746617
900,29700,232652832
900,29800,205201020
900,29900,213284278
900,30000,231551887
900,30100,222253457
900,30200,234384792
900,30300,233760105
900,30400,218326201
900,30500,237445724
900,30600,230659971
900,30700,254227144
900,30800,206387778
900,30900,220330333
900,31000,225107392
900,31100,206639514
900,31200,247641294
900,31300,225217451
900,31400,226214201
900,31500,227479578
900,31600,244221325
900,31700,223779695
900,31800,196732071
900,31900,222959222
900,32000,258221914
900,32100,232437568
900,32200,254998940
900,32300,251019798
900,32400,244671043
900,32500,250304030
900,32600,200257756
900,32700,235584200
900,32800,238448405
900,32900,203939823
900,33000,251112071
900,33100,231832523
900,33200,258299071
900,33300,240010544
900,33400,234172476
900,33500,231816899
900,33600,300560176
900,33700,241197775
900,33800,250083718
900,33900,245368431
900,34000,270987637
900,34100,234634428
900,34200,307139998
900,34300,259265185
900,34400,250964249
900,34500,280905101
900,34600,251803912
900,34700,286018142
900,34800,258447286
900,34900,253440664
900,35000,269342197
900,35100,252487258
900,35200,233849426
900,35300,290509728
900,35400,227457335
900,35500,243046798
900,35600,279102442
900,35700,272696174
900,35800,334678167
900,35900,207305446
900,36000,291658489
900,36100,325308004
900,36200,304701802
900,36300,302578680
900,36400,361122697
