n,m,lp_runs,exp_lp
50,250,14,4469827
55,275,19,5382018
60,300,15,4795080
65,325,19,6410103
70,350,16,5400858
75,375,10,3992740
80,400,14,5057006
85,425,5,2870887
90,450,10,4166277
95,475,6,3222031
100,500,3,2603215
105,525,6,3287740
110,550,13,5506380
115,575,20,7518361
120,600,16,6770451
125,625,13,5522108
130,650,42,16101431
135,675,29,11719871
140,700,20,8606294
145,725,18,7901854
150,750,36,14921836
155,775,29,12357153
160,800,47,20143626
165,825,40,16796166
170,850,40,18675963
175,875,43,21550018
180,900,46,22780182
185,925,24,13477341
190,950,47,23175678
195,975,24,12805333
200,1000,30,15581106
205,1025,49,24043802
210,1050,28,14411638
215,1075,39,19817769
220,1100,27,14463496
225,1125,23,12628485
230,1150,21,13023594
235,1175,20,12389667
240,1200,27,16646032
245,1225,37,21355189
250,1250,32,19627226
255,1275,32,19734063
260,1300,30,18581142
265,1325,19,12185151
270,1350,25,15381016
275,1375,18,12183094
280,1400,20,13183974
285,1425,36,22409321
290,1450,35,24709159
295,1475,24,22482520
300,1500,25,18556787
305,1525,32,23009608
310,1550,30,21068501
315,1575,26,18275871
320,1600,38,25653083
325,1625,41,27927782
330,1650,30,21668096
335,1675,28,21539319
340,1700,22,17477896
345,1725,35,27172716
350,1750,32,25477683
355,1775,31,24812507
360,1800,16,13964689
365,1825,43,32401040
370,1850,21,17053271
375,1875,29,22921845
380,1900,31,26606122
385,1925,23,20686569
390,1950,39,32492143
395,1975,26,21959344
400,2000,27,23187960
405,2025,35,29545293
410,2050,11,11949370
415,2075,40,33530195
420,2100,34,30927589
425,2125,29,27366135
430,2150,36,34582895
435,2175,41,55894678
440,2200,17,31451621
445,2225,58,85543316
450,2250,33,34705692
455,2275,28,25850620
460,2300,29,26293652
465,2325,9,10899183
470,2350,38,33935823
475,2375,29,27093028
480,2400,30,28456142
485,2425,22,23865197
490,2450,27,28216551
495,2475,6,10671709
500,2500,20,21526133
505,2525,19,21564947
510,2550,25,26262022
515,2575,23,23692438
520,2600,39,38403369
525,2625,7,10644024
530,2650,29,31890749
535,2675,15,18993282
540,2700,35,38622705
545,2725,23,26633458
550,2750,31,32190441
555,2775,24,25732370
560,2800,22,24130605
565,2825,23,25338611
570,2850,10,16155546
575,2875,11,16391142
580,2900,14,19363599
585,2925,16,21228672
590,2950,21,26354638
595,2975,27,32307353
600,3000,23,26904316
605,3025,13,18800828
610,3050,3,8186966
615,3075,8,13046670
620,3100,7,13427360
625,3125,11,18020022
630,3150,5,11760150
635,3175,8,14862032
640,3200,7,14808578
645,3225,10,17132093
650,3250,8,15277550
655,3275,1,6931563
660,3300,9,15070497
665,3325,1,7231036
670,3350,2,7825115
675,3375,13,19344748
680,3400,2,8341874
685,3425,5,12154639
690,3450,18,29379836
695,3475,17,28896240
700,3500,8,17629783
705,3525,15,26268870
710,3550,18,28613277
715,3575,18,27015380
720,3600,16,25326663
725,3625,23,32649878
730,3650,17,28559648
735,3675,23,35859286
740,3700,29,41861060
745,3725,28,39788706
750,3750,21,31656103
755,3775,16,25968018
760,3800,38,58416660
765,3825,22,35601986
770,3850,64,89453629
775,3875,44,60188731
780,3900,46,73020546
785,3925,44,63254019
790,3950,48,68537361
795,3975,47,67203097
800,4000,42,62849129
805,4025,58,85510561
810,4050,45,71344853
815,4075,37,55552635
820,4100,38,57369765
825,4125,31,47103924
830,4150,49,76959375
835,4175,33,54392492
840,4200,28,44381338
845,4225,36,56267543
850,4250,28,46907205
855,4275,24,40506417
860,4300,33,54376023
865,4325,43,65397285
870,4350,26,42897998
875,4375,57,90239588
880,4400,42,65984007
885,4425,39,65355837
890,4450,28,46215175
895,4475,48,76540641
900,4500,34,55633193
905,4525,42,73196916
910,4550,22,38296883
915,4575,32,53791160
920,4600,46,76990462
925,4625,39,67433343
930,4650,35,61295445
935,4675,23,40617637
940,4700,43,71646366
945,4725,47,81162688
950,4750,29,50366324
955,4775,44,73924037
960,4800,35,61212437
965,4825,32,58181074
970,4850,34,59654855
975,4875,37,63196463
980,4900,45,79807583
985,4925,45,78861408
990,4950,48,85461776
995,4975,46,85744880
1000,5000,48,86243571
1005,5025,28,51986701
1010,5050,38,72360589
1015,5075,41,73195585
1020,5100,50,89830629
1025,5125,39,74759767
1030,5150,37,68156505
1035,5175,42,75064426
1040,5200,50,95341766
1045,5225,33,62489894
1050,5250,43,81692131
1055,5275,46,89581618
1060,5300,61,114100352
1065,5325,41,76747092
1070,5350,34,69712140
1075,5375,54,101676528
1080,5400,44,83471521
1085,5425,50,99007974
1090,5450,44,84016125
1095,5475,39,74689385
1100,5500,28,59325317
1105,5525,42,81429571
1110,5550,48,95625740
1115,5575,40,83593711
