n,m,cmin,cmax,dinic
1295,16835,1,1,2402331
1300,16900,1,1,2277220
1305,16965,1,1,2474568
1310,17030,1,1,2568028
1315,17095,1,1,3008549
1320,17160,1,1,2172700
1325,17225,1,1,2523972
1330,17290,1,1,2588538
1335,17355,1,1,2572009
1340,17420,1,1,2539267
1345,17485,1,1,2626449
1350,17550,1,1,2542478
1355,17615,1,1,2617944
1360,17680,1,1,2360892
1365,17745,1,1,2763848
1370,17810,1,1,2450540
1375,17875,1,1,2434801
1380,17940,1,1,3290237
1385,18005,1,1,2694279
1390,18070,1,1,2679920
1395,18135,1,1,3469237
1400,18200,1,1,2398633
1405,18265,1,1,2653301
1410,18330,1,1,2648081
1415,18395,1,1,2610394
1420,18460,1,1,3903978
1425,18525,1,1,2627186
1430,18590,1,1,2880848
1435,18655,1,1,2772160
1440,18720,1,1,2547349
1445,18785,1,1,2626835
1450,18850,1,1,2674086
1455,18915,1,1,2824128
1460,18980,1,1,2728310
1465,19045,1,1,2434634
1470,19110,1,1,2783456
1475,19175,1,1,2852986
1480,19240,1,1,2794814
1485,19305,1,1,2996438
1490,19370,1,1,3193821
1495,19435,1,1,2738445
1500,19500,1,1,2827104
1505,19565,1,1,2837472
1510,19630,1,1,3250530
1515,19695,1,1,3252065
1520,19760,1,1,2857087
1525,19825,1,1,2561551
1530,19890,1,1,2646848
1535,19955,1,1,2576302
1540,20020,1,1,2492894
1545,20085,1,1,2739678
1550,20150,1,1,2587958
1555,20215,1,1,2553771
1560,20280,1,1,3243287
1565,20345,1,1,2701647
1570,20410,1,1,2646882
1575,20475,1,1,2602902
1580,20540,1,1,2828141
1585,20605,1,1,2803868
1590,20670,1,1,2704209
1595,20735,1,1,2592823
1600,20800,1,1,2976212
1605,20865,1,1,2733107
1610,20930,1,1,3097797
1615,20995,1,1,2859007
1620,21060,1,1,2836871
1625,21125,1,1,2853435
1630,21190,1,1,2701767
1635,21255,1,1,2598198
1640,21320,1,1,4075586
1645,21385,1,1,3787940
1650,21450,1,1,2758580
1655,21515,1,1,2987051
1660,21580,1,1,2767583
1665,21645,1,1,2854117
1670,21710,1,1,2742577
1675,21775,1,1,2866596
1680,21840,1,1,2684523
1685,21905,1,1,2941783
1690,21970,1,1,3178298
1695,22035,1,1,2665609
1700,22100,1,1,2992512
1705,22165,1,1,3299182
1710,22230,1,1,2599558
1715,22295,1,1,2977740
1720,22360,1,1,2932779
1725,22425,1,1,2991919
1730,22490,1,1,3065424
1735,22555,1,1,2926067
1740,22620,1,1,3225721
1745,22685,1,1,3246962
1750,22750,1,1,3022754
1755,22815,1,1,3065346
1760,22880,1,1,3019281
1765,22945,1,1,3394906
1770,23010,1,1,3312629
1775,23075,1,1,3284466
1780,23140,1,1,3378062
1785,23205,1,1,3147626
1790,23270,1,1,3411220
1795,23335,1,1,3125058
1800,23400,1,1,3889204
1805,23465,1,1,3984553
1810,23530,1,1,3395096
1815,23595,1,1,3388451
1820,23660,1,1,3107863
1825,23725,1,1,3292958
1830,23790,1,1,3597886
1835,23855,1,1,3479421
1840,23920,1,1,3084204
1845,23985,1,1,3191007
1850,24050,1,1,3719111
1855,24115,1,1,3543228
1860,24180,1,1,3487113
1865,24245,1,1,3561683
1870,24310,1,1,3106048
1875,24375,1,1,3284269
1880,24440,1,1,3639214
1885,24505,1,1,3675979
1890,24570,1,1,3574337
1895,24635,1,1,4068716
1900,24700,1,1,3716922
1905,24765,1,1,3565600
1910,24830,1,1,3129495
1915,24895,1,1,3821276
1920,24960,1,1,3430761
1925,25025,1,1,4386286
1930,25090,1,1,3506494
1935,25155,1,1,3791397
1940,25220,1,1,3439767
1945,25285,1,1,3142149
1950,25350,1,1,3738210
1955,25415,1,1,3631807
1960,25480,1,1,3790249
1965,25545,1,1,3731260
1970,25610,1,1,3704597
1975,25675,1,1,3473347
1980,25740,1,1,3127520
1985,25805,1,1,3351349
1990,25870,1,1,3345907
1995,25935,1,1,3607216
2000,26000,1,1,3693860
2005,26065,1,1,3623658
2010,26130,1,1,3745807
2015,26195,1,1,4609893
