n,m,dinic
900,900,132596
900,1000,133523
900,1100,225958
900,1200,278305
900,1300,346086
900,1400,385805
900,1500,441919
900,1600,500505
900,1700,538851
900,1800,558842
900,1900,599092
900,2000,624165
900,2100,727071
900,2200,830533
900,2300,661590
900,2400,656911
900,2500,723534
900,2600,713697
900,2700,819492
900,2800,811822
900,2900,806054
900,3000,526949
900,3100,637621
900,3200,695440
900,3300,599177
900,3400,647868
900,3500,612262
900,3600,625701
900,3700,628989
900,3800,634225
900,3900,628040
900,4000,522990
900,4100,558380
900,4200,596348
900,4300,620048
900,4400,634823
900,4500,734518
900,4600,630254
900,4700,794088
900,4800,792575
900,4900,689504
900,5000,782127
900,5100,698681
900,5200,910590
900,5300,751639
900,5400,810563
900,5500,787015
900,5600,787315
900,5700,814069
900,5800,752742
900,5900,797353
900,6000,785102
900,6100,793045
900,6200,886290
900,6300,859946
900,6400,884816
900,6500,831617
900,6600,884948
900,6700,842058
900,6800,812416
900,6900,889559
900,7000,816306
900,7100,883524
900,7200,887330
900,7300,908304
900,7400,928585
900,7500,833082
900,7600,846711
900,7700,841087
900,7800,844798
900,7900,847133
900,8000,813818
900,8100,784724
900,8200,900840
900,8300,894361
900,8400,875418
900,8500,1401375
900,8600,921811
900,8700,972409
900,8800,958552
900,8900,963716
900,9000,905160
900,9100,949281
900,9200,933979
900,9300,933864
900,9400,985371
900,9500,954119
900,9600,1160348
900,9700,1119811
900,9800,1120672
900,9900,1131310
900,10000,1109608
900,10100,1127385
900,10200,1202997
900,10300,1157126
900,10400,1144963
900,10500,1153425
900,10600,1146118
900,10700,1084848
900,10800,1124801
900,10900,1157138
900,11000,1124323
900,11100,1125394
900,11200,1250987
900,11300,1277129
900,11400,1280699
900,11500,1215392
900,11600,1215204
900,11700,1144469
900,11800,1245479
900,11900,1186586
900,12000,1176568
900,12100,1149973
900,12200,1151007
900,12300,1165023
900,12400,1142032
900,12500,2095077
900,12600,2406193
900,12700,1231745
900,12800,1239647
900,12900,1221830
900,13000,1647827
900,13100,1733271
900,13200,1927286
900,13300,1712288
900,13400,1700005
900,13500,1445500
900,13600,1464450
900,13700,1500338
900,13800,1471545
900,13900,1628662
900,14000,1714720
900,14100,1808915
900,14200,1479685
900,14300,1463789
900,14400,1575330
900,14500,1544690
900,14600,1563831
900,14700,1464573
900,14800,1475871
900,14900,1336058
900,15000,1389037
900,15100,1398534
900,15200,1493040
900,15300,1868085
900,15400,1551781
900,15500,1517479
900,15600,1523555
900,15700,1390999
900,15800,1439473
900,15900,1423329
900,16000,1563735
900,16100,1570771
900,16200,1507332
900,16300,1568518
900,16400,1614443
900,16500,1710801
900,16600,1638281
900,16700,1819291
900,16800,2433254
900,16900,1748024
900,17000,1738739
900,17100,1595738
900,17200,1684032
900,17300,1836211
900,17400,1819829
900,17500,1691481
900,17600,1698441
900,17700,1626337
900,17800,1518251
900,17900,1407266
900,18000,1575039
900,18100,1628833
900,18200,1535388
900,18300,1541133
900,18400,1436410
900,18500,1475189
900,18600,1542225
900,18700,1535780
900,18800,1486012
900,18900,1453186
900,19000,1488030
900,19100,1497956
900,19200,1621739
900,19300,1623780
900,19400,1676539
900,19500,1618708
900,19600,1614772
900,19700,1560085
900,19800,1514411
900,19900,1503741
900,20000,1489361
900,20100,1670326
900,20200,1658203
900,20300,1570265
900,20400,1642923
900,20500,1551476
900,20600,1534830
900,20700,1562295
900,20800,1544817
900,20900,1578734
900,21000,1543526
900,21100,1904182
900,21200,1595684
900,21300,2160994
900,21400,1599858
900,21500,1572545
900,21600,1571842
900,21700,1584670
900,21800,1693111
900,21900,1608631
900,22000,1722657
900,22100,1645294
900,22200,2078103
900,22300,1655219
900,22400,1658260
900,22500,1691962
900,22600,2146363
900,22700,1782527
900,22800,1748784
900,22900,1687751
900,23000,1715353
900,23100,2605647
900,23200,1757840
900,23300,1829289
900,23400,1794028
900,23500,1899568
900,23600,1773126
900,23700,1744049
900,23800,1765331
900,23900,1888329
900,24000,1715913
900,24100,1761976
900,24200,1834121
900,24300,1845749
900,24400,1754047
900,24500,1709599
900,24600,1834817
900,24700,1732201
900,24800,1822631
900,24900,1879507
900,25000,1886357
900,25100,1865387
900,25200,1840445
900,25300,1826214
900,25400,1972481
900,25500,1888695
900,25600,1936147
900,25700,2095519
900,25800,1846654
900,25900,1939043
900,26000,1862478
900,26100,1875060
900,26200,2032538
900,26300,1994920
900,26400,1847300
900,26500,1950427
900,26600,1816264
900,26700,1933424
900,26800,1871610
900,26900,1936593
900,27000,1955853
900,27100,1973629
900,27200,1971139
900,27300,2045546
900,27400,1984574
900,27500,2203855
900,27600,2043169
900,27700,2142200
900,27800,2113413
900,27900,2046028
900,28000,2058994
900,28100,2028139
900,28200,1944292
900,28300,2420843
900,28400,2154535
900,28500,2073231
900,28600,2052039
900,28700,1965935
900,28800,1994541
900,28900,2295841
900,29000,2059000
900,29100,2049654
900,29200,2072139
900,29300,2234208
900,29400,2099587
900,29500,2206447
900,29600,2071086
900,29700,2457501
900,29800,2354222
900,29900,2231030
900,30000,2147169
900,30100,2175139
900,30200,2091419
900,30300,2298252
900,30400,2254914
900,30500,2175045
900,30600,2161653
900,30700,2232283
900,30800,2223950
900,30900,2176330
900,31000,2317118
900,31100,2277879
900,31200,2190923
900,31300,2348483
900,31400,2331651
900,31500,2240339
900,31600,2349654
900,31700,2325034
900,31800,2282817
900,31900,2271664
900,32000,2238219
900,32100,2518486
900,32200,2344600
900,32300,2293033
900,32400,2220594
900,32500,2212288
900,32600,2262362
900,32700,2182138
900,32800,2544026
900,32900,2590790
900,33000,2587969
900,33100,2580476
900,33200,2440122
900,33300,2713574
900,33400,3023780
900,33500,2878878
900,33600,2776688
900,33700,2723826
900,33800,2684880
900,33900,2962770
900,34000,4066994
900,34100,2806722
900,34200,2769454
900,34300,2958888
900,34400,2863463
900,34500,2826569
900,34600,2754473
900,34700,2931797
900,34800,2961948
900,34900,2869047
900,35000,2854008
900,35100,3143366
900,35200,3026326
900,35300,2859419
900,35400,3312569
900,35500,3098952
900,35600,3015731
900,35700,2827144
900,35800,3148974
900,35900,3421628
900,36000,3171068
900,36100,3100984
900,36200,2943494
900,36300,3192581
900,36400,3209583
900,36500,3213241
900,36600,3225944
900,36700,3475699
900,36800,3381767
900,36900,3257005
900,37000,2922700
900,37100,2910240
900,37200,2958887
900,37300,3289604
900,37400,3008911
900,37500,2954706
900,37600,3431745
900,37700,3160754
900,37800,2970395
900,37900,3036533
900,38000,3239396
900,38100,3260676
900,38200,3913054
900,38300,3270842
900,38400,3602637
900,38500,3579678
900,38600,3397611
900,38700,3379689
900,38800,3492611
900,38900,3646374
900,39000,3310485
900,39100,3386128
900,39200,3134522
900,39300,3432325
900,39400,3083242
900,39500,3145362
900,39600,3355617
900,39700,3052308
900,39800,3109013
900,39900,2960126
900,40000,3427534
900,40100,3120583
900,40200,4423975
900,40300,3013935
900,40400,3294185
900,40500,3162663
900,40600,3168927
900,40700,3161678
900,40800,3350191
900,40900,3103726
900,41000,3133570
900,41100,3389985
900,41200,3180396
900,41300,3137541
900,41400,3234245
900,41500,3289537
900,41600,3516710
900,41700,3276458
900,41800,3303838
900,41900,3366019
900,42000,3273923
900,42100,3059320
900,42200,3114893
900,42300,3166708
900,42400,3125137
900,42500,3261795
900,42600,3273547
900,42700,3206749
900,42800,3169508
900,42900,3531727
900,43000,3199295
900,43100,3427944
900,43200,3281812
900,43300,3400374
900,43400,3403964
900,43500,3351849
900,43600,3296469
900,43700,3683545
900,43800,3375160
900,43900,3360137
900,44000,3418241
900,44100,3336395
900,44200,3336168
900,44300,3619261
900,44400,3282403
900,44500,3535544
900,44600,3350116
900,44700,3564960
900,44800,3281255
900,44900,3339000
900,45000,3331022
900,45100,3486337
900,45200,3462475
900,45300,3695152
900,45400,3522849
900,45500,3330508
900,45600,3358534
900,45700,3464226
900,45800,3537082
900,45900,3353706
900,46000,3390401
900,46100,3741007
900,46200,3795536
900,46300,3770292
900,46400,3794879
900,46500,4116514
900,46600,3974198
900,46700,3736571
900,46800,4173093
900,46900,3904049
900,47000,3855878
900,47100,4088933
900,47200,3895356
900,47300,3472699
900,47400,3918555
900,47500,3652772
900,47600,3541619
900,47700,3563979
900,47800,3960838
900,47900,3665560
900,48000,3613678
900,48100,3807322
900,48200,3531299
900,48300,3486819
900,48400,3546029
900,48500,3838173
900,48600,3628690
900,48700,3575006
900,48800,3517807
900,48900,3728204
900,49000,3516758
900,49100,3513999
900,49200,3503128
900,49300,3809158
900,49400,3602841
900,49500,4034143
900,49600,3720050
900,49700,3565592
900,49800,3604656
900,49900,3906316
900,50000,3600783
900,50100,3652359
900,50200,3825948
900,50300,3736708
900,50400,3689644
900,50500,4457254
900,50600,4232909
900,50700,4172858
900,50800,4641803
900,50900,4105853
900,51000,4517228
900,51100,4146880
900,51200,4142713
900,51300,4451832
900,51400,4199738
900,51500,3774387
900,51600,4298619
900,51700,4429649
900,51800,4420600
900,51900,4270489
900,52000,4546195
900,52100,3821597
900,52200,3747524
900,52300,4282791
900,52400,4387425
900,52500,4729083
900,52600,7762775
900,52700,5069272
900,52800,4553900
900,52900,4419077
900,53000,4963061
900,53100,4552017
900,53200,4365170
900,53300,4905544
900,53400,4394593
900,53500,4597472
900,53600,7609542
900,53700,4974545
900,53800,4546988
900,53900,4559015
900,54000,4722609
900,54100,4542332
900,54200,5155678
900,54300,4617513
900,54400,4671025
900,54500,5160109
900,54600,4580070
900,54700,4727759
900,54800,4870650
900,54900,4583399
900,55000,6500382
900,55100,4609330
900,55200,4735498
900,55300,4862245
900,55400,5275029
900,55500,4606018
900,55600,4809620
900,55700,5351184
900,55800,4751518
900,55900,5273105
900,56000,5093711
900,56100,4990771
900,56200,5454685
900,56300,4886837
900,56400,4919108
900,56500,4788128
900,56600,5335028
900,56700,4916258
900,56800,5053022
900,56900,4925308
900,57000,4977540
900,57100,5076663
900,57200,4904712
900,57300,5460775
900,57400,4943582
900,57500,4920546
900,57600,5268124
900,57700,8091689
900,57800,5088105
900,57900,5084626
900,58000,5684301
900,58100,5191376
900,58200,5322640
900,58300,5245554
900,58400,5014937
900,58500,5612880
900,58600,5221454
900,58700,5719087
900,58800,5363710
900,58900,5242203
900,59000,5465955
900,59100,5409710
900,59200,5453883
900,59300,5579959
900,59400,5946905
900,59500,5208159
