n,m,cmin,cmax,primal_lp
50,550,1,1,27312427
55,605,1,1,4863154
60,660,1,1,4746865
65,715,1,1,4458155
70,770,1,1,4207050
75,825,1,1,4460652
80,880,1,1,5042388
85,935,1,1,5159870
90,990,1,1,5214490
95,1045,1,1,5459876
100,1100,1,1,6566740
105,1155,1,1,6756181
110,1210,1,1,7076027
115,1265,1,1,6254972
120,1320,1,1,7826624
125,1375,1,1,7320432
130,1430,1,1,8950593
135,1485,1,1,8097972
140,1540,1,1,8589435
145,1595,1,1,5920219
150,1650,1,1,8825100
155,1705,1,1,9176199
160,1760,1,1,9133388
165,1815,1,1,7526371
170,1870,1,1,7097198
175,1925,1,1,9631042
180,1980,1,1,10196386
185,2035,1,1,13503210
190,2090,1,1,9994169
195,2145,1,1,10422646
200,2200,1,1,11801919
205,2255,1,1,10258003
210,2310,1,1,11439107
215,2365,1,1,9382833
220,2420,1,1,12598021
225,2475,1,1,13702941
230,2530,1,1,12429639
235,2585,1,1,13508516
240,2640,1,1,12826946
245,2695,1,1,13108958
250,2750,1,1,13310041
255,2805,1,1,13172956
260,2860,1,1,15167662
265,2915,1,1,13773602
270,2970,1,1,15028811
275,3025,1,1,14589443
280,3080,1,1,14007878
285,3135,1,1,16272155
290,3190,1,1,16282126
295,3245,1,1,15565715
300,3300,1,1,16802542
305,3355,1,1,14872633
310,3410,1,1,16070746
315,3465,1,1,17692677
320,3520,1,1,17030473
325,3575,1,1,17548003
330,3630,1,1,18049096
335,3685,1,1,17554402
340,3740,1,1,17759072
345,3795,1,1,19614457
350,3850,1,1,19744151
355,3905,1,1,19760739
360,3960,1,1,17382428
365,4015,1,1,20119631
370,4070,1,1,19191246
375,4125,1,1,20033134
380,4180,1,1,20434763
385,4235,1,1,20070287
390,4290,1,1,22684809
395,4345,1,1,22290121
400,4400,1,1,24490028
405,4455,1,1,20250926
410,4510,1,1,23005943
415,4565,1,1,22411457
420,4620,1,1,23762703
425,4675,1,1,26775913
430,4730,1,1,27483280
435,4785,1,1,23236566
440,4840,1,1,21121436
445,4895,1,1,22091276
450,4950,1,1,24699963
455,5005,1,1,23295999
460,5060,1,1,23170301
465,5115,1,1,24421230
470,5170,1,1,26333611
475,5225,1,1,24466318
480,5280,1,1,28256644
485,5335,1,1,27074488
490,5390,1,1,27161383
495,5445,1,1,26359126
500,5500,1,1,27929370
505,5555,1,1,26911681
510,5610,1,1,26579843
515,5665,1,1,26088157
520,5720,1,1,30369361
525,5775,1,1,28836725
530,5830,1,1,27729980
535,5885,1,1,26844236
540,5940,1,1,28517923
545,5995,1,1,28707806
550,6050,1,1,27175088
555,6105,1,1,30392690
560,6160,1,1,29841446
565,6215,1,1,32475583
570,6270,1,1,31058294
575,6325,1,1,29688773
580,6380,1,1,31919824
585,6435,1,1,34266673
590,6490,1,1,32501523
595,6545,1,1,37901387
600,6600,1,1,33747199
605,6655,1,1,31946194
610,6710,1,1,36185915
615,6765,1,1,37376914
620,6820,1,1,32078962
625,6875,1,1,33158861
630,6930,1,1,38215624
635,6985,1,1,39753560
640,7040,1,1,41236789
645,7095,1,1,36096695
650,7150,1,1,40277619
655,7205,1,1,39619667
660,7260,1,1,39822629
665,7315,1,1,38463980
670,7370,1,1,51274662
675,7425,1,1,40849529
680,7480,1,1,40478922
685,7535,1,1,45091733
