n,m,lp_runs,exp_lp
50,450,18,5984628
55,495,18,7223204
60,540,22,8013291
65,585,19,7373709
70,630,20,7678694
75,675,15,6525912
80,720,23,10514180
85,765,21,9224030
90,810,27,11503516
95,855,28,12198564
100,900,30,13399663
105,945,26,12156299
110,990,23,12369725
115,1035,23,12023598
120,1080,29,17072001
125,1125,22,12267692
130,1170,27,15688081
135,1215,20,13258240
140,1260,29,17111956
145,1305,22,14470747
150,1350,21,14966778
155,1395,23,14125955
160,1440,25,15292564
165,1485,28,17456146
170,1530,37,22776726
175,1575,31,20618340
180,1620,29,22150258
185,1665,28,20587733
190,1710,31,22417815
195,1755,29,21564000
200,1800,28,22008058
205,1845,32,23126141
210,1890,29,21423019
215,1935,27,20456452
220,1980,34,28451232
225,2025,27,22675850
230,2070,36,30666541
235,2115,32,26264977
240,2160,35,29728195
245,2205,29,24026064
250,2250,32,27045717
255,2295,28,24471373
260,2340,27,26374059
265,2385,38,35032397
270,2430,44,42335617
275,2475,27,25160292
280,2520,27,26569304
285,2565,19,19478273
290,2610,27,29463310
295,2655,21,22978900
300,2700,22,23846269
305,2745,23,26620158
310,2790,22,26074039
315,2835,25,27935103
320,2880,22,24210200
325,2925,17,21532977
330,2970,17,21936638
335,3015,19,24679034
340,3060,17,23374937
345,3105,18,26087778
350,3150,17,24887296
355,3195,13,20003404
360,3240,14,19945635
365,3285,8,14312806
370,3330,8,14516287
375,3375,9,16761310
380,3420,9,15252985
385,3465,8,15367530
390,3510,16,25004387
395,3555,15,24058636
400,3600,12,22446301
405,3645,12,21100155
410,3690,10,17596975
415,3735,14,22656185
420,3780,13,22320767
425,3825,19,29172497
430,3870,20,33784275
435,3915,15,28249247
440,3960,25,39823465
445,4005,18,29437325
450,4050,24,37488521
455,4095,16,27016995
460,4140,15,26274005
465,4185,19,37565799
470,4230,17,31421154
475,4275,17,30776228
480,4320,20,34881613
485,4365,14,25613649
490,4410,15,26387453
495,4455,13,24072809
500,4500,12,26585204
505,4545,14,30612880
510,4590,12,30954386
515,4635,13,28085605
520,4680,11,23140507
525,4725,11,22697976
530,4770,14,27302141
535,4815,11,24578524
540,4860,14,30946091
545,4905,14,31554043
550,4950,17,36616103
555,4995,15,32599206
560,5040,12,27128363
565,5085,12,27053496
570,5130,11,25290657
575,5175,13,30129985
580,5220,13,31483700
585,5265,16,34788151
590,5310,13,29320074
595,5355,13,29989823
600,5400,12,27456688
605,5445,12,28963823
610,5490,8,23829080
615,5535,17,41315935
620,5580,7,21598238
625,5625,12,30283160
630,5670,8,23640038
635,5715,9,26440776
640,5760,9,24694942
645,5805,10,29866147
650,5850,12,32826292
655,5895,10,28101879
660,5940,10,30179002
665,5985,11,29160649
670,6030,13,32832559
675,6075,8,27982954
680,6120,9,30378977
685,6165,13,37993070
690,6210,17,48268926
695,6255,23,52717051
700,6300,19,46232031
705,6345,21,50607124
710,6390,15,42053113
715,6435,15,39512458
720,6480,14,38088751
725,6525,9,27637411
730,6570,9,28569990
735,6615,13,39620768
740,6660,9,29283947
745,6705,9,29945885
750,6750,10,31710566
755,6795,7,24617070
760,6840,11,33423806
765,6885,10,32734654
770,6930,11,37836160
775,6975,10,34363356
780,7020,13,41015944
785,7065,10,31632301
790,7110,9,29959384
795,7155,13,40057175
800,7200,12,41500808
805,7245,18,58123814
810,7290,17,48322543
815,7335,17,50318820
820,7380,18,56433364
825,7425,17,51936452
830,7470,13,42641880
835,7515,17,49999777
840,7560,13,43636061
845,7605,18,54308585
850,7650,12,43129381
855,7695,16,50960229
860,7740,15,50213002
865,7785,12,40868955
870,7830,13,49750819
875,7875,11,39468982
880,7920,12,42882785
885,7965,14,46632734
890,8010,14,47077327
895,8055,10,39934281
900,8100,12,45352232
905,8145,16,55611485
910,8190,15,52258519
915,8235,16,56571964
920,8280,13,49800847
925,8325,14,48691459
930,8370,12,47195831
935,8415,11,41216540
940,8460,15,57808429
945,8505,13,47493384
950,8550,23,74750860
955,8595,20,70866541
960,8640,19,64668831
965,8685,23,75750999
970,8730,18,68036669
975,8775,18,61954193
980,8820,17,59917720
985,8865,20,73649758
990,8910,21,73618580
995,8955,19,67168723
1000,9000,17,64696302
1005,9045,27,93663066
1010,9090,30,99586404
1015,9135,22,78433145
1020,9180,24,84320315
1025,9225,17,63063007
1030,9270,22,83723212
1035,9315,18,69606394
1040,9360,19,72012445
1045,9405,18,75073609
1050,9450,14,56589391
1055,9495,17,67196268
1060,9540,21,82143326
1065,9585,20,76519220
1070,9630,23,85756127
1075,9675,28,105696423
1080,9720,26,98480538
1085,9765,23,87065008
1090,9810,24,92609762
1095,9855,22,86451315
1100,9900,20,80168946
1105,9945,21,93054554
1110,9990,26,100430766
1115,10035,24,95482596
1120,10080,24,96517599
1125,10125,27,108731435
1130,10170,31,122551161
1135,10215,26,107710090
1140,10260,28,115128967
1145,10305,28,115296856
1150,10350,29,116549035
1155,10395,25,105149952
1160,10440,29,116612399
1165,10485,37,147268714
1170,10530,35,138709982
1175,10575,26,111593076
1180,10620,31,130426681
1185,10665,34,144240532
1190,10710,33,135298332
1195,10755,28,118796066
1200,10800,28,116930467
1205,10845,28,121973415
1210,10890,27,115312522
1215,10935,29,126034656
1220,10980,29,127903337
1225,11025,29,177029015
1230,11070,27,134854401
1235,11115,29,136304553
1240,11160,30,130014905
1245,11205,31,139594602
1250,11250,27,122072864
1255,11295,32,145472322
1260,11340,29,133294874
1265,11385,30,136619377
1270,11430,31,137443994
1275,11475,27,127489787
1280,11520,28,128249702
1285,11565,26,123588376
1290,11610,35,158759042
1295,11655,29,141669731
1300,11700,30,140720964
1305,11745,31,151143424
1310,11790,33,153833476
1315,11835,29,141516621
1320,11880,28,135996146
1325,11925,31,152763482
1330,11970,32,155080973
1335,12015,30,146957420
1340,12060,27,134960513
1345,12105,28,143389494
1350,12150,29,146454944
1355,12195,29,163531489
1360,12240,33,166888017
1365,12285,36,179492321
1370,12330,30,164563976
1375,12375,37,181781415
1380,12420,33,171062324
1385,12465,35,175617271
1390,12510,31,164755843
1395,12555,38,194048477
1400,12600,33,168333126
1405,12645,39,197207989
1410,12690,36,186212774
1415,12735,29,160758592
1420,12780,32,169476936
1425,12825,36,188642273
1430,12870,33,181104973
1435,12915,40,207456647
1440,12960,39,209717598
1445,13005,29,167680029
1450,13050,34,186433433
1455,13095,34,176847032
1460,13140,38,202855209
1465,13185,38,201760655
1470,13230,34,188524814
1475,13275,31,169474038
1480,13320,32,170786225
1485,13365,33,180247152
1490,13410,34,193577095
1495,13455,32,186619165
1500,13500,32,173901800
1505,13545,28,156334607
1510,13590,30,165339027
1515,13635,24,150970622
1520,13680,28,166761555
1525,13725,26,156321702
1530,13770,37,211438944
1535,13815,30,169563932
1540,13860,26,159477222
1545,13905,20,128348212
1550,13950,20,126490299
1555,13995,31,181781065
1560,14040,26,155971178
1565,14085,27,162562903
1570,14130,19,128299409
1575,14175,27,166948864
1580,14220,25,159009579
1585,14265,27,170183854
1590,14310,23,150796243
1595,14355,26,169913671
1600,14400,26,171760706
1605,14445,22,148319662
1610,14490,26,185056219
1615,14535,24,167667235
1620,14580,25,166735666
1625,14625,22,148061991
1630,14670,29,189767313
1635,14715,24,160198497
1640,14760,24,163008107
1645,14805,29,184772820
1650,14850,23,156704677
1655,14895,30,194337816
1660,14940,29,191341558
1665,14985,24,160844642
1670,15030,31,200416998
1675,15075,29,189516304
1680,15120,28,187431370
1685,15165,24,164056676
1690,15210,27,180308316
1695,15255,26,183328360
1700,15300,28,195804337
1705,15345,27,192029189
1710,15390,25,174145908
1715,15435,29,196491371
1720,15480,24,173750555
1725,15525,25,175365714
1730,15570,24,169982034
1735,15615,28,193106243
1740,15660,32,217882967
1745,15705,23,167246465
1750,15750,33,232078315
1755,15795,26,183525424
1760,15840,32,220214733
1765,15885,26,188909610
1770,15930,26,196027429
1775,15975,23,177747461
1780,16020,32,234182952
1785,16065,33,237040214
1790,16110,33,235313446
1795,16155,31,229154682
1800,16200,36,288931793
1805,16245,30,227536651
1810,16290,31,251740689
1815,16335,28,216366478
1820,16380,29,266971325
1825,16425,38,281006287
1830,16470,36,318618356
1835,16515,31,249345898
1840,16560,34,288891998
1845,16605,31,236790493
1850,16650,26,214452302
1855,16695,21,173987222
1860,16740,25,225030519
1865,16785,31,362584976
1870,16830,23,183526602
1875,16875,22,170991316
1880,16920,25,195868721
1885,16965,30,230024456
1890,17010,23,182884688
1895,17055,28,221428895
1900,17100,24,191411651
1905,17145,25,199877937
1910,17190,31,243052157
1915,17235,30,240620585
1920,17280,25,207285922
1925,17325,30,239887831
1930,17370,25,202750585
1935,17415,28,223015201
1940,17460,27,221049209
1945,17505,34,263040428
1950,17550,28,224900837
1955,17595,29,235656810
1960,17640,29,243449469
1965,17685,23,196985973
1970,17730,32,267938454
1975,17775,25,211179309
1980,17820,26,220853929
1985,17865,27,228542027
1990,17910,24,206169931
1995,17955,28,234406876
2000,18000,31,255483897
2005,18045,29,243512361
2010,18090,32,271973583
2015,18135,33,279837137
2020,18180,26,234303360
2025,18225,34,282009355
2030,18270,33,277187872
2035,18315,32,274303996
2040,18360,24,216068390
2045,18405,27,228218208
2050,18450,21,184776884
2055,18495,30,255147942
2060,18540,32,276125273
2065,18585,32,275843689
2070,18630,26,232347957
2075,18675,31,265163026
2080,18720,25,223488293
2085,18765,26,232747697
2090,18810,21,242465165
2095,18855,26,284196140
2100,18900,37,471268464
2105,18945,25,324431874
2110,18990,33,323721935
2115,19035,33,306970780
2120,19080,33,283861287
2125,19125,36,306883804
2130,19170,34,303370562
2135,19215,33,293272297
2140,19260,36,318074367
2145,19305,27,246300420
2150,19350,37,326095025
2155,19395,39,332462067
2160,19440,29,259948503
2165,19485,38,332670076
2170,19530,36,311381024
2175,19575,34,306913587
2180,19620,33,291437274
2185,19665,34,303573192
2190,19710,30,272864882
2195,19755,33,298036942
2200,19800,38,337473233
2205,19845,37,331356406
2210,19890,42,381613586
2215,19935,45,394135479
2220,19980,32,300932166
2225,20025,48,427950595
2230,20070,48,424054633
2235,20115,49,432288932
2240,20160,43,386775669
2245,20205,44,404134604
2250,20250,46,412964462
2255,20295,44,404320815
2260,20340,50,449564500
2265,20385,37,342549748
2270,20430,45,464608921
2275,20475,38,353679124
2280,20520,36,341340442
2285,20565,41,376815624
2290,20610,35,329448305
2295,20655,39,362928499
2300,20700,36,338901341
2305,20745,33,314636764
2310,20790,38,355202446
2315,20835,30,287109812
2320,20880,41,392075472
2325,20925,33,317926254
2330,20970,35,333654015
2335,21015,36,340689269
2340,21060,38,365625404
2345,21105,41,391360837
2350,21150,40,381591235
2355,21195,33,329934289
2360,21240,33,318197746
2365,21285,38,363611845
2370,21330,35,334390307
2375,21375,38,360862319
2380,21420,31,307140507
2385,21465,34,336337217
2390,21510,42,406403599
2395,21555,32,318436574
2400,21600,32,315406028
2405,21645,50,486606798
2410,21690,38,376609518
2415,21735,35,340397364
2420,21780,38,371879922
2425,21825,36,357799217
2430,21870,36,351544388
2435,21915,41,401195153
2440,21960,38,370262274
2445,22005,45,454355579
2450,22050,39,382771690
2455,22095,30,302064765
2460,22140,32,327078925
2465,22185,31,319507831
2470,22230,29,300688243
2475,22275,39,390370890
2480,22320,30,314635594
2485,22365,37,378590755
2490,22410,31,318829695
2495,22455,37,374345294
2500,22500,44,435030835
2505,22545,36,364853743
2510,22590,33,336523831
2515,22635,30,309445648
2520,22680,27,282802147
2525,22725,33,342951383
2530,22770,32,333511300
2535,22815,32,332745599
2540,22860,35,364120895
2545,22905,33,343835224
2550,22950,33,342828578
2555,22995,31,326655505
2560,23040,32,337414646
2565,23085,29,307983972
2570,23130,32,341304185
2575,23175,34,360766303
2580,23220,40,413839537
2585,23265,36,377438297
2590,23310,35,368387183
2595,23355,30,374984120
2600,23400,37,390956149
2605,23445,32,340614328
2610,23490,35,375075117
2615,23535,34,367609051
2620,23580,39,412121016
2625,23625,32,363724317
2630,23670,34,373072197
2635,23715,27,304442816
2640,23760,38,411956855
2645,23805,32,343168911
2650,23850,29,322176792
2655,23895,34,376421103
2660,23940,37,397388334
2665,23985,30,332900544
2670,24030,37,401607509
2675,24075,37,395691179
2680,24120,33,374365211
2685,24165,34,372356165
2690,24210,37,413225015
2695,24255,31,342683924
2700,24300,34,376401841
2705,24345,31,347812903
2710,24390,32,355228612
2715,24435,33,374575970
2720,24480,37,421908640
2725,24525,31,352543753
2730,24570,39,441616795
2735,24615,29,340861094
2740,24660,30,349617509
2745,24705,27,320234733
2750,24750,33,380728771
2755,24795,34,390099063
2760,24840,33,381089234
2765,24885,25,297844739
2770,24930,24,290935515
2775,24975,28,332876297
2780,25020,31,358550217
2785,25065,25,299698263
2790,25110,32,376622134
2795,25155,30,349344607
2800,25200,25,311371746
2805,25245,29,346405141
2810,25290,27,326507762
2815,25335,28,330425865
2820,25380,27,322508209
2825,25425,28,336838540
2830,25470,25,314726622
2835,25515,33,380536558
2840,25560,31,360249683
2845,25605,28,346334775
2850,25650,28,345424232
2855,25695,29,342686035
2860,25740,26,315513555
2865,25785,31,365195087
2870,25830,28,336555023
2875,25875,26,319449306
2880,25920,25,308105141
2885,25965,31,366223605
2890,26010,28,346451778
2895,26055,26,327970740
2900,26100,34,417979562
2905,26145,33,405198473
2910,26190,29,352448007
2915,26235,24,360595898
2920,26280,28,350614338
2925,26325,29,360410236
2930,26370,30,373402609
2935,26415,31,373397099
2940,26460,29,358792834
2945,26505,25,314440307
2950,26550,29,358462758
2955,26595,28,346501885
2960,26640,31,381296304
2965,26685,28,346883139
2970,26730,27,338978277
2975,26775,35,420687856
2980,26820,36,447721292
2985,26865,30,382263297
2990,26910,31,390932590
2995,26955,28,360813305
