n,m,cmin,cmax,primal_lp
50,400,1,100,25574912
55,440,1,100,6279497
60,480,1,100,4074598
65,520,1,100,3733667
70,560,1,100,4303297
75,600,1,100,4687720
80,640,1,100,4439175
85,680,1,100,5046519
90,720,1,100,5561262
95,760,1,100,6037060
100,800,1,100,5710658
105,840,1,100,5769457
110,880,1,100,5875055
115,920,1,100,6786065
120,960,1,100,8425200
125,1000,1,100,7446051
130,1040,1,100,7005420
135,1080,1,100,7801674
140,1120,1,100,7271104
145,1160,1,100,8275290
150,1200,1,100,9221454
155,1240,1,100,8954475
160,1280,1,100,10350254
165,1320,1,100,10047969
170,1360,1,100,9684949
175,1400,1,100,9459030
180,1440,1,100,11132581
185,1480,1,100,10547385
190,1520,1,100,8980682
195,1560,1,100,9900543
200,1600,1,100,9440810
205,1640,1,100,10219690
210,1680,1,100,12848050
215,1720,1,100,12560499
220,1760,1,100,13632980
225,1800,1,100,12619471
230,1840,1,100,13316202
235,1880,1,100,13266529
240,1920,1,100,13162467
245,1960,1,100,15353774
250,2000,1,100,12320162
255,2040,1,100,14834622
260,2080,1,100,16281856
265,2120,1,100,15959595
270,2160,1,100,15103893
275,2200,1,100,17498989
280,2240,1,100,13299809
285,2280,1,100,15485863
290,2320,1,100,14426259
295,2360,1,100,14690176
300,2400,1,100,17765491
305,2440,1,100,15974262
310,2480,1,100,19230805
315,2520,1,100,18162826
320,2560,1,100,17596068
325,2600,1,100,18617638
330,2640,1,100,20597697
335,2680,1,100,19941441
340,2720,1,100,19937589
345,2760,1,100,19976442
350,2800,1,100,20936266
355,2840,1,100,19387731
360,2880,1,100,16517144
365,2920,1,100,21416816
370,2960,1,100,20732525
375,3000,1,100,23111462
380,3040,1,100,22439274
385,3080,1,100,20092726
390,3120,1,100,24883164
395,3160,1,100,24488009
400,3200,1,100,22668124
405,3240,1,100,25938230
410,3280,1,100,25181003
415,3320,1,100,27620907
420,3360,1,100,25748687
425,3400,1,100,22465643
430,3440,1,100,24235298
435,3480,1,100,31166415
440,3520,1,100,28495536
445,3560,1,100,29785195
450,3600,1,100,26850997
455,3640,1,100,28665609
460,3680,1,100,28148290
465,3720,1,100,28211804
470,3760,1,100,30236567
475,3800,1,100,29793745
480,3840,1,100,33109046
485,3880,1,100,28424211
490,3920,1,100,32283589
495,3960,1,100,29264656
500,4000,1,100,31274013
505,4040,1,100,28859297
510,4080,1,100,29363393
515,4120,1,100,29790396
520,4160,1,100,35050039
525,4200,1,100,30297125
530,4240,1,100,28627754
535,4280,1,100,36464015
540,4320,1,100,36419875
545,4360,1,100,31696350
550,4400,1,100,33589573
555,4440,1,100,36038977
560,4480,1,100,36323513
565,4520,1,100,35341833
570,4560,1,100,39194446
575,4600,1,100,38228130
580,4640,1,100,41119847
585,4680,1,100,37445105
590,4720,1,100,32322104
595,4760,1,100,33652295
600,4800,1,100,39115381
605,4840,1,100,36013798
610,4880,1,100,37632333
615,4920,1,100,39505872
620,4960,1,100,42198752
625,5000,1,100,41687866
630,5040,1,100,40317852
635,5080,1,100,41661524
640,5120,1,100,41063759
645,5160,1,100,39680858
650,5200,1,100,46080694
655,5240,1,100,43883581
660,5280,1,100,42823259
665,5320,1,100,45929569
670,5360,1,100,44669700
675,5400,1,100,48415454
680,5440,1,100,43666794
685,5480,1,100,42561941
690,5520,1,100,46214441
695,5560,1,100,46291804
700,5600,1,100,49404122
705,5640,1,100,48130219
710,5680,1,100,48923520
715,5720,1,100,43815411
720,5760,1,100,46921752
725,5800,1,100,60075921
730,5840,1,100,53284144
735,5880,1,100,49458830
740,5920,1,100,50551086
745,5960,1,100,55966786
750,6000,1,100,52446911
755,6040,1,100,57492032
760,6080,1,100,53632205
765,6120,1,100,57255353
770,6160,1,100,57309732
775,6200,1,100,52148380
780,6240,1,100,56715248
785,6280,1,100,52519128
790,6320,1,100,52304211
795,6360,1,100,51366100
800,6400,1,100,52447417
805,6440,1,100,59544027
810,6480,1,100,59171722
815,6520,1,100,54247680
820,6560,1,100,57886624
825,6600,1,100,68058513
830,6640,1,100,58388114
835,6680,1,100,61514130
840,6720,1,100,57597331
845,6760,1,100,62400685
850,6800,1,100,58169746
855,6840,1,100,67181221
860,6880,1,100,69362259
865,6920,1,100,64785449
870,6960,1,100,60318248
875,7000,1,100,69916520
880,7040,1,100,67826299
885,7080,1,100,63622412
890,7120,1,100,62611676
895,7160,1,100,71375125
900,7200,1,100,69605153
905,7240,1,100,69067333
910,7280,1,100,68649454
915,7320,1,100,82562497
920,7360,1,100,81059367
925,7400,1,100,71354608
930,7440,1,100,71622120
935,7480,1,100,80615658
940,7520,1,100,82403261
945,7560,1,100,62596545
950,7600,1,100,77248835
955,7640,1,100,80481643
960,7680,1,100,72751403
965,7720,1,100,76560339
970,7760,1,100,74805899
975,7800,1,100,75481672
980,7840,1,100,69267197
985,7880,1,100,89776598
990,7920,1,100,90285617
995,7960,1,100,83806112
1000,8000,1,100,69102073
1005,8040,1,100,70486226
1010,8080,1,100,87483664
1015,8120,1,100,66240013
1020,8160,1,100,91305697
1025,8200,1,100,72127571
1030,8240,1,100,103052036
1035,8280,1,100,107190004
1040,8320,1,100,90605700
1045,8360,1,100,81081654
1050,8400,1,100,84503124
1055,8440,1,100,86229949
1060,8480,1,100,91056228
1065,8520,1,100,86092552
1070,8560,1,100,122771707
1075,8600,1,100,103951529
1080,8640,1,100,97278705
1085,8680,1,100,80670422
1090,8720,1,100,112095564
1095,8760,1,100,95187697
1100,8800,1,100,90957169
1105,8840,1,100,84548613
1110,8880,1,100,108465542
1115,8920,1,100,104246070
1120,8960,1,100,99991299
1125,9000,1,100,88033366
1130,9040,1,100,100642783
1135,9080,1,100,120363890
1140,9120,1,100,93619476
1145,9160,1,100,114915054
1150,9200,1,100,117174135
1155,9240,1,100,122669890
1160,9280,1,100,91514403
1165,9320,1,100,114285099
1170,9360,1,100,98227559
1175,9400,1,100,97982317
1180,9440,1,100,99752452
1185,9480,1,100,118644768
1190,9520,1,100,92416220
1195,9560,1,100,90760082
1200,9600,1,100,117919037
1205,9640,1,100,101536705
1210,9680,1,100,114380205
1215,9720,1,100,128776989
1220,9760,1,100,114875130
1225,9800,1,100,101310624
1230,9840,1,100,122591902
1235,9880,1,100,125782435
1240,9920,1,100,112162716
1245,9960,1,100,113817082
1250,10000,1,100,118447133
1255,10040,1,100,125773213
1260,10080,1,100,111590536
1265,10120,1,100,125198724
1270,10160,1,100,232090631
1275,10200,1,100,125731930
1280,10240,1,100,120239265
1285,10280,1,100,166263591
1290,10320,1,100,128763357
1295,10360,1,100,132530626
1300,10400,1,100,130514298
1305,10440,1,100,121772157
1310,10480,1,100,109608108
1315,10520,1,100,122856086
1320,10560,1,100,161294914
1325,10600,1,100,137734359
1330,10640,1,100,139718747
1335,10680,1,100,117445867
1340,10720,1,100,149431408
1345,10760,1,100,149848636
1350,10800,1,100,164567690
1355,10840,1,100,128538309
1360,10880,1,100,132582465
1365,10920,1,100,152445135
1370,10960,1,100,165793711
1375,11000,1,100,152069174
1380,11040,1,100,141273494
1385,11080,1,100,138956109
1390,11120,1,100,153587857
1395,11160,1,100,156881835
1400,11200,1,100,143548685
1405,11240,1,100,127032521
1410,11280,1,100,145343753
1415,11320,1,100,142105624
1420,11360,1,100,150485119
1425,11400,1,100,208223274
1430,11440,1,100,147559296
1435,11480,1,100,172793938
1440,11520,1,100,173004038
1445,11560,1,100,149791830
1450,11600,1,100,186469459
1455,11640,1,100,139927339
1460,11680,1,100,203861455
1465,11720,1,100,168594685
1470,11760,1,100,155202183
1475,11800,1,100,140237181
1480,11840,1,100,132263971
1485,11880,1,100,151961786
1490,11920,1,100,166247060
1495,11960,1,100,165619420
1500,12000,1,100,161348409
1505,12040,1,100,190579112
1510,12080,1,100,194643023
1515,12120,1,100,154841044
1520,12160,1,100,160262831
1525,12200,1,100,175544201
1530,12240,1,100,198515446
1535,12280,1,100,193794857
1540,12320,1,100,189920683
1545,12360,1,100,181738207
1550,12400,1,100,168168883
1555,12440,1,100,186404323
1560,12480,1,100,153240519
1565,12520,1,100,209087896
1570,12560,1,100,181932557
1575,12600,1,100,165875029
1580,12640,1,100,218335007
1585,12680,1,100,189116532
1590,12720,1,100,212857989
1595,12760,1,100,169715773
1600,12800,1,100,169739231
1605,12840,1,100,161594072
1610,12880,1,100,187351549
1615,12920,1,100,231740977
1620,12960,1,100,208737879
1625,13000,1,100,248875967
1630,13040,1,100,176521154
1635,13080,1,100,197699419
1640,13120,1,100,186476413
1645,13160,1,100,193906903
1650,13200,1,100,239982587
1655,13240,1,100,208849147
1660,13280,1,100,218042288
1665,13320,1,100,215610713
1670,13360,1,100,225131267
1675,13400,1,100,221011824
1680,13440,1,100,199787077
1685,13480,1,100,250019833
1690,13520,1,100,234833030
1695,13560,1,100,200567532
1700,13600,1,100,191179102
1705,13640,1,100,185923898
1710,13680,1,100,227091425
1715,13720,1,100,194246327
1720,13760,1,100,216825204
1725,13800,1,100,216599930
1730,13840,1,100,226781190
1735,13880,1,100,212489019
1740,13920,1,100,181301470
1745,13960,1,100,234801287
1750,14000,1,100,233106004
1755,14040,1,100,222434069
1760,14080,1,100,217126373
1765,14120,1,100,210280056
1770,14160,1,100,248660442
1775,14200,1,100,251297045
1780,14240,1,100,206954662
1785,14280,1,100,313593597
1790,14320,1,100,256761217
1795,14360,1,100,215759395
1800,14400,1,100,221373128
1805,14440,1,100,258074138
1810,14480,1,100,253814866
1815,14520,1,100,272372344
1820,14560,1,100,199028511
1825,14600,1,100,230349951
1830,14640,1,100,210725938
1835,14680,1,100,192414232
1840,14720,1,100,252343485
1845,14760,1,100,207139545
1850,14800,1,100,225978765
1855,14840,1,100,246112288
1860,14880,1,100,280809417
1865,14920,1,100,280920734
1870,14960,1,100,241951505
1875,15000,1,100,264072225
1880,15040,1,100,337326534
1885,15080,1,100,297683859
1890,15120,1,100,329897948
1895,15160,1,100,246176764
1900,15200,1,100,264287769
1905,15240,1,100,309138767
1910,15280,1,100,315247301
1915,15320,1,100,307858311
1920,15360,1,100,324111111
1925,15400,1,100,275193737
1930,15440,1,100,336820786
1935,15480,1,100,314433550
1940,15520,1,100,289638462
1945,15560,1,100,524360258
1950,15600,1,100,297779019
1955,15640,1,100,257994693
1960,15680,1,100,309313575
1965,15720,1,100,264138192
1970,15760,1,100,293759849
1975,15800,1,100,271523359
1980,15840,1,100,353604528
1985,15880,1,100,282390740
1990,15920,1,100,324026405
1995,15960,1,100,362437597
2000,16000,1,100,355355982
2005,16040,1,100,342926838
2010,16080,1,100,309742911
2015,16120,1,100,357932201
2020,16160,1,100,311246577
2025,16200,1,100,378154915
2030,16240,1,100,305749086
2035,16280,1,100,302072866
2040,16320,1,100,452395288
2045,16360,1,100,284559721
2050,16400,1,100,335533787
2055,16440,1,100,411699008
2060,16480,1,100,339574949
2065,16520,1,100,395971423
2070,16560,1,100,304364637
2075,16600,1,100,341354451
2080,16640,1,100,333669362
2085,16680,1,100,338462845
2090,16720,1,100,338833221
2095,16760,1,100,438638512
2100,16800,1,100,366479310
2105,16840,1,100,510861670
2110,16880,1,100,326928356
2115,16920,1,100,331538612
2120,16960,1,100,303508130
2125,17000,1,100,410790224
2130,17040,1,100,363505104
2135,17080,1,100,379072826
2140,17120,1,100,324143029
