n,m,cmin,cmax,dinic
50,150,1,1,32514
55,165,1,1,31143
60,180,1,1,29793
65,195,1,1,31283
70,210,1,1,28757
75,225,1,1,29767
80,240,1,1,33718
85,255,1,1,34530
90,270,1,1,42372
95,285,1,1,38685
100,300,1,1,38629
105,315,1,1,41533
110,330,1,1,43767
115,345,1,1,43044
120,360,1,1,43529
125,375,1,1,46108
130,390,1,1,52127
135,405,1,1,52825
140,420,1,1,55144
145,435,1,1,48055
150,450,1,1,48021
155,465,1,1,50301
160,480,1,1,51491
165,495,1,1,52051
170,510,1,1,73445
175,525,1,1,60768
180,540,1,1,61302
185,555,1,1,77519
190,570,1,1,72917
195,585,1,1,76407
200,600,1,1,79405
205,615,1,1,81912
210,630,1,1,100854
215,645,1,1,86992
220,660,1,1,84637
225,675,1,1,88461
230,690,1,1,93179
235,705,1,1,89890
240,720,1,1,91306
245,735,1,1,98336
250,750,1,1,146780
255,765,1,1,96225
260,780,1,1,126965
265,795,1,1,127109
270,810,1,1,137120
275,825,1,1,141251
280,840,1,1,171181
285,855,1,1,142742
290,870,1,1,143825
295,885,1,1,178036
300,900,1,1,157351
305,915,1,1,170368
310,930,1,1,176458
315,945,1,1,169189
320,960,1,1,147065
325,975,1,1,150290
330,990,1,1,119558
335,1005,1,1,155396
340,1020,1,1,167697
345,1035,1,1,136272
350,1050,1,1,177106
355,1065,1,1,174079
360,1080,1,1,171894
365,1095,1,1,212804
370,1110,1,1,178362
375,1125,1,1,176815
380,1140,1,1,173595
385,1155,1,1,231491
390,1170,1,1,246806
395,1185,1,1,337137
400,1200,1,1,353324
405,1215,1,1,292085
410,1230,1,1,280116
415,1245,1,1,274715
420,1260,1,1,291527
425,1275,1,1,321940
430,1290,1,1,393814
435,1305,1,1,437575
440,1320,1,1,454337
445,1335,1,1,452672
450,1350,1,1,487738
455,1365,1,1,262403
460,1380,1,1,251491
465,1395,1,1,213805
470,1410,1,1,260855
475,1425,1,1,343119
480,1440,1,1,266192
485,1455,1,1,308361
490,1470,1,1,384744
495,1485,1,1,195626
500,1500,1,1,353075
505,1515,1,1,363215
510,1530,1,1,359162
515,1545,1,1,360138
520,1560,1,1,387440
525,1575,1,1,292716
530,1590,1,1,261562
535,1605,1,1,296180
540,1620,1,1,316163
545,1635,1,1,518837
550,1650,1,1,335047
555,1665,1,1,306324
560,1680,1,1,418575
565,1695,1,1,715739
570,1710,1,1,621779
575,1725,1,1,487456
580,1740,1,1,264861
585,1755,1,1,252121
590,1770,1,1,326710
595,1785,1,1,331351
600,1800,1,1,317301
605,1815,1,1,306751
610,1830,1,1,236581
615,1845,1,1,237728
620,1860,1,1,972894
625,1875,1,1,673347
630,1890,1,1,273824
635,1905,1,1,318644
640,1920,1,1,269621
645,1935,1,1,248719
650,1950,1,1,253686
655,1965,1,1,253119
660,1980,1,1,299808
665,1995,1,1,283669
670,2010,1,1,279407
675,2025,1,1,259536
680,2040,1,1,261380
685,2055,1,1,291650
690,2070,1,1,651051
695,2085,1,1,330247
700,2100,1,1,337357
705,2115,1,1,334660
710,2130,1,1,423441
715,2145,1,1,441098
720,2160,1,1,378958
725,2175,1,1,324546
730,2190,1,1,305330
735,2205,1,1,377351
740,2220,1,1,305890
745,2235,1,1,415093
750,2250,1,1,615906
755,2265,1,1,364860
760,2280,1,1,449393
765,2295,1,1,496343
770,2310,1,1,477454
775,2325,1,1,399003
780,2340,1,1,336740
785,2355,1,1,339310
790,2370,1,1,334557
795,2385,1,1,423482
800,2400,1,1,667840
805,2415,1,1,411072
810,2430,1,1,365323
815,2445,1,1,499963
820,2460,1,1,336018
825,2475,1,1,652038
830,2490,1,1,379386
835,2505,1,1,495013
840,2520,1,1,455744
845,2535,1,1,540562
850,2550,1,1,959836
855,2565,1,1,658608
860,2580,1,1,506708
865,2595,1,1,454388
870,2610,1,1,482947
875,2625,1,1,371446
880,2640,1,1,618380
885,2655,1,1,565812
890,2670,1,1,2070898
895,2685,1,1,625652
900,2700,1,1,537169
