n,m,cmin,cmax,dual_lp
50,300,1,1,4620153
55,330,1,1,5491697
60,360,1,1,5892826
65,390,1,1,5407192
70,420,1,1,6797414
75,450,1,1,6243580
80,480,1,1,6562003
85,510,1,1,7111992
90,540,1,1,7649234
95,570,1,1,7584950
100,600,1,1,7465837
105,630,1,1,9212889
110,660,1,1,8509639
115,690,1,1,9571798
120,720,1,1,9005422
125,750,1,1,8799292
130,780,1,1,9177850
135,810,1,1,9706292
140,840,1,1,9502560
145,870,1,1,9866365
150,900,1,1,10363495
155,930,1,1,10628053
160,960,1,1,11380299
165,990,1,1,12448938
170,1020,1,1,11989753
175,1050,1,1,11757333
180,1080,1,1,12026389
185,1110,1,1,11440911
190,1140,1,1,11475367
195,1170,1,1,12253853
200,1200,1,1,13423296
205,1230,1,1,13776463
210,1260,1,1,14220224
215,1290,1,1,13642295
220,1320,1,1,13013319
225,1350,1,1,13565583
230,1380,1,1,13771786
235,1410,1,1,13613349
240,1440,1,1,15956554
245,1470,1,1,14301673
250,1500,1,1,15158768
255,1530,1,1,16089200
260,1560,1,1,17653734
265,1590,1,1,16940039
270,1620,1,1,16225912
275,1650,1,1,15490508
280,1680,1,1,15618964
285,1710,1,1,15905751
290,1740,1,1,17547477
295,1770,1,1,17610068
300,1800,1,1,18326746
305,1830,1,1,17465467
310,1860,1,1,18905269
315,1890,1,1,19703735
320,1920,1,1,17578645
325,1950,1,1,18694271
330,1980,1,1,17632430
335,2010,1,1,18625657
340,2040,1,1,19536138
345,2070,1,1,21337937
350,2100,1,1,20132306
355,2130,1,1,19111377
360,2160,1,1,19327080
365,2190,1,1,19658415
370,2220,1,1,19980848
375,2250,1,1,20239419
380,2280,1,1,19968187
385,2310,1,1,20345598
390,2340,1,1,20982818
395,2370,1,1,21572605
400,2400,1,1,22420543
405,2430,1,1,22778314
410,2460,1,1,22603362
415,2490,1,1,23735066
420,2520,1,1,24005945
425,2550,1,1,23390421
430,2580,1,1,23081870
435,2610,1,1,24060517
440,2640,1,1,24853636
445,2670,1,1,24682702
450,2700,1,1,26320407
455,2730,1,1,25271496
460,2760,1,1,26500248
465,2790,1,1,27171296
470,2820,1,1,40824517
475,2850,1,1,29911460
480,2880,1,1,29458577
485,2910,1,1,29830446
490,2940,1,1,31925100
495,2970,1,1,31193189
500,3000,1,1,30555623
505,3030,1,1,31801455
510,3060,1,1,33064497
515,3090,1,1,32397423
520,3120,1,1,35546435
525,3150,1,1,38382067
530,3180,1,1,36019928
535,3210,1,1,40162687
