n,m,cmin,cmax,primal_lp
50,500,1,1,28082572
55,550,1,1,4586894
60,600,1,1,4324764
65,650,1,1,4509797
70,700,1,1,4348624
75,750,1,1,4304108
80,800,1,1,5075965
85,850,1,1,5909043
90,900,1,1,4589082
95,950,1,1,5394221
100,1000,1,1,5676731
105,1050,1,1,5997504
110,1100,1,1,6194610
115,1150,1,1,6197857
120,1200,1,1,6450049
125,1250,1,1,6530984
130,1300,1,1,6291917
135,1350,1,1,8237310
140,1400,1,1,8069711
145,1450,1,1,7266593
150,1500,1,1,7726707
155,1550,1,1,7940704
160,1600,1,1,7195343
165,1650,1,1,9057535
170,1700,1,1,9101402
175,1750,1,1,9848867
180,1800,1,1,8453068
185,1850,1,1,9102145
190,1900,1,1,8510427
195,1950,1,1,9758969
200,2000,1,1,9941138
205,2050,1,1,11831995
210,2100,1,1,11594900
215,2150,1,1,11587462
220,2200,1,1,11168993
225,2250,1,1,11126142
230,2300,1,1,11967691
235,2350,1,1,11598513
240,2400,1,1,11793875
245,2450,1,1,13092260
250,2500,1,1,13689958
255,2550,1,1,13488248
260,2600,1,1,13172746
265,2650,1,1,12575931
270,2700,1,1,14140466
275,2750,1,1,14480447
280,2800,1,1,11539814
285,2850,1,1,11864964
290,2900,1,1,13661174
295,2950,1,1,13221747
300,3000,1,1,15927012
305,3050,1,1,14171915
310,3100,1,1,14924332
315,3150,1,1,15641171
320,3200,1,1,14354350
325,3250,1,1,15983105
330,3300,1,1,17210968
335,3350,1,1,17122931
340,3400,1,1,20428161
345,3450,1,1,18125882
350,3500,1,1,15674134
355,3550,1,1,16424255
360,3600,1,1,18308738
365,3650,1,1,18116859
370,3700,1,1,18190938
375,3750,1,1,18241962
380,3800,1,1,18749539
385,3850,1,1,21425320
390,3900,1,1,20067636
395,3950,1,1,20289308
400,4000,1,1,19231420
405,4050,1,1,21053359
410,4100,1,1,28090748
415,4150,1,1,21291031
420,4200,1,1,19723281
425,4250,1,1,21482778
430,4300,1,1,23328993
435,4350,1,1,20108353
440,4400,1,1,18604908
445,4450,1,1,22850723
450,4500,1,1,22667578
455,4550,1,1,22560870
460,4600,1,1,21955141
465,4650,1,1,24276768
470,4700,1,1,21884977
475,4750,1,1,21955889
480,4800,1,1,20446583
485,4850,1,1,21731353
490,4900,1,1,25947110
