n,m,dinic
100,100,16072
100,200,46822
100,300,76225
100,400,94300
100,500,83996
100,600,92592
100,700,105483
100,800,91730
100,900,95648
100,1000,111155
100,1100,133718
100,1200,120114
100,1300,112785
100,1400,115802
100,1500,154783
100,1600,137228
100,1700,169734
100,1800,135694
100,1900,139801
100,2000,144925
100,2100,154679
100,2200,196684
100,2300,194337
100,2400,196618
100,2500,201238
100,2600,206077
100,2700,216031
100,2800,227742
100,2900,236427
100,3000,239344
100,3100,263104
100,3200,292747
100,3300,322618
100,3400,236748
100,3500,281075
100,3600,276428
100,3700,292015
100,3800,345781
100,3900,320074
100,4000,307624
100,4100,394537
100,4200,336541
100,4300,344236
100,4400,349400
100,4500,365522
100,4600,367907
100,4700,372842
100,4800,344525
100,4900,333961
100,5000,346355
100,5100,350681
100,5200,346263
100,5300,548131
100,5400,492322
100,5500,375125
100,5600,374285
100,5700,455893
100,5800,535400
100,5900,561837
100,6000,508957
100,6100,476435
100,6200,406628
100,6300,406452
100,6400,656274
100,6500,483420
100,6600,472449
100,6700,437034
100,6800,448563
100,6900,447190
100,7000,477075
100,7100,483636
100,7200,546602
100,7300,488854
100,7400,632856
100,7500,694843
100,7600,736824
100,7700,608240
100,7800,514141
100,7900,490552
100,8000,486607
100,8100,500270
100,8200,1009267
100,8300,1283810
100,8400,1142724
100,8500,916083
100,8600,922175
100,8700,848033
100,8800,561654
100,8900,603615
100,9000,946662
100,9100,616165
100,9200,581514
100,9300,596332
100,9400,815078
100,9500,663342
100,9600,592394
100,9700,572085
100,9800,1088899
100,9900,562828
100,10000,570122
