n,m,lp_runs,exp_lp
50,750,37,13935661
55,825,34,13883938
60,900,43,17763159
65,975,43,18868640
70,1050,31,14748462
75,1125,37,18123676
80,1200,45,22137683
85,1275,40,21229257
90,1350,31,17403827
95,1425,39,21868929
100,1500,45,27391692
105,1575,44,27454484
110,1650,43,27896208
115,1725,49,33220222
120,1800,54,36588850
125,1875,42,28903255
130,1950,55,38885008
135,2025,46,35809629
140,2100,47,37400105
145,2175,41,33487979
150,2250,51,40203329
155,2325,49,39494482
160,2400,43,36265110
165,2475,48,42992644
170,2550,47,42962999
175,2625,51,46698502
180,2700,49,45361185
185,2775,40,39348365
190,2850,44,46217719
195,2925,47,48078581
200,3000,38,39677881
205,3075,44,45259404
210,3150,54,56487820
215,3225,52,56974032
220,3300,45,52051582
225,3375,42,49663531
230,3450,48,57282823
235,3525,42,51637717
240,3600,53,63959920
245,3675,46,55699947
250,3750,57,68384756
255,3825,53,69232916
260,3900,50,64941351
265,3975,41,53822072
270,4050,45,59943683
275,4125,37,60840207
280,4200,41,65140473
285,4275,41,56994258
290,4350,38,54252902
295,4425,35,54246223
300,4500,33,53339317
305,4575,36,53940370
310,4650,29,44581360
315,4725,35,57097507
320,4800,27,45584566
325,4875,22,37599435
330,4950,23,40324725
335,5025,24,41385175
340,5100,26,46952619
345,5175,23,44358046
350,5250,24,46391657
355,5325,27,49278344
360,5400,27,49657242
365,5475,20,40630833
370,5550,22,48204465
375,5625,27,57880467
380,5700,19,41333750
385,5775,21,44127873
390,5850,17,39447177
395,5925,22,49614076
400,6000,26,54934496
405,6075,15,44748502
410,6150,27,62220939
415,6225,31,69913063
420,6300,31,69667163
425,6375,29,70939645
430,6450,31,66658787
435,6525,30,65520982
440,6600,27,60632331
445,6675,24,63552878
450,6750,31,70227761
455,6825,29,72361256
460,6900,32,79711361
465,6975,31,72517104
470,7050,29,69380445
475,7125,36,89102556
480,7200,32,76984951
485,7275,29,70781942
490,7350,34,87621153
495,7425,36,93691588
500,7500,27,71543229
505,7575,32,85621600
510,7650,26,70955525
515,7725,32,94103217
520,7800,31,88003952
525,7875,31,84909406
530,7950,38,102898469
535,8025,31,89304871
540,8100,36,99357125
545,8175,35,103682235
550,8250,32,92913077
555,8325,35,102311961
560,8400,26,81059262
565,8475,31,92039415
570,8550,33,110759324
575,8625,37,108703793
580,8700,32,100979326
585,8775,36,105817625
590,8850,33,101544363
595,8925,32,97717252
600,9000,38,116087083
605,9075,36,108322742
610,9150,42,128573218
615,9225,44,136284731
620,9300,32,106947212
625,9375,38,126015790
630,9450,39,130843205
635,9525,31,108016452
640,9600,39,132910039
645,9675,41,134409520
650,9750,43,198483785
655,9825,40,154145346
660,9900,40,144939446
665,9975,44,156767425
670,10050,41,141959138
675,10125,52,173119302
680,10200,44,158404377
685,10275,42,146723398
690,10350,44,158520550
695,10425,46,161418351
700,10500,49,178388422
705,10575,62,222028785
710,10650,53,195931723
715,10725,36,133693759
720,10800,34,128075019
725,10875,37,143095346
730,10950,35,141504466
735,11025,35,141326705
740,11100,46,178758117
745,11175,43,168860385
750,11250,37,144219451
755,11325,34,141739052
760,11400,39,160875059
765,11475,45,190241109
770,11550,44,192900261
775,11625,45,229245635
780,11700,31,176532658
785,11775,35,173114068
790,11850,47,235003471
795,11925,41,232130948
800,12000,47,282959888
805,12075,45,315441288
810,12150,44,244520456
815,12225,32,232843000
820,12300,41,245683489
825,12375,39,199802348
830,12450,40,200578659
835,12525,39,198417127
840,12600,35,175969428
845,12675,44,230798668
850,12750,39,222671264
855,12825,37,205211660
860,12900,43,261465389
865,12975,44,254406925
870,13050,38,200989210
875,13125,42,210309642
880,13200,47,248563124
885,13275,44,229940578
890,13350,45,235604990
895,13425,46,287956548
900,13500,47,282334831
905,13575,40,210701212
910,13650,50,268869838
915,13725,44,224667632
920,13800,48,251485704
925,13875,41,208445966
930,13950,55,288932425
935,14025,62,317052615
940,14100,57,294253864
