n,m,lp_runs,exp_lp
50,350,15,29031703
55,385,14,6106950
60,420,19,6516092
65,455,24,7957548
70,490,9,3804157
75,525,14,5619534
80,560,11,4549210
85,595,9,4806011
90,630,5,3040341
95,665,8,4266172
100,700,9,4840363
105,735,6,3901993
110,770,14,6573486
115,805,22,9609819
120,840,17,8035098
125,875,24,10647478
130,910,22,10505862
135,945,17,8725976
140,980,21,10425145
145,1015,19,9915594
150,1050,14,7931283
155,1085,15,8582337
160,1120,14,8448238
165,1155,13,7960314
170,1190,17,10688504
175,1225,18,11589267
180,1260,20,12871638
185,1295,18,12404680
190,1330,24,16199233
195,1365,11,8975576
200,1400,18,12531840
205,1435,13,10987517
210,1470,12,9265713
215,1505,19,13121506
220,1540,23,15246992
225,1575,17,12218106
230,1610,21,14757135
235,1645,18,13207994
240,1680,20,15003932
245,1715,19,14330511
250,1750,19,15388159
255,1785,16,13449294
260,1820,18,15419060
265,1855,13,12628131
270,1890,18,15655909
275,1925,10,11150961
280,1960,10,11698059
285,1995,15,13809479
290,2030,10,10295738
295,2065,12,11762287
300,2100,10,10746521
305,2135,8,9650016
310,2170,7,8622198
315,2205,10,11088673
320,2240,9,10551104
325,2275,8,11424300
330,2310,6,9874692
335,2345,13,15790325
340,2380,10,13332414
345,2415,15,18082004
350,2450,14,17099023
355,2485,12,15688138
360,2520,11,13880246
365,2555,7,10123252
370,2590,7,11026546
375,2625,9,12269356
380,2660,7,10902872
385,2695,8,11500426
390,2730,9,13619944
395,2765,7,11270574
400,2800,6,11428388
405,2835,7,11804245
410,2870,7,12485880
415,2905,8,13996057
420,2940,7,13072586
425,2975,8,13889323
430,3010,7,11658078
435,3045,8,13265945
440,3080,9,13654834
445,3115,8,12948126
450,3150,8,13045929
455,3185,6,11291293
460,3220,7,12820902
465,3255,7,12524973
470,3290,8,13299244
475,3325,7,14744855
480,3360,7,15253169
485,3395,6,13909258
490,3430,6,14016193
495,3465,5,13146199
500,3500,6,13362383
505,3535,7,15276202
510,3570,9,15733046
515,3605,8,14407871
520,3640,7,13670964
525,3675,9,16715368
530,3710,8,14824163
535,3745,7,14147127
540,3780,7,17133958
545,3815,7,17565215
550,3850,10,21425885
555,3885,12,24002309
560,3920,11,21115847
565,3955,12,20941658
570,3990,14,23804137
575,4025,11,21131177
580,4060,11,20198528
585,4095,10,19641597
590,4130,13,24115371
595,4165,12,24970395
600,4200,11,23608104
605,4235,11,23747526
610,4270,6,14955441
615,4305,8,17698654
620,4340,7,16214651
625,4375,8,17979159
630,4410,6,15233324
635,4445,9,22607168
640,4480,7,18399499
645,4515,8,20054193
650,4550,7,19143195
655,4585,8,20662892
660,4620,8,18998616
665,4655,8,18623694
670,4690,8,18682368
675,4725,10,21798790
680,4760,7,17177279
685,4795,10,24004137
690,4830,9,23097273
695,4865,11,28126265
700,4900,7,18665642
705,4935,8,20792314
710,4970,7,18167125
715,5005,8,19659344
720,5040,8,19863981
725,5075,8,21191803
730,5110,10,24803391
735,5145,8,23183093
