n,m,dinic
600,600,91146
600,700,106325
600,800,116225
600,900,115478
600,1000,129568
600,1100,166543
600,1200,156064
600,1300,163109
600,1400,168658
600,1500,182691
600,1600,212811
600,1700,217153
600,1800,626573
600,1900,526376
600,2000,497404
600,2100,435408
600,2200,386690
600,2300,391660
600,2400,406057
600,2500,472853
600,2600,479792
600,2700,595200
600,2800,611869
600,2900,722409
600,3000,608993
600,3100,521676
600,3200,525398
600,3300,522642
600,3400,529342
600,3500,506261
600,3600,524827
600,3700,551938
600,3800,649496
600,3900,794054
600,4000,708824
600,4100,686116
600,4200,711245
600,4300,715208
600,4400,703574
600,4500,752179
600,4600,757098
600,4700,746917
600,4800,766465
600,4900,754118
600,5000,819188
600,5100,745041
600,5200,793023
600,5300,856464
600,5400,877037
600,5500,836606
600,5600,853399
600,5700,755507
600,5800,740811
600,5900,758378
600,6000,882936
600,6100,901897
600,6200,864863
600,6300,867124
600,6400,827847
600,6500,802820
600,6600,809329
600,6700,811289
600,6800,737823
600,6900,871099
600,7000,801041
600,7100,821037
600,7200,785093
600,7300,773409
600,7400,857210
600,7500,868818
600,7600,826994
600,7700,861944
600,7800,916023
600,7900,898841
600,8000,886291
600,8100,914420
600,8200,957988
600,8300,957477
600,8400,997767
600,8500,1054973
600,8600,964121
600,8700,1173611
600,8800,994672
600,8900,1030644
600,9000,992177
600,9100,1035509
600,9200,1010084
600,9300,962018
600,9400,1069321
600,9500,929608
600,9600,1098631
600,9700,1077573
600,9800,1036131
600,9900,1575361
600,10000,1080777
600,10100,1083070
600,10200,1105793
600,10300,1056906
600,10400,1086040
600,10500,1136689
600,10600,1768218
600,10700,1137576
600,10800,1138877
600,10900,1170628
600,11000,1175788
600,11100,1262888
600,11200,1317674
600,11300,2098423
600,11400,1413424
600,11500,1286882
600,11600,1239237
600,11700,1331536
600,11800,1359057
600,11900,1283432
600,12000,1572403
600,12100,1386493
600,12200,1420150
600,12300,1348185
600,12400,1413114
600,12500,1392705
600,12600,1949244
600,12700,1672637
600,12800,1481576
600,12900,1495928
600,13000,1380851
600,13100,1658827
600,13200,1530335
600,13300,1485160
600,13400,2004895
600,13500,1520819
600,13600,1539996
600,13700,1211998
600,13800,1199007
600,13900,1243998
600,14000,1202476
600,14100,1205122
600,14200,1448220
600,14300,1260990
600,14400,1627930
600,14500,1184864
600,14600,1248235
600,14700,1201527
600,14800,2395294
600,14900,1892961
600,15000,1371542
600,15100,1253491
600,15200,1756939
600,15300,1297799
600,15400,1188148
600,15500,1398150
600,15600,1481044
600,15700,1361410
600,15800,1563263
600,15900,1359758
600,16000,1433586
600,16100,1421870
600,16200,1752440
600,16300,1797768
600,16400,1554091
600,16500,1470475
600,16600,1586367
600,16700,1411821
600,16800,1518337
600,16900,2035872
600,17000,1381598
600,17100,1365046
600,17200,2023731
600,17300,1360993
600,17400,1350785
600,17500,1454428
600,17600,1668257
600,17700,1458427
600,17800,1468908
600,17900,1427693
600,18000,1475192
600,18100,1553773
600,18200,1677909
600,18300,1492776
600,18400,1567614
600,18500,1517794
600,18600,1504486
600,18700,1598818
600,18800,1553174
600,18900,1604530
600,19000,2444879
600,19100,1461659
600,19200,1581992
600,19300,1666486
600,19400,1639407
600,19500,1528757
600,19600,1733420
600,19700,1744344
600,19800,1793031
600,19900,1873789
600,20000,1825413
600,20100,1723224
600,20200,1680933
600,20300,1775978
600,20400,1814184
600,20500,1909044
600,20600,1929535
600,20700,1798539
600,20800,1827018
600,20900,1748339
600,21000,1731485
600,21100,2518522
600,21200,1842610
600,21300,1849324
600,21400,1911784
600,21500,1946433
600,21600,2140867
600,21700,1754642
600,21800,1925265
600,21900,3001667
600,22000,2056532
600,22100,1852110
600,22200,1877385
600,22300,1944734
600,22400,2107713
600,22500,1970897
600,22600,2024091
600,22700,1974017
600,22800,2023259
600,22900,1892982
600,23000,1976624
600,23100,1990227
600,23200,1956177
600,23300,2017995
600,23400,2167181
600,23500,1915006
600,23600,1994675
600,23700,1986356
600,23800,1991815
600,23900,2148223
600,24000,1966366
600,24100,2026209
600,24200,2096116
600,24300,1989111
