n,m,cmin,cmax,dual_lp
50,150,1,1,2960853
55,165,1,1,3049874
60,180,1,1,3016696
65,195,1,1,3718214
70,210,1,1,3576752
75,225,1,1,3237140
80,240,1,1,3387740
85,255,1,1,3520612
90,270,1,1,3595858
95,285,1,1,4195315
100,300,1,1,4709971
105,315,1,1,5320834
110,330,1,1,4114202
115,345,1,1,4307490
120,360,1,1,4848060
125,375,1,1,5493049
130,390,1,1,5350348
135,405,1,1,5495092
140,420,1,1,6836082
145,435,1,1,5197356
150,450,1,1,6164246
155,465,1,1,6316458
160,480,1,1,6683558
165,495,1,1,6443549
170,510,1,1,6286166
175,525,1,1,7278524
180,540,1,1,6960751
185,555,1,1,7819729
190,570,1,1,7310677
195,585,1,1,6868423
200,600,1,1,6716935
205,615,1,1,7403839
210,630,1,1,8599573
215,645,1,1,7640287
220,660,1,1,7873197
225,675,1,1,8273257
230,690,1,1,7786483
235,705,1,1,8535185
240,720,1,1,8452183
245,735,1,1,10322863
250,750,1,1,9007097
255,765,1,1,9031311
260,780,1,1,9630467
265,795,1,1,10770821
270,810,1,1,9524510
275,825,1,1,10183963
280,840,1,1,10913815
285,855,1,1,9617680
290,870,1,1,10991821
295,885,1,1,11669876
300,900,1,1,9241379
305,915,1,1,9218231
310,930,1,1,10509205
315,945,1,1,9831752
320,960,1,1,9431857
325,975,1,1,11112866
330,990,1,1,10025465
335,1005,1,1,10297070
340,1020,1,1,12212515
345,1035,1,1,11449287
350,1050,1,1,11542945
355,1065,1,1,13054006
360,1080,1,1,11394585
365,1095,1,1,11339298
370,1110,1,1,12346565
375,1125,1,1,11341993
380,1140,1,1,12290400
385,1155,1,1,11397049
390,1170,1,1,11973154
395,1185,1,1,14080849
400,1200,1,1,11438572
405,1215,1,1,12080161
410,1230,1,1,12099261
415,1245,1,1,13079996
420,1260,1,1,12830612
425,1275,1,1,14511590
430,1290,1,1,13787044
435,1305,1,1,13894026
440,1320,1,1,13818511
445,1335,1,1,15630785
450,1350,1,1,15008009
455,1365,1,1,14883954
460,1380,1,1,14481734
465,1395,1,1,14487584
470,1410,1,1,14027982
475,1425,1,1,16728155
480,1440,1,1,14265063
485,1455,1,1,14874648
490,1470,1,1,15147268
495,1485,1,1,15955778
500,1500,1,1,15306737
505,1515,1,1,18714019
510,1530,1,1,17202110
515,1545,1,1,18572417
520,1560,1,1,16531316
525,1575,1,1,16885384
530,1590,1,1,17172760
535,1605,1,1,16655315
540,1620,1,1,17268848
545,1635,1,1,17205923
550,1650,1,1,24262928
555,1665,1,1,15965872
560,1680,1,1,17890939
565,1695,1,1,16592337
570,1710,1,1,17655824
575,1725,1,1,17297154
580,1740,1,1,16699586
585,1755,1,1,16919103
590,1770,1,1,17477439
595,1785,1,1,17598160
600,1800,1,1,17669854
605,1815,1,1,18883859
610,1830,1,1,18365737
