n,m,cmin,cmax,dual_lp
1255,16315,1,100,293063091
1260,16380,1,100,315452073
1265,16445,1,100,287426853
1270,16510,1,100,348068625
1275,16575,1,100,307599574
1280,16640,1,100,386506354
1285,16705,1,100,397620290
1290,16770,1,100,427440879
1295,16835,1,100,486465681
1300,16900,1,100,290435069
1305,16965,1,100,307057653
1310,17030,1,100,285260085
1315,17095,1,100,322157223
1320,17160,1,100,377612610
1325,17225,1,100,298152642
1330,17290,1,100,317340967
1335,17355,1,100,294919883
1340,17420,1,100,348431171
1345,17485,1,100,344370062
1350,17550,1,100,315952348
1355,17615,1,100,351722075
1360,17680,1,100,313216383
1365,17745,1,100,326607559
1370,17810,1,100,359840754
1375,17875,1,100,311064651
1380,17940,1,100,316341297
1385,18005,1,100,328254844
1390,18070,1,100,338342114
1395,18135,1,100,310174108
1400,18200,1,100,398487645
1405,18265,1,100,343193368
1410,18330,1,100,402602834
1415,18395,1,100,406526876
1420,18460,1,100,384397703
1425,18525,1,100,397386772
1430,18590,1,100,330085396
1435,18655,1,100,399664844
1440,18720,1,100,333052681
1445,18785,1,100,407597993
1450,18850,1,100,381988511
1455,18915,1,100,400621200
1460,18980,1,100,373564222
1465,19045,1,100,344197471
1470,19110,1,100,396783642
1475,19175,1,100,332694366
1480,19240,1,100,403330691
1485,19305,1,100,357884350
1490,19370,1,100,379851971
1495,19435,1,100,401631197
1500,19500,1,100,401214985
1505,19565,1,100,467120726
1510,19630,1,100,576838851
1515,19695,1,100,384129841
1520,19760,1,100,424161273
1525,19825,1,100,447198459
1530,19890,1,100,474048117
1535,19955,1,100,342526108
1540,20020,1,100,493880677
1545,20085,1,100,512078309
1550,20150,1,100,358327903
1555,20215,1,100,425191480
1560,20280,1,100,454966859
1565,20345,1,100,374849665
1570,20410,1,100,446089466
1575,20475,1,100,414313103
1580,20540,1,100,492102604
1585,20605,1,100,449346107
1590,20670,1,100,598916824
1595,20735,1,100,458407908
1600,20800,1,100,638095733
1605,20865,1,100,546064138
1610,20930,1,100,569924187
1615,20995,1,100,545514129
1620,21060,1,100,506262647
1625,21125,1,100,559284357
1630,21190,1,100,487186075
1635,21255,1,100,598171376
1640,21320,1,100,467878071
1645,21385,1,100,486617617
1650,21450,1,100,415921088
1655,21515,1,100,428256055
1660,21580,1,100,430020597
1665,21645,1,100,397608014
1670,21710,1,100,391481634
1675,21775,1,100,400045553
1680,21840,1,100,394898674
1685,21905,1,100,463623360
1690,21970,1,100,390147245
1695,22035,1,100,432400442
1700,22100,1,100,392163458
1705,22165,1,100,401338731
1710,22230,1,100,479756298
1715,22295,1,100,391024678
1720,22360,1,100,390348161
1725,22425,1,100,381039105
1730,22490,1,100,467282226
1735,22555,1,100,428408491
1740,22620,1,100,393428194
1745,22685,1,100,473940606
1750,22750,1,100,471023316
1755,22815,1,100,423920520
1760,22880,1,100,411716571
1765,22945,1,100,485212553
1770,23010,1,100,421305175
1775,23075,1,100,464938596
1780,23140,1,100,520041176
1785,23205,1,100,475361845
1790,23270,1,100,520894420
1795,23335,1,100,555716848
1800,23400,1,100,566788283
1805,23465,1,100,600942108
1810,23530,1,100,627889367
1815,23595,1,100,498146631
1820,23660,1,100,610704285
1825,23725,1,100,524497184
1830,23790,1,100,770771843
1835,23855,1,100,511024792
1840,23920,1,100,496819590
1845,23985,1,100,525934289
1850,24050,1,100,555603907
1855,24115,1,100,536324998
1860,24180,1,100,610005842
1865,24245,1,100,667055399
1870,24310,1,100,653814145
1875,24375,1,100,659282843
1880,24440,1,100,490389591
1885,24505,1,100,518903532
1890,24570,1,100,502561165
1895,24635,1,100,473289124
1900,24700,1,100,611455383
1905,24765,1,100,521297884
1910,24830,1,100,708849348
1915,24895,1,100,662768865
1920,24960,1,100,579964074
1925,25025,1,100,522894521
1930,25090,1,100,528958313
1935,25155,1,100,685186893
1940,25220,1,100,707031777
1945,25285,1,100,622445014
1950,25350,1,100,659071318
1955,25415,1,100,586261431
1960,25480,1,100,727825931
1965,25545,1,100,569539050
1970,25610,1,100,698660614
1975,25675,1,100,620310583
1980,25740,1,100,810980873
1985,25805,1,100,578423489
1990,25870,1,100,589133998
1995,25935,1,100,547282750
2000,26000,1,100,537698617
2005,26065,1,100,521243547
2010,26130,1,100,491384213
2015,26195,1,100,506557787
2020,26260,1,100,575718690
2025,26325,1,100,600210878
2030,26390,1,100,558515239
2035,26455,1,100,567463981
2040,26520,1,100,485266910
2045,26585,1,100,524332776
2050,26650,1,100,583474194
2055,26715,1,100,525236192
2060,26780,1,100,521087286
2065,26845,1,100,518394085
2070,26910,1,100,508159150
2075,26975,1,100,517037759
2080,27040,1,100,569086574
2085,27105,1,100,526174610
2090,27170,1,100,559327886
2095,27235,1,100,566135922
2100,27300,1,100,622298670
2105,27365,1,100,536482261
2110,27430,1,100,499930412
2115,27495,1,100,526424113
2120,27560,1,100,499678189
2125,27625,1,100,522955671
2130,27690,1,100,574151266
2135,27755,1,100,504855901
2140,27820,1,100,536236482
2145,27885,1,100,519847792
2150,27950,1,100,511157940
2155,28015,1,100,548869103
2160,28080,1,100,518996477
2165,28145,1,100,540051777
2170,28210,1,100,583930470
2175,28275,1,100,560392861
2180,28340,1,100,566538706
2185,28405,1,100,598027191
2190,28470,1,100,548180856
2195,28535,1,100,623401618
2200,28600,1,100,605787357
2205,28665,1,100,584622502
2210,28730,1,100,535347755
2215,28795,1,100,603491693
2220,28860,1,100,603107171
2225,28925,1,100,653536174
2230,28990,1,100,519933473
2235,29055,1,100,619430391
2240,29120,1,100,611276949
2245,29185,1,100,571156073
2250,29250,1,100,643699474
2255,29315,1,100,620255252
2260,29380,1,100,629155517
2265,29445,1,100,552941143
2270,29510,1,100,629884803
2275,29575,1,100,624080395
2280,29640,1,100,645453227
2285,29705,1,100,634507889
2290,29770,1,100,683451148
2295,29835,1,100,640263362
2300,29900,1,100,621177927
2305,29965,1,100,680356695
