n,m,dinic
1835,12845,2535003
1840,12880,2284730
1845,12915,2312815
1850,12950,2339266
1855,12985,2367719
1860,13020,2460687
1865,13055,2313428
1870,13090,2364921
1875,13125,2282051
1880,13160,2430775
1885,13195,2305564
1890,13230,2409849
1895,13265,2235308
1900,13300,2390675
1905,13335,2112231
1910,13370,2344557
1915,13405,2406262
1920,13440,2541637
1925,13475,2571918
1930,13510,2175047
1935,13545,3132789
1940,13580,2131150
1945,13615,2565603
1950,13650,2705810
1955,13685,3088620
1960,13720,2213653
1965,13755,2546646
1970,13790,2137985
1975,13825,2576070
1980,13860,2474880
1985,13895,2390492
1990,13930,2475563
1995,13965,2634157
2000,14000,2811997
2005,14035,3538955
2010,14070,2757427
2015,14105,3169283
2020,14140,2402864
2025,14175,3371772
2030,14210,3031763
2035,14245,3822001
2040,14280,3443122
2045,14315,2685962
2050,14350,3333045
2055,14385,2540402
2060,14420,2524900
2065,14455,2983912
2070,14490,3132741
2075,14525,3132711
2080,14560,3788359
2085,14595,3033039
2090,14630,3893580
2095,14665,3270316
2100,14700,2479477
2105,14735,3118018
2110,14770,2912965
2115,14805,2471834
2120,14840,3787863
2125,14875,3089148
2130,14910,2743404
2135,14945,2594100
2140,14980,2299990
2145,15015,2950607
2150,15050,2770493
2155,15085,2969937
2160,15120,3043718
2165,15155,2986469
2170,15190,2646471
2175,15225,2788682
2180,15260,2677169
2185,15295,2686381
2190,15330,2948961
2195,15365,3483801
2200,15400,3052404
2205,15435,2587453
2210,15470,2734314
2215,15505,2627650
2220,15540,3888627
2225,15575,3355691
2230,15610,3148088
2235,15645,3129275
2240,15680,2744859
2245,15715,3252709
2250,15750,2950006
2255,15785,2683516
2260,15820,2986774
2265,15855,3157036
2270,15890,3046803
2275,15925,2858991
2280,15960,3502112
2285,15995,3452317
2290,16030,3107651
2295,16065,2540575
2300,16100,3040261
2305,16135,3415680
2310,16170,3003202
2315,16205,3054762
2320,16240,3143907
2325,16275,3009746
2330,16310,3521162
2335,16345,2857512
2340,16380,3271527
2345,16415,3144707
2350,16450,3280938
2355,16485,3542225
2360,16520,3390831
2365,16555,3269661
2370,16590,2634544
2375,16625,3365526
2380,16660,4103373
2385,16695,3531016
2390,16730,3125904
2395,16765,3986528
2400,16800,3665830
2405,16835,3740004
2410,16870,3452143
2415,16905,2996447
2420,16940,3971953
2425,16975,3205155
2430,17010,3976481
2435,17045,4629209
2440,17080,3178932
2445,17115,3594484
2450,17150,2878730
2455,17185,3244824
2460,17220,3352332
2465,17255,3886036
2470,17290,3576695
2475,17325,3850550
2480,17360,3945267
2485,17395,3197121
2490,17430,3519477
2495,17465,3574429
2500,17500,3071042
2505,17535,3302858
2510,17570,4017339
2515,17605,3636822
2520,17640,3322098
2525,17675,3123766
2530,17710,3503411
2535,17745,3290462
2540,17780,2871220
2545,17815,4398779
2550,17850,3654605
2555,17885,3301090
2560,17920,3884920
2565,17955,3403404
2570,17990,3808723
2575,18025,3965966
2580,18060,3733423
2585,18095,3330024
2590,18130,3876194
2595,18165,4265142
2600,18200,3616832
2605,18235,3277287
2610,18270,3593284
2615,18305,4061829
2620,18340,3543429
2625,18375,4128340
2630,18410,3612905
2635,18445,3838346
2640,18480,3100407
2645,18515,3025630
2650,18550,4359648
2655,18585,3696980
2660,18620,3544709
2665,18655,3638232
2670,18690,4327035
2675,18725,3312276
2680,18760,3507848
2685,18795,3762244
2690,18830,3860349
2695,18865,3635086
2700,18900,4039881
2705,18935,3679045
2710,18970,3143835
2715,19005,3953740
2720,19040,4390777
2725,19075,3094427
2730,19110,4594603
2735,19145,4004593
2740,19180,4367566
2745,19215,3926857
2750,19250,3422967
2755,19285,3776750
2760,19320,3767896
2765,19355,4245458
2770,19390,4686179
2775,19425,3754288
2780,19460,3432780
2785,19495,4071670
2790,19530,3631862
2795,19565,3183360
2800,19600,4138273
2805,19635,3719768
2810,19670,3426666
2815,19705,3913919
2820,19740,4844406
2825,19775,3943681
2830,19810,4842166
2835,19845,3727569
2840,19880,4289381
2845,19915,4108727
2850,19950,3610573
2855,19985,4490084
2860,20020,3872183
2865,20055,4464790
2870,20090,3463991
2875,20125,3667990
2880,20160,3596503
2885,20195,4695137
2890,20230,4484199
2895,20265,3806105
2900,20300,5073396
2905,20335,5460467
2910,20370,5019419
2915,20405,3627849
2920,20440,3850689
2925,20475,4821922
2930,20510,4637035
2935,20545,4333208
2940,20580,4089475
2945,20615,3962459
2950,20650,4119285
2955,20685,4069045
2960,20720,4307364
2965,20755,4085083
2970,20790,4565510
2975,20825,4071981
2980,20860,4258843
2985,20895,8921468
2990,20930,6729663
2995,20965,10495557
3000,21000,8283821
