n,m,lp_runs,exp_lp
600,600,1,23591050
600,700,1,2959747
600,800,1,3115964
600,900,1,3147655
600,1000,1,3786307
600,1100,1,3803456
600,1200,1,3905126
600,1300,1,3831145
600,1400,1,3775272
600,1500,1,4102000
600,1600,1,4277290
600,1700,1,4709398
600,1800,5,8291743
600,1900,5,7416913
600,2000,6,8820271
600,2100,5,8063396
600,2200,5,8709394
600,2300,3,7421343
600,2400,5,9128162
600,2500,6,11164762
600,2600,8,12016585
600,2700,12,15773573
600,2800,12,16266506
600,2900,20,26930670
600,3000,22,27730659
600,3100,19,24612158
600,3200,17,23101858
600,3300,17,24287069
600,3400,19,26953325
600,3500,15,22817479
600,3600,18,26636795
600,3700,18,28307882
600,3800,20,30971663
600,3900,27,38186848
600,4000,20,30698542
600,4100,22,34483762
600,4200,31,46256052
600,4300,26,39932155
600,4400,23,38180937
600,4500,30,46636287
600,4600,31,49447077
600,4700,32,54058573
600,4800,37,60236624
600,4900,30,53021241
600,5000,34,63032613
600,5100,31,54438927
600,5200,37,66279762
600,5300,35,64534959
600,5400,37,65928771
600,5500,38,68078520
600,5600,35,64236391
600,5700,35,65420613
600,5800,40,74726128
600,5900,37,71748528
600,6000,33,64185239
600,6100,32,62869831
600,6200,38,76771505
600,6300,32,66000394
600,6400,39,81245431
600,6500,30,65089412
600,6600,34,72809513
600,6700,33,71319508
600,6800,31,68879517
600,6900,34,75207084
600,7000,33,74973268
600,7100,40,89136924
600,7200,29,72069133
600,7300,32,76620711
600,7400,32,76884896
600,7500,39,92951878
600,7600,38,96723372
600,7700,32,78886897
600,7800,34,86921544
600,7900,50,123003799
600,8000,45,116942067
600,8100,46,116397224
600,8200,47,123478756
600,8300,36,96190597
600,8400,45,122481079
600,8500,47,124794586
600,8600,44,122790191
600,8700,43,118280617
600,8800,57,161262566
600,8900,55,154845852
600,9000,44,127790027
600,9100,42,122300938
600,9200,48,146902335
600,9300,44,129910862
600,9400,33,105829650
600,9500,48,144316247
600,9600,46,144121580
600,9700,57,174950887
600,9800,58,182792830
600,9900,54,172967415
600,10000,53,168093946
600,10100,52,168318231
600,10200,53,172845737
600,10300,59,196322610
600,10400,64,213841120
600,10500,56,188832401
600,10600,55,191192046
600,10700,49,167834963
600,10800,58,200179941
600,10900,56,197555142
600,11000,57,206161840
600,11100,54,195279789
600,11200,53,196122177
600,11300,53,198430464
600,11400,63,321247736
600,11500,58,219424659
600,11600,67,252214521
600,11700,64,245269566
600,11800,55,216101119
600,11900,74,288316156
600,12000,81,323976000
600,12100,67,270323188
600,12200,67,265539110
600,12300,84,337328370
600,12400,67,272447772
600,12500,81,332267639
600,12600,62,261088776
600,12700,83,346376320
600,12800,79,328813531
600,12900,86,363013629
600,13000,82,350768100
600,13100,78,333358882
600,13200,84,364355740
