n,m,dinic
50,700,84004
55,770,83438
60,840,88632
65,910,94985
70,980,93875
75,1050,98024
80,1120,103340
85,1190,109449
90,1260,132463
95,1330,136916
100,1400,145226
105,1470,151239
110,1540,171851
115,1610,168709
120,1680,202099
125,1750,187370
130,1820,226341
135,1890,211840
140,1960,212654
145,2030,217413
150,2100,283281
155,2170,251085
160,2240,284736
165,2310,303435
170,2380,313920
175,2450,277432
180,2520,300603
185,2590,339056
190,2660,322303
195,2730,288586
200,2800,337319
205,2870,374477
210,2940,331513
215,3010,388525
220,3080,358457
225,3150,387491
230,3220,438699
235,3290,440217
240,3360,401613
245,3430,473343
250,3500,495025
255,3570,550608
260,3640,513599
265,3710,512753
270,3780,467776
275,3850,552918
280,3920,486623
285,3990,522296
290,4060,450125
295,4130,556710
300,4200,477730
305,4270,594274
310,4340,584697
315,4410,617211
320,4480,432266
325,4550,521180
330,4620,533269
335,4690,533110
340,4760,566692
345,4830,511062
350,4900,748744
355,4970,481772
360,5040,573386
365,5110,562939
370,5180,744655
375,5250,638153
380,5320,597703
385,5390,667045
390,5460,664283
395,5530,662948
400,5600,683872
405,5670,680525
410,5740,712161
415,5810,728011
420,5880,840173
425,5950,733471
430,6020,674821
435,6090,703247
440,6160,782565
445,6230,745758
450,6300,813840
455,6370,870154
460,6440,831166
465,6510,741002
470,6580,795391
475,6650,681230
480,6720,790053
485,6790,745061
490,6860,738239
495,6930,759613
500,7000,828930
505,7070,969188
510,7140,806353
515,7210,979281
520,7280,881403
525,7350,870638
530,7420,845546
535,7490,838153
540,7560,715919
545,7630,758990
550,7700,959671
555,7770,1011506
560,7840,1318466
565,7910,1046426
570,7980,1093377
575,8050,995287
580,8120,1060563
585,8190,889671
590,8260,1018404
595,8330,1078192
600,8400,970298
605,8470,1082814
610,8540,1165464
615,8610,1133739
620,8680,1218526
625,8750,1443215
630,8820,1451123
635,8890,1127004
640,8960,1024293
645,9030,1287450
650,9100,1203782
655,9170,1213990
660,9240,1074341
665,9310,1268570
670,9380,1252578
675,9450,1203733
680,9520,1151367
685,9590,1263386
690,9660,1272507
695,9730,1274431
700,9800,1423999
705,9870,1341394
710,9940,1277027
715,10010,1266339
720,10080,1413058
725,10150,1167265
730,10220,1323613
735,10290,1417048
740,10360,1423998
745,10430,1385716
750,10500,1446340
755,10570,1454765
760,10640,1387505
765,10710,1198265
770,10780,1353844
775,10850,1395803
780,10920,1158078
785,10990,1252592
790,11060,1429580
795,11130,1956248
800,11200,1605152
805,11270,1282290
810,11340,1497461
815,11410,1315201
820,11480,1274295
825,11550,1334431
830,11620,2029664
835,11690,1626123
840,11760,1741029
845,11830,1825123
850,11900,1646444
855,11970,1430832
860,12040,1526597
865,12110,1693296
870,12180,1597825
875,12250,1630981
880,12320,1701258
885,12390,1707011
890,12460,1770339
895,12530,1479615
900,12600,1618600
905,12670,1498043
910,12740,1684342
