n,m,primal_lp
50,150,21989899
55,165,5523283
60,180,5885448
65,195,2498308
70,210,2356522
75,225,2777432
80,240,3008115
85,255,3035095
90,270,3037622
95,285,3241725
100,300,3037562
105,315,2776545
110,330,3390931
115,345,3323845
120,360,3183557
125,375,3289722
130,390,3350708
135,405,3753866
140,420,3799036
145,435,2507768
150,450,2496434
155,465,2614568
160,480,2615606
165,495,2369386
170,510,2513357
175,525,2765941
180,540,2705507
185,555,4443596
190,570,3939499
195,585,3998029
200,600,4668533
205,615,5212560
210,630,4228888
215,645,5773664
220,660,5325623
225,675,5096726
230,690,4847726
235,705,5073907
240,720,4810634
245,735,5086499
250,750,5361628
255,765,4619550
260,780,6515405
265,795,6679932
270,810,8201725
275,825,7720124
280,840,7837506
285,855,8104870
290,870,7401498
295,885,8824308
300,900,8331800
305,915,8721853
310,930,8377717
315,945,9256158
320,960,8700718
325,975,9091819
330,990,9091578
335,1005,9250912
340,1020,9459848
345,1035,9489906
350,1050,10433216
355,1065,10142081
360,1080,11675581
365,1095,11084628
370,1110,10893144
375,1125,11398387
380,1140,9972939
385,1155,10912167
390,1170,10850286
395,1185,13002730
400,1200,12265408
405,1215,12608670
410,1230,11927869
415,1245,10909089
420,1260,11456631
425,1275,11272526
430,1290,10557912
435,1305,12636602
440,1320,12357930
445,1335,12464167
450,1350,12486452
455,1365,15030804
460,1380,12653533
465,1395,15905409
470,1410,15581759
475,1425,14369467
480,1440,14978807
485,1455,13215844
490,1470,16258491
495,1485,13983465
500,1500,14896674
505,1515,15627449
510,1530,15263016
515,1545,16462443
520,1560,16691993
525,1575,17259129
530,1590,15972018
535,1605,15435464
540,1620,17376004
545,1635,25540878
550,1650,17377054
555,1665,17019824
560,1680,18188186
565,1695,17383449
570,1710,19186298
575,1725,17783664
580,1740,18074918
585,1755,16917274
590,1770,15632465
595,1785,16415093
600,1800,16838702
605,1815,18110222
610,1830,16335328
615,1845,18175729
620,1860,18340351
625,1875,18462655
630,1890,17917623
635,1905,17878177
640,1920,17476543
645,1935,20163589
650,1950,20065753
655,1965,22417972
660,1980,22398957
665,1995,20273121
670,2010,21389592
675,2025,20227861
680,2040,17943719
685,2055,17750414
690,2070,20070772
695,2085,19454420
700,2100,19230905
705,2115,21218670
710,2130,20484107
715,2145,19394064
720,2160,18399688
725,2175,20558110
730,2190,21718360
735,2205,20640039
740,2220,25882023
745,2235,23603179
750,2250,24501584
755,2265,23357786
760,2280,26422284
765,2295,23939626
770,2310,24537546
775,2325,25606755
780,2340,26414224
785,2355,24068168
790,2370,26296956
795,2385,24151387
800,2400,27634895
805,2415,22985975
810,2430,27692623
815,2445,26780273
820,2460,29786881
825,2475,30059099
830,2490,28443166
835,2505,28396553
840,2520,29288383
845,2535,33566044
850,2550,29697776
855,2565,29300478
860,2580,29942338
865,2595,30311562
870,2610,28942353
875,2625,29434050
880,2640,27207037
885,2655,27271012
890,2670,28104763
895,2685,36248413
900,2700,30815092
905,2715,36031955
910,2730,32689334
915,2745,31900114
920,2760,37192569
925,2775,31516012
930,2790,34274116
935,2805,33991563
940,2820,35385544
945,2835,33898631
950,2850,36901709
955,2865,35545941
960,2880,38736831
965,2895,33471530
970,2910,32646204
975,2925,39326367
980,2940,36706889
985,2955,40263425
990,2970,37923107
995,2985,39547083
1000,3000,37811490
1005,3015,36850281
1010,3030,41098169
1015,3045,42792297
1020,3060,42979065
1025,3075,37417710
1030,3090,39847987
1035,3105,40741240
1040,3120,38628631
1045,3135,44311111
1050,3150,38271365
1055,3165,39731307
1060,3180,41737585
1065,3195,45187738
1070,3210,46681273
1075,3225,46376938
1080,3240,53472756
1085,3255,47318356
1090,3270,46020651
1095,3285,43833969
1100,3300,42026398
1105,3315,52573996
1110,3330,55989287
1115,3345,50272260
1120,3360,47009406
1125,3375,44474092
1130,3390,47143415
1135,3405,47698050
1140,3420,45170536
1145,3435,40880913
1150,3450,43837053
1155,3465,46791141
1160,3480,53780429
1165,3495,51112118
1170,3510,44832972
1175,3525,44732928
1180,3540,50551052
1185,3555,57965245
1190,3570,56298212
1195,3585,51374987
1200,3600,51416996
1205,3615,54319798
1210,3630,52749351
1215,3645,48794549
1220,3660,46553620
1225,3675,54815603
1230,3690,61721508
1235,3705,50020179
1240,3720,54212910
1245,3735,63361065
1250,3750,57065268
1255,3765,56233619
1260,3780,53536149
1265,3795,55815839
1270,3810,60159281
1275,3825,56857617
1280,3840,54285608
1285,3855,42562259
1290,3870,44525751
1295,3885,55537909
1300,3900,48632701
1305,3915,55652909
1310,3930,54378081
1315,3945,49813719
1320,3960,51967206
1325,3975,65914361
1330,3990,57327901
1335,4005,56757934
1340,4020,57416501
1345,4035,57663474
1350,4050,59141496
1355,4065,57982842
1360,4080,62223265
1365,4095,62463660
1370,4110,62711269
1375,4125,64652311
1380,4140,69979181
1385,4155,69737320
1390,4170,66396325
1395,4185,65444064
1400,4200,67894337
1405,4215,64163595
1410,4230,65698072
1415,4245,58776241
1420,4260,65324985
1425,4275,64270785
1430,4290,66454805
1435,4305,63240889
1440,4320,67968172
1445,4335,64962718
1450,4350,66185536
1455,4365,61183159
1460,4380,71160926
1465,4395,63657472
1470,4410,55350603
1475,4425,66985893
1480,4440,69268785
1485,4455,69090142
1490,4470,69295280
1495,4485,75725259
1500,4500,68117197
1505,4515,65450568
1510,4530,76827029
1515,4545,68703305
1520,4560,68433416
1525,4575,73655532
1530,4590,67980682
1535,4605,73332349
1540,4620,73745908
1545,4635,74350713
1550,4650,78853457
1555,4665,80382598
1560,4680,71328250
1565,4695,70910483
1570,4710,70742914
1575,4725,68245440
1580,4740,76444048
1585,4755,72658651
1590,4770,76566924
1595,4785,75886556
1600,4800,91679211
1605,4815,84097557
1610,4830,92479197
1615,4845,75319418
1620,4860,78657601
1625,4875,82208876
1630,4890,83447824
1635,4905,78580988
1640,4920,92021874
1645,4935,84015287
1650,4950,93621644
1655,4965,74180390
1660,4980,77844828
1665,4995,88576039
1670,5010,89470595
1675,5025,93747112
1680,5040,82403732
1685,5055,84682360
1690,5070,110374149
1695,5085,104336560
1700,5100,81584322
1705,5115,96133978
1710,5130,84514585
1715,5145,81218178
1720,5160,89902699
1725,5175,91610070
1730,5190,94462221
1735,5205,83183289
1740,5220,85420783
1745,5235,92319344
1750,5250,92884420
1755,5265,98482683
1760,5280,97513420
1765,5295,82955048
1770,5310,87547814
1775,5325,82813538
1780,5340,88460712
1785,5355,103635398
1790,5370,92908891
1795,5385,96543224
1800,5400,82781950
1805,5415,100052276
1810,5430,99362179
1815,5445,111456960
1820,5460,102331658
1825,5475,94920124
1830,5490,111139121
1835,5505,85333583
1840,5520,92866366
1845,5535,110156847
1850,5550,101204156
1855,5565,98588912
1860,5580,110720282
1865,5595,96548292
1870,5610,98699041
1875,5625,93187281
1880,5640,110220356
1885,5655,101694408
1890,5670,104495905
1895,5685,98491211
1900,5700,106570267
1905,5715,106640316
1910,5730,108804036
1915,5745,98949456
1920,5760,90011675
1925,5775,99612236
1930,5790,107684579
1935,5805,112851861
1940,5820,106571063
1945,5835,114138873
1950,5850,100551612
1955,5865,115735179
1960,5880,112983152
1965,5895,103416721
1970,5910,105284387
1975,5925,115851935
1980,5940,109150509
1985,5955,98088646
1990,5970,105466213
1995,5985,114390751
2000,6000,107299178
2005,6015,116198125
2010,6030,127628080
2015,6045,113968433
2020,6060,119631233
2025,6075,106268111
2030,6090,123161348
2035,6105,118686471
2040,6120,121792274
2045,6135,131341333
2050,6150,114086732
2055,6165,103122306
2060,6180,102775259
2065,6195,115762438
2070,6210,110358625
2075,6225,133405453
2080,6240,123439846
2085,6255,131455278
2090,6270,124922507
2095,6285,133232354
2100,6300,135826963
2105,6315,114318809
2110,6330,143529634
2115,6345,133637131
2120,6360,149382718
2125,6375,139127555
2130,6390,125646796
2135,6405,116161546
2140,6420,123754358
2145,6435,127202296
2150,6450,114880947
2155,6465,137939786
2160,6480,126676789
2165,6495,141605285
2170,6510,136364134
2175,6525,131794026
2180,6540,159242318
2185,6555,134396474
2190,6570,140958658
2195,6585,129259087
2200,6600,126297915
