n,m,lp_runs,exp_lp
1780,19580,30,241130509
1785,19635,33,266415237
1790,19690,28,226811919
1795,19745,36,285833627
1800,19800,31,252907401
1805,19855,41,329961943
1810,19910,36,285828805
1815,19965,43,340848997
1820,20020,30,261645200
1825,20075,28,245910422
1830,20130,32,314760733
1835,20185,38,315908368
1840,20240,36,298612539
1845,20295,42,343557209
1850,20350,34,279541290
1855,20405,32,266240994
1860,20460,35,290062781
1865,20515,42,347802139
1870,20570,37,305594331
1875,20625,43,350877273
1880,20680,43,359973335
1885,20735,39,331358799
1890,20790,46,378932115
1895,20845,46,377165458
1900,20900,39,331147514
1905,20955,38,321983945
1910,21010,42,354592079
1915,21065,42,355720351
1920,21120,37,317742755
1925,21175,45,378000066
1930,21230,39,333436062
1935,21285,41,351195838
1940,21340,36,310530204
1945,21395,37,322628770
1950,21450,41,356526891
1955,21505,39,342728950
1960,21560,45,389518287
1965,21615,30,266838741
1970,21670,30,271540694
1975,21725,32,285584085
1980,21780,37,329913977
1985,21835,35,315385584
1990,21890,33,298065168
1995,21945,35,317036515
2000,22000,39,347884404
2005,22055,34,305065175
2010,22110,36,328108759
2015,22165,30,274872524
2020,22220,35,317962828
2025,22275,34,309306369
2030,22330,39,356027679
2035,22385,36,330535380
2040,22440,31,289056611
2045,22495,28,268356974
2050,22550,26,256030521
2055,22605,36,335961631
2060,22660,34,319274078
2065,22715,36,336831767
2070,22770,34,316397473
2075,22825,34,315175873
2080,22880,32,310184868
2085,22935,30,287354657
2090,22990,34,319304093
2095,23045,35,328062229
2100,23100,34,325337572
2105,23155,31,297677247
2110,23210,37,350495568
2115,23265,39,370080056
2120,23320,35,338067622
2125,23375,33,370660028
2130,23430,38,374324632
2135,23485,34,330636784
2140,23540,40,388227620
2145,23595,42,410707690
2150,23650,40,391189101
2155,23705,38,376928269
2160,23760,38,377431462
2165,23815,39,380942459
2170,23870,30,300613197
2175,23925,35,346968481
2180,23980,33,329020467
2185,24035,32,316932379
2190,24090,36,359945017
2195,24145,42,411716647
2200,24200,36,358909691
2205,24255,38,385564763
2210,24310,36,360440800
2215,24365,40,398023469
2220,24420,36,357752103
2225,24475,36,357741108
2230,24530,39,392692503
2235,24585,34,355110920
2240,24640,32,327052993
2245,24695,36,365506032
2250,24750,31,321133357
2255,24805,36,367421744
2260,24860,35,360165162
2265,24915,35,357897440
2270,24970,37,376471490
2275,25025,33,343325666
2280,25080,37,378629278
2285,25135,33,340557514
2290,25190,43,434464367
2295,25245,32,334639729
2300,25300,35,365247277
2305,25355,34,357047983
2310,25410,36,380246353
2315,25465,35,372546534
2320,25520,38,398321222
2325,25575,35,368519286
2330,25630,28,303509348
2335,25685,30,325475750
2340,25740,36,392648777
2345,25795,37,392929242
2350,25850,37,398584425
2355,25905,36,386800058
2360,25960,35,380678207
2365,26015,29,324879952
2370,26070,39,417180905
2375,26125,29,319071577
2380,26180,31,340870823
2385,26235,34,371606762
2390,26290,38,409644127
2395,26345,36,389018169
2400,26400,34,371140150
2405,26455,27,305791745
2410,26510,34,378647186
2415,26565,27,306619120
2420,26620,32,361311353
2425,26675,32,354670644
2430,26730,31,346771008
2435,26785,36,405096440
2440,26840,32,367237373
2445,26895,30,416496189
2450,26950,32,366449839
2455,27005,26,301551545
2460,27060,30,343945153
2465,27115,33,375426195
2470,27170,29,335545651
2475,27225,25,291709369
2480,27280,29,331030505
2485,27335,28,331983794
2490,27390,26,308846414
2495,27445,29,337699385
2500,27500,31,356694547
2505,27555,27,316350419
2510,27610,28,338953206
2515,27665,23,283155306
2520,27720,24,295185926
2525,27775,32,385761698
2530,27830,23,280469561
2535,27885,27,328688115
2540,27940,24,299953271
2545,27995,25,298991925
2550,28050,30,357261488
2555,28105,29,352275561
2560,28160,27,331482321
2565,28215,31,375958143
2570,28270,23,284564992
2575,28325,22,276345039
2580,28380,23,290616661
2585,28435,26,316396824
2590,28490,25,308260711
2595,28545,31,371025538
2600,28600,23,288996017
2605,28655,27,329308302
2610,28710,23,292752211
2615,28765,22,277196981
2620,28820,23,290697248
2625,28875,26,320180401
2630,28930,23,291504981
2635,28985,24,304271045
2640,29040,23,291899484
2645,29095,23,295153478
2650,29150,22,282571386
2655,29205,19,250040333
2660,29260,22,287152736
2665,29315,26,327996863
2670,29370,23,297269443
2675,29425,21,276993190
2680,29480,28,358122502
2685,29535,24,304573011
2690,29590,24,308651340
2695,29645,19,255192552
2700,29700,23,301358933
2705,29755,19,260205367
2710,29810,24,311522849
2715,29865,21,280903917
2720,29920,22,291617675
2725,29975,26,333125681
2730,30030,22,292663689
2735,30085,22,290762010
2740,30140,21,281410816
2745,30195,19,263891877
