n,m,primal_lp
1755,8775,140779399
1760,8800,136695219
1765,8825,166691433
1770,8850,158134102
1775,8875,142155974
1780,8900,153761868
1785,8925,153043573
1790,8950,137285111
1795,8975,149639786
1800,9000,172299614
1805,9025,145266116
1810,9050,155774473
1815,9075,121519336
1820,9100,153822397
1825,9125,154858185
1830,9150,160283428
1835,9175,150324794
1840,9200,158180680
1845,9225,157253680
1850,9250,138409634
1855,9275,147902531
1860,9300,141386224
1865,9325,159755206
1870,9350,150115127
1875,9375,150217337
1880,9400,165990294
1885,9425,168191352
1890,9450,159274904
1895,9475,151480948
1900,9500,154014365
1905,9525,184742235
1910,9550,172010562
1915,9575,151242671
1920,9600,160439768
1925,9625,158253886
1930,9650,184379226
1935,9675,170002187
1940,9700,163720600
1945,9725,148203922
1950,9750,173980150
1955,9775,168886671
1960,9800,179669070
1965,9825,174199055
1970,9850,172445616
1975,9875,159595440
1980,9900,155109122
1985,9925,163416373
1990,9950,162688060
1995,9975,189007407
2000,10000,161304379
2005,10025,172969043
2010,10050,172168781
2015,10075,167859835
2020,10100,205463461
2025,10125,186747315
2030,10150,151674646
2035,10175,177307677
2040,10200,180098823
2045,10225,181589865
2050,10250,170593055
2055,10275,171363465
2060,10300,193869685
2065,10325,173485000
2070,10350,174626172
2075,10375,179003731
2080,10400,191212018
2085,10425,158258607
2090,10450,176313763
2095,10475,179964872
2100,10500,187873469
2105,10525,172640796
2110,10550,212803883
2115,10575,180070752
2120,10600,215744794
2125,10625,171578286
2130,10650,179034135
2135,10675,164298514
2140,10700,182367010
2145,10725,226027003
2150,10750,175869199
2155,10775,179839605
2160,10800,187850319
2165,10825,184440888
2170,10850,208285491
2175,10875,191798242
2180,10900,193915151
2185,10925,171643803
2190,10950,179467220
2195,10975,169277235
2200,11000,177919090
2205,11025,179642814
2210,11050,176976442
2215,11075,212650709
2220,11100,177215114
2225,11125,204327314
2230,11150,216668407
2235,11175,187958221
2240,11200,202505325
2245,11225,173572741
2250,11250,183502194
2255,11275,200578799
2260,11300,191016356
2265,11325,199809348
2270,11350,189324155
2275,11375,206771270
2280,11400,215367907
2285,11425,195938047
2290,11450,195973943
2295,11475,213384957
2300,11500,195144967
2305,11525,179270104
2310,11550,178786786
2315,11575,306422084
2320,11600,187627074
2325,11625,214794718
2330,11650,221665251
2335,11675,224635422
2340,11700,198407123
2345,11725,198633811
2350,11750,200846317
2355,11775,226521809
2360,11800,194570421
2365,11825,203172915
2370,11850,189139270
2375,11875,180334730
2380,11900,201530320
2385,11925,203736281
2390,11950,198249942
2395,11975,243053336
2400,12000,213807754
2405,12025,209751433
2410,12050,247766707
2415,12075,206223678
2420,12100,192714587
2425,12125,224928480
2430,12150,204481399
2435,12175,204404533
2440,12200,242685074
2445,12225,274308546
2450,12250,213104464
2455,12275,233579937
2460,12300,263089063
2465,12325,228904604
2470,12350,244522460
2475,12375,205930993
2480,12400,206928272
2485,12425,225789481
2490,12450,194994490
2495,12475,199185960
2500,12500,205884849
2505,12525,250635405
2510,12550,234658093
2515,12575,220035481
2520,12600,218552158
2525,12625,233558917
2530,12650,234054108
2535,12675,264487386
2540,12700,243216330
2545,12725,221107663
2550,12750,258568072
2555,12775,263345365
2560,12800,222156570
2565,12825,259083002
2570,12850,261595680
2575,12875,228309158
2580,12900,265254903
2585,12925,217365204
2590,12950,239955123
2595,12975,243816992
2600,13000,258511073
2605,13025,212418790
2610,13050,225876003
2615,13075,263178834
2620,13100,216108469
2625,13125,271534636
2630,13150,217672561
2635,13175,262036273
2640,13200,265361565
2645,13225,266742695
2650,13250,267802417
2655,13275,285744134
2660,13300,227443840
2665,13325,279952388
