n,m,dinic
700,700,105301
700,800,225297
700,900,169730
700,1000,152852
700,1100,199630
700,1200,304647
700,1300,315404
700,1400,297177
700,1500,327045
700,1600,375755
700,1700,357607
700,1800,416363
700,1900,407338
700,2000,624041
700,2100,467926
700,2200,528639
700,2300,442594
700,2400,560959
700,2500,549837
700,2600,563742
700,2700,451495
700,2800,503198
700,2900,463316
700,3000,632909
700,3100,634679
700,3200,628508
700,3300,854638
700,3400,643120
700,3500,665850
700,3600,666709
700,3700,1144522
700,3800,681790
700,3900,762088
700,4000,663378
700,4100,1143371
700,4200,1127350
700,4300,891337
700,4400,881865
700,4500,917791
700,4600,924697
700,4700,719070
700,4800,880244
700,4900,887561
700,5000,1076637
700,5100,831185
700,5200,1246848
700,5300,846707
700,5400,904799
700,5500,920373
700,5600,1049882
700,5700,943330
700,5800,877801
700,5900,906606
700,6000,898385
700,6100,903499
700,6200,867163
700,6300,994262
700,6400,1531255
700,6500,981564
700,6600,960341
700,6700,994940
700,6800,1041927
700,6900,983428
700,7000,1487059
700,7100,1055531
700,7200,1011646
700,7300,1037381
700,7400,1003255
700,7500,1097475
700,7600,1264945
700,7700,3058264
700,7800,1646092
700,7900,1728675
700,8000,1072062
700,8100,1090979
700,8200,1272929
700,8300,944005
700,8400,1045715
700,8500,944111
700,8600,1372933
700,8700,957061
700,8800,1263037
700,8900,1078977
700,9000,1657357
700,9100,976520
700,9200,996769
700,9300,1060679
700,9400,1041136
700,9500,1068349
700,9600,1537262
700,9700,1451490
700,9800,1360237
700,9900,1660239
700,10000,1154963
700,10100,1418374
700,10200,1137046
700,10300,1187641
700,10400,1513841
700,10500,1835143
700,10600,1138437
700,10700,1185108
700,10800,1109534
700,10900,1198347
700,11000,1243292
700,11100,1238326
700,11200,1333488
700,11300,1447945
700,11400,1380607
700,11500,1539752
700,11600,1588549
700,11700,2892188
700,11800,1324940
700,11900,1277463
700,12000,1381831
700,12100,1343211
700,12200,1425884
700,12300,1418434
700,12400,1299909
700,12500,1326740
700,12600,1698221
700,12700,1951627
700,12800,1718899
700,12900,1899001
700,13000,1410178
700,13100,1808926
700,13200,1460800
700,13300,1589180
700,13400,1592173
700,13500,2290631
700,13600,1517443
700,13700,1470829
700,13800,1533638
700,13900,1573694
700,14000,1464760
700,14100,1465768
700,14200,1505167
700,14300,1471849
700,14400,1558134
700,14500,1906137
700,14600,1519656
700,14700,1638004
700,14800,2218275
700,14900,1614951
700,15000,2063913
700,15100,2416396
700,15200,2086289
700,15300,1478221
700,15400,1770758
700,15500,2459803
700,15600,2977065
700,15700,1782276
700,15800,1673441
700,15900,1741053
700,16000,1684307
700,16100,2641029
700,16200,1535663
700,16300,1735360
700,16400,1920489
700,16500,1846637
700,16600,2362569
700,16700,2478563
700,16800,2924014
700,16900,2473938
700,17000,1906568
700,17100,1760224
700,17200,1927211
700,17300,2102937
700,17400,3069496
700,17500,1923289
700,17600,2344575
700,17700,1825225
700,17800,2873762
700,17900,1829936
700,18000,2695379
700,18100,2917371
700,18200,2834768
700,18300,1913587
700,18400,2657701
700,18500,1842690
700,18600,1825872
700,18700,2062610
700,18800,2771210
700,18900,3190873
700,19000,2017946
700,19100,1991672
700,19200,1971320
700,19300,2898704
700,19400,2014820
700,19500,3304006
700,19600,2036856
700,19700,2066617
700,19800,3204929
700,19900,2362299
700,20000,2861268
700,20100,2238433
700,20200,2310617
700,20300,2064399
700,20400,2138174
700,20500,2246887
700,20600,2672743
700,20700,2122989
700,20800,2100773
700,20900,2025965
700,21000,2067468
700,21100,2574929
700,21200,2189453
700,21300,3330972
700,21400,2552279
700,21500,2281049
700,21600,2108804
700,21700,2071943
700,21800,2324907
700,21900,2480135
700,22000,2654855
700,22100,3876783
700,22200,2485597
700,22300,2281114
700,22400,3638919
700,22500,3400583
700,22600,3290674
700,22700,2215807
700,22800,2287691
700,22900,3206001
700,23000,2446173
700,23100,2547531
700,23200,2394501
700,23300,2347229
700,23400,2327777
700,23500,3116975
700,23600,2540282
700,23700,2645804
700,23800,2467381
700,23900,2385607
700,24000,2255262
700,24100,2361017
700,24200,2508038
700,24300,3975814
700,24400,2737824
700,24500,2650723
700,24600,2529093
700,24700,2463381
700,24800,2532978
700,24900,2450460
700,25000,3145215
700,25100,2556152
700,25200,2937232
700,25300,2612604
700,25400,2645256
700,25500,2565410
700,25600,4586928
700,25700,4050638
700,25800,3514330
700,25900,2429803
700,26000,2589516
700,26100,4367539
700,26200,2680072
700,26300,2722168
700,26400,3500337
700,26500,3673617
700,26600,5440737
700,26700,3836962
700,26800,3032976
700,26900,2717404
700,27000,2540452
700,27100,2441937
700,27200,2550720
700,27300,3111303
700,27400,2709000
700,27500,2985831
700,27600,3040530
700,27700,3565242
700,27800,2736023
700,27900,2938665
700,28000,2833427
700,28100,4934220
700,28200,3484919
700,28300,3692453
700,28400,2727296
700,28500,2565608
700,28600,3299094
700,28700,2884615
700,28800,4269393
700,28900,2950830
700,29000,3086187
700,29100,2646207
700,29200,2793773
700,29300,2789350
700,29400,3025950
700,29500,4047362
700,29600,2845093
700,29700,2896870
700,29800,4178809
700,29900,2645537
700,30000,2814878
700,30100,2900147
700,30200,4372141
700,30300,4718239
700,30400,4060527
700,30500,2833582
700,30600,2949481
700,30700,4127577
700,30800,3016310
700,30900,3185124
700,31000,2967127
700,31100,2797429
700,31200,4218439
700,31300,3094692
700,31400,4185467
700,31500,3031084
700,31600,2919641
700,31700,4642164
700,31800,4981186
700,31900,3323059
700,32000,4533225
700,32100,3318522
700,32200,5529497
700,32300,3070493
700,32400,2983944
700,32500,5031423
700,32600,3128898
700,32700,2980472
700,32800,3404860
700,32900,5621755
700,33000,3899562
700,33100,3903695
700,33200,3183392
700,33300,3294161
700,33400,3368879
700,33500,3549351
700,33600,5776449
700,33700,4167714
700,33800,3838108
700,33900,3415211
700,34000,3403958
700,34100,3614823
700,34200,5292309
700,34300,3382642
700,34400,3150485
700,34500,3948628
700,34600,5472338
700,34700,5659863
700,34800,4845474
700,34900,3261504
700,35000,3409066
