n,m,cmin,cmax,dual_lp
50,250,1,1,3664094
55,275,1,1,3702039
60,300,1,1,3736084
65,325,1,1,4146845
70,350,1,1,4214671
75,375,1,1,4483180
80,400,1,1,4765358
85,425,1,1,4792683
90,450,1,1,5809409
95,475,1,1,5022027
100,500,1,1,5495616
105,525,1,1,5818483
110,550,1,1,5572519
115,575,1,1,5898091
120,600,1,1,6400109
125,625,1,1,6393514
130,650,1,1,7333458
135,675,1,1,6806768
140,700,1,1,7178872
145,725,1,1,7824694
150,750,1,1,7970813
155,775,1,1,8028394
160,800,1,1,8387811
165,825,1,1,8433130
170,850,1,1,9152550
175,875,1,1,8532766
180,900,1,1,9148256
185,925,1,1,8859514
190,950,1,1,10358183
195,975,1,1,9810678
200,1000,1,1,10373735
205,1025,1,1,10887761
210,1050,1,1,11762181
215,1075,1,1,10681494
220,1100,1,1,11078768
225,1125,1,1,11613065
230,1150,1,1,12076146
235,1175,1,1,11472866
240,1200,1,1,11291716
245,1225,1,1,12413912
250,1250,1,1,12403674
255,1275,1,1,12764345
260,1300,1,1,12435705
265,1325,1,1,12872309
270,1350,1,1,12427207
275,1375,1,1,14105672
280,1400,1,1,14050820
285,1425,1,1,14367011
290,1450,1,1,14733649
295,1475,1,1,15154849
300,1500,1,1,15210764
305,1525,1,1,14158164
310,1550,1,1,14609002
315,1575,1,1,14589606
320,1600,1,1,15369276
325,1625,1,1,14945676
330,1650,1,1,14801395
335,1675,1,1,15179834
340,1700,1,1,15282669
345,1725,1,1,15827949
350,1750,1,1,16814959
355,1775,1,1,16265732
360,1800,1,1,16156905
365,1825,1,1,16914489
370,1850,1,1,16951560
375,1875,1,1,17019936
380,1900,1,1,17694352
385,1925,1,1,17224596
390,1950,1,1,17401572
395,1975,1,1,17459175
400,2000,1,1,19343907
405,2025,1,1,18921386
410,2050,1,1,19491186
415,2075,1,1,18967147
420,2100,1,1,20489286
425,2125,1,1,20194648
430,2150,1,1,19805423
435,2175,1,1,19889742
440,2200,1,1,19904236
445,2225,1,1,20314526
450,2250,1,1,21556029
455,2275,1,1,20958806
460,2300,1,1,21836427
465,2325,1,1,21004804
470,2350,1,1,21999908
475,2375,1,1,27333807
480,2400,1,1,24831674
485,2425,1,1,24323533
490,2450,1,1,24978321
495,2475,1,1,24937936
500,2500,1,1,27862123
505,2525,1,1,24673355
510,2550,1,1,29204404
515,2575,1,1,28380670
520,2600,1,1,27930648
525,2625,1,1,26431420
530,2650,1,1,26616601
535,2675,1,1,25760301
540,2700,1,1,28071227
545,2725,1,1,27018661
550,2750,1,1,24999189
555,2775,1,1,25409738
560,2800,1,1,26072706
565,2825,1,1,26679443
570,2850,1,1,25728822
575,2875,1,1,26285377
580,2900,1,1,27410603
585,2925,1,1,27658153
590,2950,1,1,26137945
595,2975,1,1,26683648
600,3000,1,1,27949361
605,3025,1,1,28474869
610,3050,1,1,27761241
615,3075,1,1,31123150
620,3100,1,1,27374043
625,3125,1,1,27824483
630,3150,1,1,28061276
635,3175,1,1,29618378
640,3200,1,1,27888035
645,3225,1,1,28142936
650,3250,1,1,31380447
655,3275,1,1,29368073
660,3300,1,1,29090558
665,3325,1,1,29737795
670,3350,1,1,29016829
675,3375,1,1,34819682
680,3400,1,1,34988588
685,3425,1,1,35963048
690,3450,1,1,33657955
695,3475,1,1,36507646
700,3500,1,1,36321711
705,3525,1,1,36145888
710,3550,1,1,36416293
715,3575,1,1,36061960
720,3600,1,1,37109131
725,3625,1,1,38241101
730,3650,1,1,37121531
735,3675,1,1,38687009
740,3700,1,1,37504017
745,3725,1,1,39823634
750,3750,1,1,39320090
755,3775,1,1,37383800
760,3800,1,1,39769429
765,3825,1,1,40503786
770,3850,1,1,39722263
775,3875,1,1,41069224
780,3900,1,1,43862113
785,3925,1,1,42642673
790,3950,1,1,41020574
795,3975,1,1,42982178
800,4000,1,1,41173225
805,4025,1,1,41283556
810,4050,1,1,41434353
815,4075,1,1,43483692
820,4100,1,1,47663596
825,4125,1,1,46026110
830,4150,1,1,44319137
835,4175,1,1,45931897
840,4200,1,1,46480274
845,4225,1,1,45710873
850,4250,1,1,44874922
855,4275,1,1,47741483
860,4300,1,1,49020549
865,4325,1,1,44200440
870,4350,1,1,46635958
875,4375,1,1,45318611
880,4400,1,1,47486002
885,4425,1,1,47884812
890,4450,1,1,47041783
895,4475,1,1,44675220
900,4500,1,1,50243579
905,4525,1,1,47498399
910,4550,1,1,48575135
915,4575,1,1,48092822
920,4600,1,1,49927553
