n,m,dinic
700,700,115713
700,800,129464
700,900,138575
700,1000,404896
700,1100,260372
700,1200,279292
700,1300,291944
700,1400,316330
700,1500,333562
700,1600,511437
700,1700,561162
700,1800,513341
700,1900,548872
700,2000,444366
700,2100,634314
700,2200,585606
700,2300,474320
700,2400,588618
700,2500,607377
700,2600,718109
700,2700,754361
700,2800,774483
700,2900,672496
700,3000,683060
700,3100,724270
700,3200,697920
700,3300,805122
700,3400,1152735
700,3500,716374
700,3600,1219579
700,3700,852824
700,3800,746167
700,3900,807741
700,4000,815512
700,4100,824152
700,4200,1188704
700,4300,851776
700,4400,1285645
700,4500,1095560
700,4600,1123484
700,4700,877406
700,4800,825367
700,4900,889371
700,5000,835200
700,5100,957036
700,5200,1166299
700,5300,813172
700,5400,1205544
700,5500,871000
700,5600,946544
700,5700,851517
700,5800,912662
700,5900,932628
700,6000,1173808
700,6100,921547
700,6200,928529
700,6300,854943
700,6400,961671
700,6500,1078450
700,6600,1031732
700,6700,974932
700,6800,980762
700,6900,1017635
700,7000,1009806
700,7100,958990
700,7200,934654
700,7300,1030966
700,7400,1011535
700,7500,1123112
700,7600,1327211
700,7700,1763560
700,7800,1653497
700,7900,1214435
700,8000,1145184
700,8100,1359442
700,8200,1193116
700,8300,1310009
700,8400,1184675
700,8500,1232252
700,8600,1669755
700,8700,1291783
700,8800,1627225
700,8900,1091883
700,9000,1127966
700,9100,1105805
700,9200,1377193
700,9300,1096103
700,9400,1069923
700,9500,1111042
700,9600,1151358
700,9700,1096684
700,9800,1036126
700,9900,1129824
700,10000,1048005
700,10100,1470382
700,10200,2077376
700,10300,1471521
700,10400,1394584
700,10500,1159952
700,10600,1127586
700,10700,1250311
700,10800,1950238
700,10900,1439433
700,11000,1499693
700,11100,1473759
700,11200,1474169
700,11300,1352610
700,11400,1539477
700,11500,1507503
700,11600,2009527
700,11700,2105711
700,11800,1648535
700,11900,1452382
700,12000,1687209
700,12100,1338203
700,12200,1260651
700,12300,1699895
700,12400,1406605
700,12500,1904973
700,12600,1862779
700,12700,1366360
700,12800,1408760
700,12900,1318533
700,13000,1435458
700,13100,1460844
700,13200,1753458
700,13300,1624927
700,13400,2189478
700,13500,1790344
700,13600,2136590
700,13700,1476299
700,13800,1656932
700,13900,2048638
700,14000,1490129
700,14100,1508646
700,14200,1408838
700,14300,1496927
700,14400,3115499
700,14500,1513514
700,14600,2284253
700,14700,1524150
700,14800,1514901
700,14900,1487661
700,15000,1775109
700,15100,1585204
700,15200,1622503
700,15300,1690395
700,15400,1549680
700,15500,1492014
700,15600,1842185
700,15700,1752854
700,15800,2284257
700,15900,3004871
700,16000,2861317
700,16100,1673770
700,16200,1897254
700,16300,1663024
700,16400,2324252
700,16500,1725343
700,16600,1860221
700,16700,1779747
700,16800,1721698
700,16900,1695575
700,17000,1852580
700,17100,3714194
700,17200,1876357
700,17300,3544359
700,17400,3030984
700,17500,1872147
700,17600,1983817
700,17700,1895926
700,17800,2957546
700,17900,2559696
700,18000,3415062
700,18100,2014684
700,18200,2747778
700,18300,2755333
700,18400,1888041
700,18500,1784074
700,18600,2067508
700,18700,2586865
700,18800,2001649
700,18900,2714722
700,19000,2192895
700,19100,1895853
700,19200,3234149
700,19300,1947287
700,19400,1971959
700,19500,2706915
700,19600,3509287
700,19700,2107292
700,19800,2938707
700,19900,3222782
700,20000,1911108
700,20100,2070907
700,20200,5159459
700,20300,2084626
700,20400,2048988
700,20500,2124579
700,20600,2368175
700,20700,2085282
700,20800,2395416
700,20900,2161874
700,21000,2546310
700,21100,1977191
