n,m,primal_lp
600,600,28379028
600,700,4344000
600,800,4430989
600,900,5258372
600,1000,4922615
600,1100,5144453
600,1200,5015880
600,1300,5365670
600,1400,5372161
600,1500,5477506
600,1600,5631532
600,1700,6447165
600,1800,9905510
600,1900,9615326
600,2000,9381864
600,2100,11661787
600,2200,10014533
600,2300,16474951
600,2400,10552016
600,2500,12409432
600,2600,16649956
600,2700,16117471
600,2800,19209914
600,2900,20120854
600,3000,21270823
600,3100,21485507
600,3200,26050925
600,3300,24263678
600,3400,23948108
600,3500,27508991
600,3600,25428311
600,3700,25029729
600,3800,24629110
600,3900,27543925
600,4000,32797981
600,4100,28182768
600,4200,28085342
600,4300,31406963
600,4400,28680680
600,4500,33074197
600,4600,30576956
600,4700,29516900
600,4800,33904816
600,4900,32896132
600,5000,32374798
600,5100,36624144
600,5200,36508333
600,5300,35039598
600,5400,36448889
600,5500,32219497
600,5600,35662484
600,5700,38459592
600,5800,39207273
600,5900,40429661
600,6000,44200386
600,6100,41744398
600,6200,40887293
600,6300,34197597
600,6400,35556842
600,6500,36156176
600,6600,38086488
600,6700,47914943
600,6800,35040635
600,6900,41123765
600,7000,40477119
600,7100,45074839
600,7200,43912295
600,7300,44777397
600,7400,41162426
600,7500,47032952
600,7600,45974568
600,7700,45017629
600,7800,48114151
600,7900,41218829
600,8000,46387573
600,8100,48947536
600,8200,50579437
600,8300,52923753
600,8400,46415748
600,8500,53554271
600,8600,48926646
600,8700,42276820
600,8800,48227255
600,8900,48347717
600,9000,47371128
600,9100,50757051
600,9200,49715335
600,9300,51733051
600,9400,54074874
600,9500,53453955
600,9600,57193376
600,9700,54095169
600,9800,53951746
600,9900,54498301
600,10000,60314732
600,10100,49091897
600,10200,55081117
600,10300,52874552
600,10400,63197288
600,10500,53268523
600,10600,59993912
600,10700,57161426
600,10800,73315241
600,10900,59557891
600,11000,58685697
600,11100,71596802
600,11200,63942754
600,11300,56429900
600,11400,64874465
600,11500,63091690
600,11600,67189271
600,11700,88559067
600,11800,67798817
600,11900,63450140
600,12000,72942425
600,12100,77533773
600,12200,70656688
600,12300,57002610
600,12400,62926814
600,12500,55995350
600,12600,75793954
600,12700,59716708
600,12800,67695916
600,12900,82358986
600,13000,73952874
600,13100,80822200
600,13200,73266117
600,13300,97395813
600,13400,80142308
600,13500,79890000
600,13600,77397509
600,13700,76329398
600,13800,83632285
600,13900,81803596
600,14000,70098999
600,14100,86899150
600,14200,63735741
600,14300,67549407
600,14400,89116785
600,14500,87187805
600,14600,84639840
600,14700,94753809
600,14800,103788090
600,14900,81954911
600,15000,88829338
600,15100,99398955
600,15200,100450580
600,15300,92661185
600,15400,106982777
600,15500,92387525
600,15600,104191912
600,15700,108216984
600,15800,108889628
600,15900,120736230
600,16000,104478416
600,16100,122155608
600,16200,106091546
600,16300,109642746
600,16400,112530941
600,16500,115518015
600,16600,114266872
600,16700,124533188
600,16800,124837385
600,16900,125676777
600,17000,117548709
600,17100,114737927
600,17200,127863854
600,17300,114568619
600,17400,112682140
600,17500,103265938
600,17600,117651050
600,17700,126524256
600,17800,131888641
600,17900,130817054
600,18000,135825030
600,18100,110510337
600,18200,118621596
600,18300,108862752
600,18400,126698387
600,18500,117443613
600,18600,132436769
600,18700,103565952
600,18800,129687536
600,18900,127076600
600,19000,126110228
600,19100,149869681
600,19200,138966232
600,19300,123365805
600,19400,140564119
600,19500,126383222
600,19600,132510919
600,19700,144073277
600,19800,164345178
600,19900,148128430
600,20000,173913136
600,20100,151512337
600,20200,150869476
600,20300,130652288
600,20400,158149422
600,20500,152113956
600,20600,154935960
600,20700,149171691
600,20800,166758761
600,20900,152646196
600,21000,136730041
600,21100,149296307
600,21200,143374976
600,21300,154513359
600,21400,146215514
600,21500,159261806
600,21600,154422175
600,21700,148475071
600,21800,169696636
600,21900,152218972
600,22000,172868390
600,22100,189322570
600,22200,166274536
600,22300,167762247
600,22400,161320417
600,22500,146617216
600,22600,167419920
600,22700,160334878
600,22800,171423925
600,22900,159298814
600,23000,169000634
600,23100,165706137
600,23200,101687161
600,23300,131901427
600,23400,116561107
600,23500,106395952
600,23600,104853600
600,23700,179917358
600,23800,188278800
600,23900,173460746
600,24000,172966184
600,24100,173234995
600,24200,164276478
600,24300,159850942
600,24400,169796898
600,24500,200304892
600,24600,190888874
600,24700,194192663
600,24800,190711319
600,24900,195088013
600,25000,172863233
600,25100,207333998
600,25200,182229141
600,25300,223853768
600,25400,224390404
600,25500,194054711
600,25600,186049184
600,25700,170914251
600,25800,200445348
600,25900,180978599
600,26000,201864459
600,26100,199778196
600,26200,193637264
600,26300,218042724
600,26400,214459289
600,26500,250367945
600,26600,237411289
600,26700,178783680
600,26800,215732379
600,26900,208708262
600,27000,201086212
600,27100,215969579
600,27200,180590886
600,27300,197479698
600,27400,210940975
600,27500,210559993
600,27600,212828193
600,27700,184819575
600,27800,197178447
600,27900,201203613
600,28000,224353227
600,28100,244468085
600,28200,217473242
600,28300,233101010
600,28400,203969340
600,28500,225709306
600,28600,237307788
600,28700,248039000
600,28800,237052405
600,28900,218793776
600,29000,197174885
600,29100,192008694
600,29200,254780021
600,29300,183595691
600,29400,203448522
600,29500,259727185
600,29600,229425445
600,29700,226678512
600,29800,258704919
600,29900,194202560
