n,m,dual_lp
1000,1000,26968103
1000,1100,17087746
1000,1200,10291096
1000,1300,10490975
1000,1400,11574670
1000,1500,12771729
1000,1600,13851671
1000,1700,15640287
1000,1800,17542872
1000,1900,19603120
1000,2000,20600577
1000,2100,19220208
1000,2200,20064523
1000,2300,21205315
1000,2400,22263569
1000,2500,24255159
1000,2600,25578855
1000,2700,25136545
1000,2800,26506040
1000,2900,27883673
1000,3000,31353188
1000,3100,28475706
1000,3200,32269281
1000,3300,33289484
1000,3400,37313188
1000,3500,35788316
1000,3600,36312936
1000,3700,37799922
1000,3800,43653574
1000,3900,38119527
1000,4000,45690959
1000,4100,41466902
1000,4200,42182989
1000,4300,47164934
1000,4400,47003443
1000,4500,48446094
1000,4600,47998074
1000,4700,49021239
1000,4800,49265786
1000,4900,51253966
1000,5000,50070886
1000,5100,50273435
1000,5200,51304350
1000,5300,52406080
1000,5400,52832129
1000,5500,54330821
1000,5600,54096878
1000,5700,59765410
1000,5800,59834501
1000,5900,62835342
1000,6000,62089968
1000,6100,62434598
1000,6200,63653636
1000,6300,62926678
1000,6400,64372956
1000,6500,63230529
1000,6600,69770687
1000,6700,70301339
1000,6800,68195332
1000,6900,68230748
1000,7000,69560313
1000,7100,72391180
1000,7200,73921064
1000,7300,73172471
1000,7400,73630967
1000,7500,71003686
1000,7600,100337344
1000,7700,125495917
1000,7800,111453629
1000,7900,108873861
1000,8000,126430874
1000,8100,121671074
1000,8200,112685760
1000,8300,119536925
1000,8400,132045777
1000,8500,116444054
1000,8600,111616800
1000,8700,123590040
1000,8800,123693567
1000,8900,139811466
1000,9000,125564581
1000,9100,128719010
1000,9200,129155939
1000,9300,130568125
1000,9400,131446764
1000,9500,130660019
1000,9600,131434536
1000,9700,132431943
1000,9800,147422980
1000,9900,135975018
1000,10000,131535938
1000,10100,156772830
1000,10200,160256279
1000,10300,172580629
1000,10400,179004210
1000,10500,197904795
1000,10600,169096780
1000,10700,170753191
1000,10800,176600095
1000,10900,182271268
1000,11000,181772568
1000,11100,192580237
1000,11200,181554600
1000,11300,204672574
1000,11400,185534989
1000,11500,203876177
1000,11600,191246683
1000,11700,186927561
1000,11800,230837459
1000,11900,194730395
1000,12000,203798400
1000,12100,199758230
1000,12200,207614931
1000,12300,204866396
1000,12400,205438277
1000,12500,208413415
1000,12600,203447053
1000,12700,225732421
1000,12800,218807149
1000,12900,213444652
1000,13000,225316932
1000,13100,219889233
1000,13200,230974015
1000,13300,236164086
1000,13400,244228199
1000,13500,235790840
1000,13600,245715690
1000,13700,236575920
1000,13800,249881581
1000,13900,251198261
1000,14000,238503622
1000,14100,260653185
1000,14200,257112507
1000,14300,267186416
1000,14400,258281233
1000,14500,252428771
1000,14600,260583047
1000,14700,258951904
1000,14800,274541214
1000,14900,264822755
1000,15000,280193656
1000,15100,289848515
1000,15200,281353900
1000,15300,284268270
1000,15400,278405472
1000,15500,287819878
1000,15600,294783430
1000,15700,302990659
1000,15800,284482751
1000,15900,303763119
1000,16000,311694139
1000,16100,311482585
1000,16200,308237286
1000,16300,297108709
1000,16400,310310779
1000,16500,306980766
1000,16600,304669365
1000,16700,331017126
1000,16800,327164854
1000,16900,312554584
1000,17000,337373721
1000,17100,407059879
1000,17200,322757610
1000,17300,324709286
1000,17400,339090682
1000,17500,337154270
1000,17600,356594003
1000,17700,354692681
1000,17800,360194483
1000,17900,361168719
1000,18000,348154008
1000,18100,340753085
1000,18200,348384623
1000,18300,345731652
1000,18400,373952006
1000,18500,371790289
1000,18600,393124761
1000,18700,375674157
1000,18800,375945485
1000,18900,383403788
1000,19000,383673421
1000,19100,409931012
1000,19200,404292789
1000,19300,399074274
1000,19400,381869613
1000,19500,411696891
1000,19600,402061962
1000,19700,402046392
1000,19800,392889748
1000,19900,403463468
1000,20000,419851075
1000,20100,414549064
1000,20200,422965514
1000,20300,411474024
1000,20400,422741904
1000,20500,433688301
1000,20600,439426831
1000,20700,423558901
1000,20800,428205414
1000,20900,423352389
1000,21000,442031840
1000,21100,429027372
1000,21200,470782901
1000,21300,523212632
1000,21400,602222716
1000,21500,519985706
1000,21600,500506012
1000,21700,501331939
1000,21800,515808725
1000,21900,486570742
1000,22000,525086334
1000,22100,516192069
1000,22200,525029415
1000,22300,516432498
1000,22400,513437307
1000,22500,536715663
1000,22600,549255056
1000,22700,530092990
1000,22800,539305613
1000,22900,539952037
1000,23000,557650172
1000,23100,542316052
1000,23200,530287612
1000,23300,550434154
1000,23400,578818493
1000,23500,612496035
1000,23600,595049661
1000,23700,605723337
1000,23800,598910728
1000,23900,708078323
1000,24000,562642620
1000,24100,606811113
1000,24200,616692758
1000,24300,594968914
1000,24400,628149869
1000,24500,610212398
1000,24600,615008039
1000,24700,605288599
1000,24800,605827867
1000,24900,614595783
1000,25000,613237401
1000,25100,634179417
1000,25200,635607776
1000,25300,620349935
1000,25400,600398277
1000,25500,627971432
1000,25600,641780601
1000,25700,635686605
1000,25800,605221024
1000,25900,581421036
1000,26000,597198810
1000,26100,594924867
1000,26200,597413637
1000,26300,586431026
1000,26400,637225970
1000,26500,591322796
1000,26600,645662438
1000,26700,636245613
1000,26800,630374118
1000,26900,646054835
1000,27000,661553524
1000,27100,644846028
1000,27200,638920093
1000,27300,631143753
1000,27400,647144937
1000,27500,644355267
1000,27600,636527580
1000,27700,671870628
1000,27800,649888771
1000,27900,665190010
1000,28000,666436045
1000,28100,701024379
1000,28200,701452232
1000,28300,668210230
1000,28400,653826470
1000,28500,679672548
1000,28600,679253604
1000,28700,702575663
1000,28800,677311611
1000,28900,689559626
1000,29000,818950608
1000,29100,743203830
1000,29200,713725475
1000,29300,712242172
1000,29400,677087792
1000,29500,711886839
1000,29600,701108659
1000,29700,714487996
1000,29800,755246373
1000,29900,763325882
1000,30000,737914238
1000,30100,758494879
1000,30200,731113212
1000,30300,782525290
1000,30400,745116293
1000,30500,754960960
1000,30600,763155436
1000,30700,780210020
1000,30800,757206215
1000,30900,784812947
1000,31000,802731750
1000,31100,1048489204
1000,31200,902906445
1000,31300,873089633
1000,31400,828716083
1000,31500,840657697
1000,31600,842611032
1000,31700,883160711
1000,31800,850791037
1000,31900,891693262
1000,32000,905438541
1000,32100,924674595
1000,32200,926671756
1000,32300,927543848
1000,32400,961664130
1000,32500,950196985
1000,32600,971401131
1000,32700,938853309
1000,32800,953881275
1000,32900,944008713
1000,33000,1009941845
1000,33100,997378104
1000,33200,1023112583
1000,33300,953790960
1000,33400,1016111988
1000,33500,978514239
1000,33600,976649158
1000,33700,1011901116
1000,33800,917462099
1000,33900,857331567
1000,34000,926913757
1000,34100,925306085
1000,34200,939218777
1000,34300,898808932
1000,34400,898264351
1000,34500,944580911
1000,34600,921914395
1000,34700,905361041
1000,34800,895857242
1000,34900,939125473
1000,35000,983658447
1000,35100,943357760
1000,35200,1002535277
1000,35300,957838420
1000,35400,989604666
1000,35500,973086268
1000,35600,1187509940
1000,35700,1177605890
1000,35800,1107183347
1000,35900,1097231962
1000,36000,1098733766
1000,36100,1082889578
1000,36200,584334750
1000,36300,1228831331
1000,36400,1208762384
1000,36500,1177648344
1000,36600,1137449781
1000,36700,1165563573
1000,36800,1164840655
1000,36900,1032760502
1000,37000,1057099305
1000,37100,1050346721
1000,37200,1144607308
1000,37300,1121895366
1000,37400,1076167855
1000,37500,518134867
1000,37600,1092144714
1000,37700,1120263517
1000,37800,1150318280
1000,37900,1120874196
1000,38000,1144305089
1000,38100,1076256763
1000,38200,1125072012
1000,38300,570343130
1000,38400,526761313
1000,38500,1111965679
1000,38600,574857362
1000,38700,1064256514
1000,38800,611227875
1000,38900,1097607199
1000,39000,1118249392
1000,39100,598800693
1000,39200,599312234
1000,39300,1088145120
1000,39400,1083145895
1000,39500,570626983
1000,39600,1108261351
1000,39700,1138542127
1000,39800,1195738112
1000,39900,667656574
1000,40000,1135879767
1000,40100,1199835398
1000,40200,1097162727
1000,40300,1220760899
1000,40400,1187744035
1000,40500,633383737
1000,40600,1172159250
1000,40700,637742509
1000,40800,549362797
1000,40900,661455782
1000,41000,1220400155
1000,41100,1243149690
1000,41200,637110678
1000,41300,616311325
1000,41400,585508378
1000,41500,693147758
1000,41600,623928400
1000,41700,1166543401
1000,41800,667328189
1000,41900,720569350
1000,42000,677756933
1000,42100,647819440
1000,42200,649548181
1000,42300,621994049
1000,42400,623803700
1000,42500,705401469
1000,42600,640075048
1000,42700,590825462
1000,42800,755275211
1000,42900,670283221
1000,43000,692252174
1000,43100,661317418
1000,43200,659132751
1000,43300,644522865
1000,43400,680394922
1000,43500,611206012
1000,43600,679685451
1000,43700,668047175
1000,43800,748222314
1000,43900,692239411
1000,44000,635834563
1000,44100,802431873
1000,44200,751070319
1000,44300,688239553
1000,44400,622642107
1000,44500,714014160
1000,44600,756866844
1000,44700,758947711
1000,44800,767168470
1000,44900,736484424
1000,45000,756540905
1000,45100,706346585
1000,45200,730565171
1000,45300,681482345
1000,45400,797188485
1000,45500,845439195
1000,45600,668993832
1000,45700,783188010
1000,45800,797666460
1000,45900,756417902
1000,46000,673542935
1000,46100,744149855
1000,46200,752374830
1000,46300,704468456
1000,46400,780649226
1000,46500,779293096
1000,46600,789957252
1000,46700,708072159
1000,46800,798440054
1000,46900,816073602
1000,47000,720941814
1000,47100,768751960
1000,47200,805821892
1000,47300,696486379
1000,47400,753709501
1000,47500,746230779
1000,47600,745304289
1000,47700,650241039
