n,m,cmin,cmax,primal_lp
50,700,1,100,30325959
55,770,1,100,4746871
60,840,1,100,5405342
65,910,1,100,5518246
70,980,1,100,5299291
75,1050,1,100,6300876
80,1120,1,100,5299727
85,1190,1,100,6407026
90,1260,1,100,6968401
95,1330,1,100,8322387
100,1400,1,100,7937985
105,1470,1,100,7883000
110,1540,1,100,9010229
115,1610,1,100,7177136
120,1680,1,100,9240555
125,1750,1,100,9998405
130,1820,1,100,9956407
135,1890,1,100,10607513
140,1960,1,100,11008037
145,2030,1,100,10422241
150,2100,1,100,11675028
155,2170,1,100,12378891
160,2240,1,100,12592538
165,2310,1,100,12511568
170,2380,1,100,13494845
175,2450,1,100,14209454
180,2520,1,100,15444856
185,2590,1,100,16407440
190,2660,1,100,15312606
195,2730,1,100,15146302
200,2800,1,100,12617695
205,2870,1,100,12060818
210,2940,1,100,16931587
215,3010,1,100,16212458
220,3080,1,100,18312604
225,3150,1,100,17130643
230,3220,1,100,17521352
235,3290,1,100,19148576
240,3360,1,100,19420097
245,3430,1,100,19549619
250,3500,1,100,19845242
255,3570,1,100,18830603
260,3640,1,100,19656610
265,3710,1,100,21198499
270,3780,1,100,22170356
275,3850,1,100,20461191
280,3920,1,100,22930040
285,3990,1,100,24168717
290,4060,1,100,24637001
295,4130,1,100,23401955
300,4200,1,100,23594086
305,4270,1,100,22883105
310,4340,1,100,23228891
315,4410,1,100,26048584
320,4480,1,100,28671394
325,4550,1,100,28990220
330,4620,1,100,26302242
335,4690,1,100,26951930
340,4760,1,100,26607433
345,4830,1,100,30666427
350,4900,1,100,27711223
355,4970,1,100,28175565
360,5040,1,100,30783867
365,5110,1,100,26186936
370,5180,1,100,30751123
375,5250,1,100,31807410
380,5320,1,100,32586088
385,5390,1,100,35273469
390,5460,1,100,31596780
395,5530,1,100,35936401
400,5600,1,100,31654295
405,5670,1,100,33213958
410,5740,1,100,33406754
415,5810,1,100,30617742
420,5880,1,100,36138852
425,5950,1,100,34643488
430,6020,1,100,33934357
435,6090,1,100,37267626
440,6160,1,100,37101331
445,6230,1,100,36877130
450,6300,1,100,37784620
455,6370,1,100,40663417
460,6440,1,100,42748300
465,6510,1,100,39840729
470,6580,1,100,40284174
475,6650,1,100,37823486
480,6720,1,100,40665821
