n,m,lp_runs,exp_lp
600,600,1,22703791
600,700,1,2918128
600,800,1,3156129
600,900,1,3160991
600,1000,1,3302224
600,1100,1,3878466
600,1200,1,4038458
600,1300,1,4163144
600,1400,1,3957518
600,1500,1,3980063
600,1600,1,4149679
600,1700,1,5426091
600,1800,37,32085043
600,1900,29,26045609
600,2000,22,21581198
600,2100,52,46540693
600,2200,31,30544208
600,2300,22,22044518
600,2400,36,34145288
600,2500,48,46195208
600,2600,44,46114927
600,2700,72,74268595
600,2800,49,51213567
600,2900,85,93780315
600,3000,76,84706176
600,3100,62,73054714
600,3200,71,128281097
600,3300,77,105089933
600,3400,72,84749941
600,3500,74,94102186
600,3600,69,84475762
600,3700,59,76410204
600,3800,88,115140401
600,3900,78,105062636
600,4000,79,105675591
600,4100,70,97952094
600,4200,77,111146785
600,4300,83,121235676
600,4400,64,91368292
600,4500,65,99648934
600,4600,79,117425512
600,4700,84,133918487
600,4800,78,119496080
600,4900,101,162178305
600,5000,99,160798768
600,5100,87,140047703
600,5200,105,171333225
600,5300,105,175283582
600,5400,86,146235989
600,5500,106,187346385
600,5600,88,151874274
600,5700,121,221223921
600,5800,96,178119904
600,5900,91,167957285
600,6000,102,188060070
600,6100,100,191777987
600,6200,106,206205279
600,6300,95,185748071
600,6400,81,159605329
600,6500,88,177696638
600,6600,109,227944750
600,6700,61,124358150
600,6800,79,166729626
600,6900,80,170051392
600,7000,76,161306118
600,7100,82,177709853
600,7200,104,234397957
600,7300,82,186814412
600,7400,70,156635036
600,7500,96,217206606
600,7600,96,224630154
600,7700,113,268413860
600,7800,97,233879957
600,7900,92,230369940
600,8000,137,341350131
600,8100,99,253380659
600,8200,110,280537653
600,8300,114,292182003
600,8400,120,317167883
600,8500,114,303350935
600,8600,114,305061378
600,8700,89,243956674
600,8800,155,425994471
600,8900,131,371440523
600,9000,105,316800213
600,9100,125,352760972
600,9200,103,297893072
600,9300,127,371911384
600,9400,107,315150942
600,9500,123,369265296
600,9600,126,384054732
600,9700,117,355331197
600,9800,137,421585635
600,9900,137,421620613
600,10000,134,423483177
600,10100,120,388405088
600,10200,138,459313142
600,10300,129,426689444
600,10400,140,462297847
600,10500,115,384708353
600,10600,140,477022390
600,10700,141,485506015
600,10800,158,557239068
600,10900,126,442790257
600,11000,127,455319772
600,11100,139,497520622
600,11200,158,571754393
600,11300,131,481283302
600,11400,179,670444910
600,11500,128,554951123
600,11600,116,447216031
600,11700,138,524725801
600,11800,129,495085764
600,11900,129,499042947
600,12000,152,596243953
600,12100,122,486575812
600,12200,145,577952081
600,12300,116,467319532
600,12400,133,550377116
600,12500,161,664001774
600,12600,141,583925913
600,12700,171,715299409
600,12800,148,615193805
600,12900,164,692924073
600,13000,171,728638767
600,13100,159,682537268
600,13200,124,533875388
600,13300,153,671939697
600,13400,154,677331041
600,13500,148,695625794
600,13600,171,769241883
600,13700,182,825812328
600,13800,175,794077751
600,13900,180,840981943
600,14000,188,899894865
600,14100,132,618807020
600,14200,191,919035880
600,14300,181,859707927
600,14400,191,911351283
600,14500,160,780275368
600,14600,185,897486197
600,14700,191,940655502
600,14800,182,893479569
600,14900,185,963205338
600,15000,166,829038340
600,15100,169,840652193
600,15200,188,951688073
600,15300,179,904013828
600,15400,188,950055069
600,15500,180,912365151
600,15600,196,1029850545
600,15700,203,1107068818
600,15800,174,941026108
600,15900,200,1051549470
600,16000,211,1149090185
600,16100,203,1115250255
600,16200,181,992505501
600,16300,200,1113544336
600,16400,205,1146847358
600,16500,196,1125491050
600,16600,197,1120675485
600,16700,177,1020408728
600,16800,226,1289891204
600,16900,204,1193786353
600,17000,206,1192946769
600,17100,197,1227133403
600,17200,197,1147874053
600,17300,170,1010138256
600,17400,155,926920827
600,17500,220,1288655838
600,17600,206,1231591668
600,17700,182,1099686328
600,17800,176,1057586929
600,17900,171,1064029671
600,18000,175,1089104557
600,18100,218,1352416555
600,18200,183,1139891861
600,18300,188,1171552133
600,18400,213,1380645174
600,18500,160,1009211072
600,18600,147,940882661
600,18700,193,1198584098
600,18800,222,1417539713
600,18900,184,1181415866
600,19000,229,1489690979
600,19100,191,1300806711
600,19200,213,1381224268
600,19300,237,1556682747
600,19400,202,1339259550
600,19500,197,1307916570
600,19600,231,1565790837
600,19700,215,1423998259
600,19800,247,1642203041
600,19900,247,1650168903
600,20000,222,1512212592
600,20100,205,1375043695
600,20200,238,1636880965
600,20300,250,1725331157
600,20400,229,1589184001
600,20500,233,1633366567
600,20600,226,1639351502
600,20700,236,1652530165
600,20800,292,2055537168
600,20900,249,1767864329
600,21000,262,1851841918
600,21100,214,1503710583
600,21200,212,1502499502
600,21300,239,1694799380
600,21400,257,1834115880
600,21500,262,1865332868
600,21600,260,1863962921
600,21700,236,1702868969
600,21800,222,1621549101
600,21900,246,1794442739
600,22000,265,2005115109
600,22100,230,1701675399
600,22200,225,1664719016
600,22300,257,1903717347
600,22400,216,1615234927
600,22500,239,1774070607
600,22600,270,2013546443
600,22700,219,1655182221
600,22800,215,1619525034
600,22900,274,2080671058
600,23000,267,2043151961
600,23100,278,2139714231
600,23200,261,2072502423
600,23300,267,2046011986
600,23400,232,1822036291
600,23500,259,1996963411
600,23600,263,2048978014
600,23700,267,2106757097
600,23800,283,2224648973
600,23900,252,2000617782
600,24000,256,2057199392
600,24100,238,1909249800
600,24200,235,1880989366
600,24300,239,1934098516
600,24400,244,2068561910
600,24500,262,2118845161
600,24600,260,2120307805
600,24700,240,2007249087
600,24800,265,2189440832
600,24900,279,2297408074
600,25000,261,2159301407
600,25100,280,2342694365
600,25200,247,2040224531
600,25300,266,2214104663
600,25400,283,2360961835
600,25500,271,2328365623
600,25600,246,2046437959
600,25700,276,2306897082
600,25800,268,2254502370
600,25900,235,1986028925
600,26000,275,2338624863
600,26100,253,2170026224
600,26200,234,2028489151
600,26300,257,2216743750
600,26400,255,2205434036
600,26500,271,2399591638
600,26600,233,2023323973
600,26700,253,2172496062
600,26800,242,2107821051
600,26900,273,2384170095
600,27000,293,2621097261
600,27100,256,2235618680
600,27200,225,1980209912
600,27300,262,2311843539
600,27400,243,2157976259
600,27500,261,2356221188
600,27600,260,2420934755
600,27700,260,2368779050
600,27800,272,2477690652
600,27900,276,2511544287
600,28000,317,2870870820
600,28100,244,2243497167
600,28200,289,2697216124
600,28300,259,2361825524
600,28400,253,2301099050
600,28500,282,2666094315
600,28600,302,2773663581
600,28700,268,2503856271
600,28800,245,2265452757
600,28900,266,2477238355
600,29000,289,2685099572
600,29100,287,2700874444
600,29200,285,2677977215
600,29300,274,2602981068
600,29400,280,2772470508
600,29500,289,2760234265
600,29600,292,2784324710
600,29700,255,2423656520
600,29800,301,2903615836
600,29900,303,2924066361
600,30000,284,2737004958
600,30100,295,2847544868
600,30200,255,2470236611
600,30300,270,2687567729
600,30400,272,2645978595
600,30500,264,2598508783
600,30600,278,2760876388
600,30700,301,2940772057
600,30800,284,2835255497
600,30900,278,2772661717
600,31000,315,3119564581
600,31100,293,3020580646
600,31200,285,2852130267
600,31300,320,3244584684
600,31400,292,2951947651
600,31500,290,2905764772
600,31600,274,2783541513
600,31700,322,3277916167
600,31800,281,2878351833
600,31900,308,3236058711
600,32000,243,2496468648
600,32100,296,3004975281
600,32200,269,2735861929
600,32300,280,2860735577
600,32400,277,2826986793
600,32500,269,2757829102
600,32600,289,2981600710
600,32700,280,2955002956
600,32800,297,3064127989
600,32900,325,3414590619
600,33000,309,3246084290
600,33100,313,3265726235
