n,m,cmin,cmax,dual_lp
50,750,1,1,8235149
55,825,1,1,9668713
60,900,1,1,11080553
65,975,1,1,10385291
70,1050,1,1,13632305
75,1125,1,1,19591942
80,1200,1,1,22267953
85,1275,1,1,23388867
90,1350,1,1,23808700
95,1425,1,1,21463586
100,1500,1,1,15989617
105,1575,1,1,18046682
110,1650,1,1,19998886
115,1725,1,1,24615918
120,1800,1,1,26944045
125,1875,1,1,22595825
130,1950,1,1,20766448
135,2025,1,1,21176298
140,2100,1,1,22956052
145,2175,1,1,24632616
150,2250,1,1,27496831
155,2325,1,1,30388238
160,2400,1,1,30789836
165,2475,1,1,30271824
170,2550,1,1,31855728
175,2625,1,1,29916115
180,2700,1,1,31794614
185,2775,1,1,33657666
190,2850,1,1,35272307
195,2925,1,1,33348438
200,3000,1,1,36309117
205,3075,1,1,41624501
210,3150,1,1,49929360
215,3225,1,1,41457349
220,3300,1,1,50196948
225,3375,1,1,45120860
230,3450,1,1,69678012
235,3525,1,1,70830518
240,3600,1,1,69204961
245,3675,1,1,71524159
250,3750,1,1,55328118
255,3825,1,1,54735462
260,3900,1,1,51367422
265,3975,1,1,77182239
270,4050,1,1,56066331
275,4125,1,1,52083141
280,4200,1,1,51538442
285,4275,1,1,53981631
290,4350,1,1,51162356
295,4425,1,1,58555922
300,4500,1,1,60096480
305,4575,1,1,59626890
310,4650,1,1,58207129
315,4725,1,1,56068233
320,4800,1,1,58843597
325,4875,1,1,67773427
330,4950,1,1,81216431
335,5025,1,1,64555006
340,5100,1,1,62043865
345,5175,1,1,64878735
350,5250,1,1,66889401
355,5325,1,1,66986911
360,5400,1,1,67370033
365,5475,1,1,64241321
370,5550,1,1,63735997
375,5625,1,1,65317277
380,5700,1,1,64738483
385,5775,1,1,63785832
390,5850,1,1,63897988
395,5925,1,1,63679905
400,6000,1,1,68009582
405,6075,1,1,76361501
410,6150,1,1,93749491
415,6225,1,1,84941069
420,6300,1,1,73764605
425,6375,1,1,67942560
430,6450,1,1,78544643
435,6525,1,1,75767565
440,6600,1,1,74787028
445,6675,1,1,84444063
450,6750,1,1,75094029
455,6825,1,1,82041555
460,6900,1,1,84117115
465,6975,1,1,74503305
470,7050,1,1,85828677
475,7125,1,1,82408172
480,7200,1,1,81619481
485,7275,1,1,78848176
490,7350,1,1,76565388
495,7425,1,1,76532525
500,7500,1,1,84964981
505,7575,1,1,93073290
510,7650,1,1,82167009
515,7725,1,1,88349770
520,7800,1,1,87294317
525,7875,1,1,88814292
530,7950,1,1,89096629
535,8025,1,1,80328524
540,8100,1,1,82891182
545,8175,1,1,101382863
550,8250,1,1,94721966
555,8325,1,1,104080143
560,8400,1,1,101852508
565,8475,1,1,98509016
570,8550,1,1,94390637
575,8625,1,1,102220259
580,8700,1,1,94668337
585,8775,1,1,93565346
590,8850,1,1,98390100
595,8925,1,1,94393162
600,9000,1,1,93083077
605,9075,1,1,100378211
610,9150,1,1,96748577
615,9225,1,1,97635801
620,9300,1,1,102796605
625,9375,1,1,96707411
630,9450,1,1,106385677
635,9525,1,1,104173743
640,9600,1,1,113175850
645,9675,1,1,111480043
650,9750,1,1,115316272
655,9825,1,1,151396286
660,9900,1,1,157062752
665,9975,1,1,108191596
670,10050,1,1,236844442
675,10125,1,1,245547346
680,10200,1,1,262988198
685,10275,1,1,271864313
690,10350,1,1,255072887
695,10425,1,1,269779881
700,10500,1,1,296183242
705,10575,1,1,313626928
710,10650,1,1,275994664
715,10725,1,1,305290781
720,10800,1,1,286059246
725,10875,1,1,251369296
730,10950,1,1,259101743
735,11025,1,1,269304761
740,11100,1,1,258315369
745,11175,1,1,276461785
750,11250,1,1,282382628
755,11325,1,1,275751501
760,11400,1,1,257228935
765,11475,1,1,291598673
770,11550,1,1,306897897
775,11625,1,1,278454227
780,11700,1,1,281628200
785,11775,1,1,299880305
790,11850,1,1,342168485
795,11925,1,1,309899096
800,12000,1,1,381042130
805,12075,1,1,317993171
810,12150,1,1,341944973
815,12225,1,1,288149437
820,12300,1,1,301893215
825,12375,1,1,293637976
830,12450,1,1,343676525
835,12525,1,1,289181548
840,12600,1,1,313909430
845,12675,1,1,293410943
850,12750,1,1,314971066
855,12825,1,1,303748835
860,12900,1,1,304245061
865,12975,1,1,372325344
870,13050,1,1,356592793
875,13125,1,1,305185668
880,13200,1,1,398563185
885,13275,1,1,468400253
890,13350,1,1,397044268
895,13425,1,1,367258031
900,13500,1,1,492474096
905,13575,1,1,432955058
910,13650,1,1,489829744
915,13725,1,1,439407615
920,13800,1,1,400611082
925,13875,1,1,400583774
930,13950,1,1,388957412
935,14025,1,1,470739770
940,14100,1,1,412567887
945,14175,1,1,495661661
950,14250,1,1,489467908
955,14325,1,1,405384625
960,14400,1,1,430904437
965,14475,1,1,506647261
970,14550,1,1,426287866
975,14625,1,1,402763963
980,14700,1,1,403260753
985,14775,1,1,437603361
990,14850,1,1,469285427
995,14925,1,1,450531680
1000,15000,1,1,543762999
1005,15075,1,1,509555289
1010,15150,1,1,555416451
1015,15225,1,1,568695787
1020,15300,1,1,746962544
1025,15375,1,1,473016831
1030,15450,1,1,447729927
1035,15525,1,1,517653911
1040,15600,1,1,511915304
1045,15675,1,1,458678390
1050,15750,1,1,446466733
1055,15825,1,1,414041150
1060,15900,1,1,518062836
1065,15975,1,1,429928929
1070,16050,1,1,418012311
1075,16125,1,1,459408554
1080,16200,1,1,434118302
1085,16275,1,1,394668010
1090,16350,1,1,473341526
1095,16425,1,1,483456714
1100,16500,1,1,525317787
1105,16575,1,1,527567700
1110,16650,1,1,448681534
1115,16725,1,1,583992683
1120,16800,1,1,457041752
1125,16875,1,1,431821945
1130,16950,1,1,469116523
1135,17025,1,1,499709957
1140,17100,1,1,488282069
1145,17175,1,1,435085084
1150,17250,1,1,410749425
1155,17325,1,1,434831784
1160,17400,1,1,474398411
1165,17475,1,1,435225973
1170,17550,1,1,479622813
1175,17625,1,1,424352744
1180,17700,1,1,421865173
1185,17775,1,1,434743371
1190,17850,1,1,509270560
1195,17925,1,1,501480393
1200,18000,1,1,469878040
1205,18075,1,1,523135264
1210,18150,1,1,504391690
1215,18225,1,1,487507819
1220,18300,1,1,493696166
1225,18375,1,1,587523055
1230,18450,1,1,535905969
1235,18525,1,1,510493351
1240,18600,1,1,492977190
1245,18675,1,1,483276840
1250,18750,1,1,496767853
1255,18825,1,1,611951586
1260,18900,1,1,512098336
1265,18975,1,1,615369092
1270,19050,1,1,486211753
1275,19125,1,1,577725701
1280,19200,1,1,579547060
1285,19275,1,1,913917951
1290,19350,1,1,1007093926
1295,19425,1,1,642632091
1300,19500,1,1,625283918
1305,19575,1,1,590530142
1310,19650,1,1,588747686
1315,19725,1,1,563251467
1320,19800,1,1,502161929
1325,19875,1,1,625183235
1330,19950,1,1,552016052
1335,20025,1,1,556125917
1340,20100,1,1,494336032
1345,20175,1,1,512938515
1350,20250,1,1,539960840
1355,20325,1,1,634193895
1360,20400,1,1,592169179
1365,20475,1,1,565108822
1370,20550,1,1,560254725
1375,20625,1,1,529974943
1380,20700,1,1,542358735
1385,20775,1,1,582144666
1390,20850,1,1,597218303
1395,20925,1,1,473349626
1400,21000,1,1,488587879
1405,21075,1,1,551836941
1410,21150,1,1,553932536
1415,21225,1,1,774114980
1420,21300,1,1,674880366
1425,21375,1,1,606528822
1430,21450,1,1,667064722
1435,21525,1,1,637535511
