n,m,dinic
100,100,27555
100,200,75040
100,300,110449
100,400,97418
100,500,96691
100,600,90051
100,700,92905
100,800,94742
100,900,98868
100,1000,105214
100,1100,154438
100,1200,136890
100,1300,126511
100,1400,130446
100,1500,149964
100,1600,173579
100,1700,167235
100,1800,170524
100,1900,203613
100,2000,179824
100,2100,234021
100,2200,182307
100,2300,175229
100,2400,169337
100,2500,179058
100,2600,178019
100,2700,244899
100,2800,254801
100,2900,198949
100,3000,302638
100,3100,251625
100,3200,327707
100,3300,423027
100,3400,274408
100,3500,282049
100,3600,367452
100,3700,328449
100,3800,330357
100,3900,262763
100,4000,266486
100,4100,378250
100,4200,367163
100,4300,396484
100,4400,418367
100,4500,390797
100,4600,410913
100,4700,418558
100,4800,676941
100,4900,455320
100,5000,425902
100,5100,426022
100,5200,456120
100,5300,475096
100,5400,512709
100,5500,460040
100,5600,466612
100,5700,484748
100,5800,485684
100,5900,593916
100,6000,644752
100,6100,532614
100,6200,517315
100,6300,575487
100,6400,541615
100,6500,549491
100,6600,637877
100,6700,611162
100,6800,578554
100,6900,634572
100,7000,624236
100,7100,645267
100,7200,624701
100,7300,749174
100,7400,667607
100,7500,612943
100,7600,519870
100,7700,466637
100,7800,495219
100,7900,499026
100,8000,493400
100,8100,586287
100,8200,761199
100,8300,668902
100,8400,608152
100,8500,752334
100,8600,571934
100,8700,1093524
100,8800,937750
100,8900,1003358
100,9000,878030
100,9100,937276
100,9200,1013237
100,9300,953046
100,9400,917621
100,9500,965707
100,9600,978481
100,9700,902490
100,9800,1070061
100,9900,863580
100,10000,566698
