n,m,dual_lp
700,36100,480183497
700,36200,497528149
700,36300,482045859
700,36400,472130100
700,36500,517956820
700,36600,495968260
700,36700,512298859
700,36800,487313383
700,36900,508203638
700,37000,484651793
700,37100,468343580
700,37200,489077567
700,37300,559517504
700,37400,520278811
700,37500,480249991
700,37600,479804314
700,37700,495446454
700,37800,458778991
700,37900,507862712
700,38000,498245538
700,38100,493947354
700,38200,475640187
700,38300,522256489
700,38400,492809289
700,38500,517421570
700,38600,612966087
700,38700,555780195
700,38800,614377930
700,38900,539455941
700,39000,509167543
700,39100,585623067
700,39200,557974350
700,39300,487445220
700,39400,526053571
700,39500,559573893
700,39600,517517250
700,39700,550493097
700,39800,522758880
700,39900,517386607
700,40000,582577311
700,40100,547349808
700,40200,565916379
700,40300,544890490
700,40400,546497015
700,40500,588798501
700,40600,587676414
700,40700,561810115
700,40800,595173775
700,40900,517549406
700,41000,622713002
700,41100,567458291
700,41200,611474160
700,41300,607746087
700,41400,591635577
700,41500,548404546
700,41600,547003532
700,41700,575168079
700,41800,576014270
700,41900,566372051
700,42000,651921229
700,42100,670445160
700,42200,635806667
700,42300,585723170
700,42400,586475847
700,42500,543987879
700,42600,570647894
700,42700,582243230
700,42800,544452242
700,42900,581213046
700,43000,678579203
700,43100,688917365
700,43200,659730180
700,43300,643493829
700,43400,597002830
700,43500,627607019
700,43600,638062110
700,43700,598060567
700,43800,590658940
700,43900,703904817
700,44000,634827524
700,44100,633313049
700,44200,590055718
700,44300,568052827
700,44400,716169434
700,44500,683944432
700,44600,688591565
700,44700,579482563
700,44800,650256942
700,44900,588565377
700,45000,670489461
700,45100,623395359
700,45200,689284374
700,45300,697597609
700,45400,626370349
700,45500,620687038
700,45600,708956214
700,45700,662661479
700,45800,662887698
700,45900,628829143
700,46000,624588372
700,46100,660896083
700,46200,669582894
700,46300,712539203
700,46400,704764345
700,46500,632578926
700,46600,659662840
700,46700,708832757
700,46800,677021935
700,46900,749737341
700,47000,654883528
700,47100,717910994
700,47200,704955281
700,47300,651657848
700,47400,658451014
700,47500,684904195
700,47600,796900420
700,47700,722255687
700,47800,768794291
700,47900,747583047
700,48000,707820877
700,48100,724593604
700,48200,743947571
700,48300,657472118
700,48400,674025207
700,48500,746496907
700,48600,758935918
700,48700,720030766
700,48800,747260493
700,48900,694121202
700,49000,754444778
700,49100,789716170
700,49200,720399952
700,49300,726860337
700,49400,736291765
700,49500,759368428
700,49600,802075789
700,49700,753833580
700,49800,754202470
700,49900,709125197
700,50000,742939529
700,50100,682571253
700,50200,729421034
