n,m,dinic
200,37500,2869052
200,37600,2326436
200,37700,2293024
200,37800,2367122
200,37900,2321805
200,38000,2181818
200,38100,2444908
200,38200,2386278
200,38300,2277059
200,38400,2673015
200,38500,2272468
200,38600,2580583
200,38700,2422882
200,38800,2654035
200,38900,3021724
200,39000,2897946
200,39100,2396658
200,39200,2527914
200,39300,2665329
200,39400,2835379
200,39500,2834028
200,39600,2656261
200,39700,2386775
200,39800,2678863
200,39900,2533334
200,40000,2643108
