n,m,cmin,cmax,primal_lp
50,650,1,1,25424774
55,715,1,1,4689647
60,780,1,1,5531506
65,845,1,1,4725982
70,910,1,1,4584442
75,975,1,1,5101568
80,1040,1,1,6011860
85,1105,1,1,5682310
90,1170,1,1,5809459
95,1235,1,1,10421078
100,1300,1,1,10477782
105,1365,1,1,11510729
110,1430,1,1,9181084
115,1495,1,1,6451812
120,1560,1,1,6273613
125,1625,1,1,9116918
130,1690,1,1,8354999
135,1755,1,1,8570842
140,1820,1,1,9411792
145,1885,1,1,9245716
150,1950,1,1,11112292
155,2015,1,1,11223374
160,2080,1,1,11919622
165,2145,1,1,14029509
170,2210,1,1,11965381
175,2275,1,1,11143596
180,2340,1,1,11979033
185,2405,1,1,9238825
190,2470,1,1,14125945
195,2535,1,1,14161071
200,2600,1,1,12746601
205,2665,1,1,13134004
210,2730,1,1,10803747
215,2795,1,1,15106183
220,2860,1,1,13685961
225,2925,1,1,14817037
230,2990,1,1,14881182
235,3055,1,1,15809071
240,3120,1,1,13495003
245,3185,1,1,12024035
250,3250,1,1,16251181
255,3315,1,1,17326109
260,3380,1,1,15885685
265,3445,1,1,17633060
270,3510,1,1,15484054
275,3575,1,1,17022637
280,3640,1,1,19344372
285,3705,1,1,19392123
290,3770,1,1,19390485
295,3835,1,1,21725751
300,3900,1,1,21261921
305,3965,1,1,19717695
310,4030,1,1,18266661
315,4095,1,1,19447488
320,4160,1,1,19263017
325,4225,1,1,18824416
330,4290,1,1,20664423
335,4355,1,1,21414297
340,4420,1,1,23529559
345,4485,1,1,20962553
350,4550,1,1,20942910
355,4615,1,1,20336130
360,4680,1,1,22900449
365,4745,1,1,21510833
370,4810,1,1,24106033
375,4875,1,1,23085764
380,4940,1,1,23669829
385,5005,1,1,22104741
390,5070,1,1,40077200
395,5135,1,1,23403707
400,5200,1,1,24256224
405,5265,1,1,25182842
410,5330,1,1,34236059
415,5395,1,1,24739426
420,5460,1,1,26400974
425,5525,1,1,27938179
430,5590,1,1,28114539
435,5655,1,1,25275452
440,5720,1,1,26049410
445,5785,1,1,25868981
450,5850,1,1,26051493
455,5915,1,1,28333549
460,5980,1,1,29554415
465,6045,1,1,27848745
470,6110,1,1,31364690
475,6175,1,1,31465575
480,6240,1,1,30775847
485,6305,1,1,33326744
490,6370,1,1,28415277
495,6435,1,1,31268160
500,6500,1,1,34784433
505,6565,1,1,28946043
510,6630,1,1,30684072
515,6695,1,1,32335488
520,6760,1,1,34251036
525,6825,1,1,33431164
530,6890,1,1,32360515
535,6955,1,1,35799608
540,7020,1,1,33832821
545,7085,1,1,34404504
550,7150,1,1,32039928
555,7215,1,1,31341505
560,7280,1,1,37449146
565,7345,1,1,38605939
570,7410,1,1,34956323
575,7475,1,1,35411629
580,7540,1,1,37618870
585,7605,1,1,37543813
590,7670,1,1,40834570
595,7735,1,1,38535351
600,7800,1,1,36010805
605,7865,1,1,37386683
610,7930,1,1,41079339
615,7995,1,1,38105012
620,8060,1,1,39382698
625,8125,1,1,43979516
630,8190,1,1,38568200
635,8255,1,1,39377219
640,8320,1,1,42407079
645,8385,1,1,43518063
650,8450,1,1,39410326
655,8515,1,1,40452842
660,8580,1,1,45771439
665,8645,1,1,41379131
670,8710,1,1,41874690
675,8775,1,1,44471625
680,8840,1,1,65092733
685,8905,1,1,73440200
690,8970,1,1,46976790
695,9035,1,1,47493248
700,9100,1,1,48680342
705,9165,1,1,48728460
710,9230,1,1,41895825
715,9295,1,1,54034630
720,9360,1,1,55962712
725,9425,1,1,55429777
730,9490,1,1,44742379
735,9555,1,1,44309597
740,9620,1,1,46377262
745,9685,1,1,44323818
750,9750,1,1,55470975
755,9815,1,1,52878213
760,9880,1,1,48340617
765,9945,1,1,44268708
770,10010,1,1,51873643
775,10075,1,1,51359092
780,10140,1,1,61287703
785,10205,1,1,47102189
790,10270,1,1,53324268
795,10335,1,1,57515749
800,10400,1,1,57162360
805,10465,1,1,54664180
810,10530,1,1,54450617
815,10595,1,1,50894210
820,10660,1,1,50031140
825,10725,1,1,73537895
830,10790,1,1,55568325
835,10855,1,1,75546904
840,10920,1,1,69167590
845,10985,1,1,64028516
850,11050,1,1,72610058
855,11115,1,1,66289670
860,11180,1,1,58477188
865,11245,1,1,71584198
870,11310,1,1,86792579
875,11375,1,1,71414173
880,11440,1,1,63357682
885,11505,1,1,83326810
890,11570,1,1,74094590
895,11635,1,1,68598252
900,11700,1,1,62262725
905,11765,1,1,76688241
910,11830,1,1,66375043
915,11895,1,1,70788150
920,11960,1,1,69103933
925,12025,1,1,71321294
930,12090,1,1,71010344
935,12155,1,1,77106272
940,12220,1,1,72936595
945,12285,1,1,73570457
950,12350,1,1,82646693
955,12415,1,1,81807379
960,12480,1,1,82348066
965,12545,1,1,79090035
970,12610,1,1,69986443
975,12675,1,1,83584046
980,12740,1,1,79454049
985,12805,1,1,90915005
990,12870,1,1,78213626
995,12935,1,1,79200299
1000,13000,1,1,70406598
1005,13065,1,1,84913765
1010,13130,1,1,87590044
1015,13195,1,1,82986053
1020,13260,1,1,90321257
1025,13325,1,1,87910448
1030,13390,1,1,83088332
1035,13455,1,1,90696208
1040,13520,1,1,84095216
1045,13585,1,1,86745163
1050,13650,1,1,98178378
1055,13715,1,1,97419791
1060,13780,1,1,81676748
1065,13845,1,1,94357858
1070,13910,1,1,84897771
1075,13975,1,1,97459075
1080,14040,1,1,93644836
1085,14105,1,1,103604688
1090,14170,1,1,89463296
1095,14235,1,1,98106142
1100,14300,1,1,114293151
1105,14365,1,1,92401995
1110,14430,1,1,100993816
1115,14495,1,1,104228627
1120,14560,1,1,94731141
1125,14625,1,1,99826575
1130,14690,1,1,107475993
1135,14755,1,1,82645100
1140,14820,1,1,93277433
1145,14885,1,1,96440292
1150,14950,1,1,92053238
1155,15015,1,1,94553093
1160,15080,1,1,116392431
1165,15145,1,1,118858922
1170,15210,1,1,115501555
1175,15275,1,1,120051485
1180,15340,1,1,122844177
1185,15405,1,1,122623835
1190,15470,1,1,121133006
1195,15535,1,1,118454272
1200,15600,1,1,123701870
1205,15665,1,1,124369477
1210,15730,1,1,127967622
1215,15795,1,1,124121384
1220,15860,1,1,123677780
1225,15925,1,1,119164539
1230,15990,1,1,122986736
