n,m,primal_lp
400,400,24598983
400,500,4117961
400,600,4579645
400,700,6056431
400,800,7666497
400,900,9795854
400,1000,12518463
400,1100,12168210
400,1200,11971580
400,1300,16728900
400,1400,15225832
400,1500,14278063
400,1600,14751020
400,1700,14249122
400,1800,17650216
400,1900,14767668
400,2000,19387432
400,2100,15538885
400,2200,17804530
400,2300,18432552
400,2400,18115908
400,2500,18932893
400,2600,18695455
400,2700,20410243
400,2800,22878994
400,2900,19593551
400,3000,20808221
400,3100,24205202
400,3200,21865113
400,3300,22785136
400,3400,24584990
400,3500,23757315
400,3600,23717419
400,3700,23677646
400,3800,22464493
400,3900,23582762
400,4000,22809540
400,4100,22160469
400,4200,26188998
400,4300,27035229
400,4400,22562891
400,4500,31113983
400,4600,30458192
400,4700,31215478
400,4800,31445325
400,4900,32300082
400,5000,33401484
400,5100,34992596
400,5200,33035681
400,5300,33826645
400,5400,33324252
400,5500,34650141
400,5600,38186783
400,5700,32814374
400,5800,33041612
400,5900,31738588
400,6000,36433137
400,6100,34179462
400,6200,37766235
400,6300,39127049
400,6400,35863175
400,6500,39426845
400,6600,42280503
400,6700,75330604
400,6800,52035663
400,6900,50195370
400,7000,39173297
400,7100,43953162
400,7200,44552118
400,7300,44300148
400,7400,50149711
400,7500,42195672
400,7600,44322984
400,7700,44226478
400,7800,40974495
400,7900,42398728
400,8000,49488564
400,8100,46574623
400,8200,51086215
400,8300,48415811
400,8400,52170880
400,8500,52515390
400,8600,47991117
400,8700,56074891
400,8800,46856786
400,8900,51193349
400,9000,51361631
400,9100,57734935
400,9200,56054764
400,9300,53154240
400,9400,57946365
400,9500,46368496
400,9600,55023213
400,9700,53276923
400,9800,65311778
400,9900,61895807
400,10000,56313046
400,10100,60798663
400,10200,55185755
400,10300,66311905
400,10400,59881450
400,10500,66070391
400,10600,65894579
400,10700,61115175
400,10800,65238109
400,10900,60622418
400,11000,72363220
400,11100,71560698
400,11200,70553279
400,11300,70820937
400,11400,69588781
400,11500,70321019
400,11600,61990724
400,11700,72062909
400,11800,70381194
400,11900,76200443
400,12000,82615150
400,12100,69688019
400,12200,78555574
400,12300,83773190
400,12400,75180721
400,12500,88671245
400,12600,83178178
400,12700,82295280
400,12800,84507814
400,12900,89973397
400,13000,82522669
400,13100,81890940
400,13200,86174459
400,13300,78197485
400,13400,88003184
400,13500,71823444
400,13600,88145027
400,13700,79233196
400,13800,77464706
400,13900,77668138
400,14000,81964690
400,14100,97842432
400,14200,72423014
400,14300,91783376
400,14400,91007587
400,14500,98201648
400,14600,81392092
400,14700,108175907
400,14800,83823310
400,14900,94270769
400,15000,77011674
400,15100,68991136
400,15200,109270069
400,15300,113138312
400,15400,83335726
400,15500,88445143
400,15600,76705642
400,15700,81245293
400,15800,112524668
400,15900,107900182
400,16000,129246440
400,16100,119916703
400,16200,130471707
400,16300,109020511
400,16400,132090592
400,16500,121920984
400,16600,114021744
400,16700,135378885
400,16800,123170348
400,16900,120237997
400,17000,130473348
400,17100,148245656
400,17200,88174956
400,17300,126333503
400,17400,124992001
400,17500,142201304
400,17600,154955528
400,17700,135319864
400,17800,134740043
400,17900,132444215
400,18000,156631590
400,18100,135641685
400,18200,135461027
400,18300,114327172
400,18400,137813766
400,18500,162560671
400,18600,161518133
400,18700,149448973
400,18800,140955768
400,18900,150848905
400,19000,141515199
400,19100,151551703
400,19200,174540219
400,19300,160780889
400,19400,169012211
400,19500,139535180
400,19600,188087928
400,19700,119269290
400,19800,182041994
400,19900,176156698
400,20000,169773318
400,20100,153128590
400,20200,177215903
400,20300,155230089
400,20400,178777452
400,20500,175962100
400,20600,157016353
400,20700,186337516
400,20800,175544311
400,20900,152688969
400,21000,165738740
400,21100,151067660
400,21200,171047907
400,21300,156181465
400,21400,196475447
400,21500,165542285
400,21600,209130271
400,21700,197990147
400,21800,161068362
400,21900,192248491
400,22000,155124206
400,22100,174646759
400,22200,183575035
400,22300,213643919
400,22400,195769866
400,22500,199745776
400,22600,168042647
400,22700,189669129
400,22800,185150225
400,22900,201406690
400,23000,184001069
400,23100,219064045
400,23200,190986949
400,23300,183871287
400,23400,215360052
400,23500,176727589
400,23600,215385391
400,23700,188988462
400,23800,202308739
400,23900,218663217
400,24000,184840114
400,24100,315038105
400,24200,239648283
400,24300,226497649
400,24400,225144635
400,24500,187284937
400,24600,196084885
400,24700,207701465
400,24800,244695656
400,24900,234206622
400,25000,201049127
400,25100,235655675
400,25200,235788039
400,25300,265585511
400,25400,249532462
400,25500,211191138
400,25600,244272256
400,25700,193283352
400,25800,258640750
400,25900,229869539
400,26000,128361754
400,26100,267996317
400,26200,211364333
400,26300,229690125
400,26400,264257727
400,26500,248515383
400,26600,204682595
400,26700,202621128
400,26800,274517382
400,26900,267109179
400,27000,227219005
400,27100,266435106
400,27200,292484010
400,27300,206427709
400,27400,253293575
400,27500,300597568
400,27600,266435755
400,27700,239206876
400,27800,250115722
400,27900,252674621
400,28000,256453434
400,28100,274291263
400,28200,295732848
400,28300,227871220
400,28400,278092170
400,28500,268388409
400,28600,278796583
400,28700,262039927
400,28800,236246487
400,28900,316869325
400,29000,252237869
400,29100,264227680
400,29200,254329065
400,29300,307826091
400,29400,259803236
400,29500,334157505
400,29600,319315065
400,29700,268991193
400,29800,281741721
400,29900,292098115
400,30000,313275408
400,30100,243676058
400,30200,241050743
400,30300,256384971
400,30400,279635891
400,30500,297941017
400,30600,256601226
400,30700,251504744
400,30800,316145907
400,30900,269749544
400,31000,325431955
400,31100,232244535
400,31200,327480179
400,31300,326214470
400,31400,297716602
400,31500,314364942
400,31600,248858582
400,31700,269540768
400,31800,308771252
400,31900,302760540
400,32000,290188735
400,32100,421734609
400,32200,304752716
400,32300,303777128
400,32400,267304816
400,32500,360929797
400,32600,283474130
400,32700,378143402
400,32800,291205301
400,32900,232414886
400,33000,323432053
400,33100,268781461
400,33200,340017446
400,33300,332533291
400,33400,252320007
400,33500,356198701
400,33600,382974443
400,33700,324325398
400,33800,289751846
400,33900,258263140
400,34000,299944281
400,34100,308021592
400,34200,362452644
400,34300,282714726
400,34400,261434668
400,34500,249515040
400,34600,302631221
400,34700,361338639
400,34800,252490895
400,34900,387537202
400,35000,327519024
400,35100,325631833
400,35200,368925333
400,35300,293866173
400,35400,298024268
400,35500,379602496
400,35600,365181245
400,35700,394851956
400,35800,319022673
400,35900,361324903
400,36000,314818515
400,36100,360599569
400,36200,280677482
400,36300,422580659
400,36400,310112326
400,36500,302330416
400,36600,361756984
400,36700,343885550
400,36800,301593143
400,36900,287001619
400,37000,343567670
400,37100,312334405
400,37200,397905791
400,37300,308245424
400,37400,346543245
400,37500,344814392
400,37600,399557520
400,37700,369183012
400,37800,353048276
400,37900,338196784
400,38000,338525679
400,38100,204287017
400,38200,227237996
400,38300,300521900
400,38400,311485743
400,38500,282213061
400,38600,350876059
400,38700,477846501
400,38800,218545677
400,38900,244443619
400,39000,248655900
400,39100,366389132
400,39200,355605942
