n,m,lp_runs,exp_lp
50,550,24,8713567
55,605,26,9072087
60,660,23,9286661
65,715,35,13547134
70,770,32,13100425
75,825,32,13232282
80,880,49,20426163
85,935,38,17174158
90,990,57,25675745
95,1045,32,15078741
100,1100,42,20300087
105,1155,35,17710680
110,1210,40,21277538
115,1265,47,26197742
120,1320,64,37186739
125,1375,62,35539707
130,1430,65,37312059
135,1485,46,27311346
140,1540,57,34266970
145,1595,38,25095864
150,1650,65,42859192
155,1705,53,34943508
160,1760,57,39363537
165,1815,68,45812137
170,1870,68,48903741
175,1925,56,40632044
180,1980,53,38679823
185,2035,64,47274667
190,2090,65,48504669
195,2145,61,48184911
200,2200,66,53616008
205,2255,73,59870783
210,2310,70,58484825
215,2365,76,64695372
220,2420,53,46350103
225,2475,50,43698589
230,2530,88,77137173
235,2585,71,63999976
240,2640,66,61540072
245,2695,52,48426230
250,2750,71,68285803
255,2805,77,77112663
260,2860,81,79518637
265,2915,70,136202063
270,2970,65,86521930
275,3025,57,59635302
280,3080,46,54938571
285,3135,51,56242600
290,3190,52,56218883
295,3245,49,53477483
300,3300,52,59375487
305,3355,49,56136149
310,3410,57,64610334
315,3465,52,60701808
320,3520,46,55993611
325,3575,50,60972077
330,3630,67,79504307
335,3685,60,74117414
340,3740,57,69564194
345,3795,46,57738896
350,3850,69,87858825
355,3905,48,63828304
360,3960,59,78006584
365,4015,33,46071778
370,4070,55,76473248
375,4125,38,52104298
380,4180,39,53497843
385,4235,50,68759836
390,4290,39,57548476
395,4345,35,53085122
400,4400,37,63446276
405,4455,42,61776820
410,4510,47,71471052
415,4565,40,61303316
420,4620,36,55918639
425,4675,34,53976611
430,4730,39,63954534
435,4785,47,74954140
440,4840,47,75373053
445,4895,34,57810181
450,4950,59,94003948
455,5005,35,59009825
460,5060,36,62993527
465,5115,58,95742043
470,5170,39,68320091
475,5225,44,78136361
480,5280,80,134244677
485,5335,34,61017424
490,5390,39,71567835
495,5445,26,48556331
500,5500,28,52163106
505,5555,38,71840048
510,5610,44,85447626
515,5665,37,69303339
520,5720,40,79375519
525,5775,48,92857227
530,5830,33,63406170
535,5885,46,90868723
540,5940,39,77943149
545,5995,48,92405237
550,6050,34,67693609
555,6105,36,74813893
560,6160,38,76451521
565,6215,62,125509562
570,6270,57,113363661
575,6325,51,105048716
580,6380,56,112637480
585,6435,37,77233800
590,6490,44,99415582
595,6545,56,115655537
600,6600,58,124671181
605,6655,53,113809377
610,6710,46,105227325
615,6765,51,110206633
620,6820,59,130413803
625,6875,39,96536958
630,6930,41,94729215
635,6985,52,119761605
640,7040,44,102569324
645,7095,46,109917732
650,7150,76,176567927
655,7205,62,148615589
660,7260,70,161212515
665,7315,73,171643485
670,7370,75,173693718
675,7425,70,167338019
680,7480,48,115863362
685,7535,74,180785315
690,7590,75,180735507
695,7645,68,170695383
700,7700,75,182809838
705,7755,62,157573395
710,7810,66,165143700
715,7865,65,168449215
720,7920,76,202094618
725,7975,47,129005941
730,8030,47,128041391
735,8085,42,111890707
740,8140,34,98034836
745,8195,59,159604409
750,8250,42,117544895
755,8305,63,169653736
760,8360,48,135039362
765,8415,46,132744348
770,8470,37,108676058
775,8525,76,210301935
780,8580,64,179588172
785,8635,62,176802278
790,8690,68,192788383
795,8745,65,187218361
800,8800,56,161236695
805,8855,80,236516016
810,8910,76,222638349
815,8965,65,191890801
820,9020,83,248420377
825,9075,53,156514162
830,9130,83,250794860
835,9185,79,246603273
840,9240,61,189964993
845,9295,89,274229076
850,9350,88,282798930
855,9405,89,281130135
860,9460,65,209289032
865,9515,73,249653268
870,9570,67,219907086
875,9625,87,276622202
880,9680,103,338658421
885,9735,91,296388879
890,9790,68,225742250
895,9845,108,361729923
900,9900,81,270464473
905,9955,64,217935330
910,10010,81,270030541
915,10065,81,276767640
920,10120,101,363376077
925,10175,117,414627737
930,10230,105,360069022
935,10285,106,375250008
940,10340,100,358733396
945,10395,105,373260574
950,10450,100,355383497
955,10505,120,433901541
960,10560,104,372584848
965,10615,74,268658112
970,10670,106,437379578
975,10725,87,317872645
980,10780,85,310569389
985,10835,132,493253868
990,10890,94,350924727
995,10945,97,385891807
1000,11000,104,406739946
1005,11055,120,553934993
1010,11110,95,369826360
1015,11165,92,349314682
1020,11220,94,365717530
1025,11275,104,413522800
1030,11330,118,474452405
1035,11385,129,513235708
1040,11440,103,409542157
1045,11495,107,430307378
1050,11550,81,336647487
1055,11605,105,431493572
1060,11660,102,418514529
1065,11715,107,441237076
1070,11770,93,383949706
1075,11825,103,430731723
1080,11880,94,393900483
1085,11935,110,466106954
1090,11990,102,429820261
1095,12045,123,518454539
1100,12100,95,405742820
1105,12155,105,450323171
1110,12210,111,477886426
1115,12265,105,456779327
1120,12320,96,423502821
1125,12375,133,591674476
1130,12430,111,502226041
1135,12485,123,566289120
1140,12540,107,490803147
1145,12595,116,530527236
1150,12650,112,513173774
1155,12705,135,611421670
1160,12760,104,486797041
1165,12815,128,594014049
1170,12870,128,605311709
1175,12925,111,513490602
1180,12980,118,561313564
1185,13035,122,587272534
1190,13090,125,597313284
1195,13145,142,673371871
1200,13200,116,560007026
1205,13255,116,571487822
1210,13310,147,732313478
1215,13365,131,643649815
1220,13420,126,632163021
1225,13475,136,679579225
1230,13530,127,613933524
1235,13585,123,605889379
1240,13640,103,593050140
1245,13695,108,534303279
1250,13750,128,636060073
1255,13805,109,559033530
1260,13860,115,606563705
1265,13915,121,626245904
1270,13970,127,651826347
1275,14025,135,708493619
1280,14080,122,633334732
1285,14135,128,655771925
1290,14190,155,817426044
1295,14245,131,686189949
1300,14300,142,748804312
1305,14355,128,678104170
1310,14410,125,668844804
1315,14465,140,755650113
1320,14520,142,754048945
1325,14575,126,686710540
1330,14630,126,677158137
1335,14685,133,727301435
1340,14740,116,632771617
1345,14795,130,703592783
1350,14850,128,703322938
1355,14905,114,620392795
1360,14960,130,718285935
