n,m,lp_runs,exp_lp
50,650,30,10800989
55,715,29,11027667
60,780,43,16560898
65,845,45,17971741
70,910,50,20903463
75,975,65,28626918
80,1040,54,24385842
85,1105,57,27035013
90,1170,47,22794652
95,1235,51,28125739
100,1300,63,35264588
105,1365,43,24414825
110,1430,33,19746311
115,1495,72,42273993
120,1560,72,43259589
125,1625,75,49442388
130,1690,63,41631171
135,1755,64,52237044
140,1820,70,46786882
145,1885,81,57711267
150,1950,59,43597518
155,2015,52,38465921
160,2080,55,41068626
165,2145,53,41473310
170,2210,57,47025040
175,2275,90,74342892
180,2340,80,65028745
185,2405,71,59430722
190,2470,74,64769728
195,2535,77,66888419
200,2600,55,48910660
205,2665,53,49719349
210,2730,63,60687585
215,2795,59,55713071
220,2860,82,78725577
225,2925,70,71611679
230,2990,79,78333135
235,3055,64,65382336
240,3120,63,65864125
245,3185,78,81629097
250,3250,74,78099254
255,3315,84,94242163
260,3380,87,95190205
265,3445,73,80998626
270,3510,88,101441167
275,3575,72,82297023
280,3640,67,78417788
285,3705,74,90497068
290,3770,56,68151600
295,3835,68,88058454
300,3900,72,94044765
305,3965,65,84568365
310,4030,66,87966080
315,4095,64,85908503
320,4160,69,91762830
325,4225,55,73701142
330,4290,52,74158647
335,4355,71,97849682
340,4420,45,63360895
345,4485,55,82808034
350,4550,53,76690095
355,4615,47,70211135
360,4680,45,69432678
365,4745,31,48441836
370,4810,45,69344192
375,4875,27,44706718
380,4940,35,59623029
385,5005,24,43649385
390,5070,39,64583082
395,5135,35,59527616
400,5200,33,59395796
405,5265,43,75362749
410,5330,34,59088897
415,5395,43,75336464
420,5460,46,80142866
425,5525,37,66167470
430,5590,55,98405793
435,5655,43,77266737
440,5720,41,75212849
445,5785,44,84674679
450,5850,45,83550066
455,5915,57,158328990
460,5980,62,114016485
465,6045,43,82904001
470,6110,43,85973041
475,6175,64,126869381
480,6240,77,149405525
485,6305,55,111091131
490,6370,53,108895302
495,6435,44,92977850
500,6500,52,107336107
505,6565,47,100810257
510,6630,77,157016238
515,6695,58,126276945
520,6760,51,112700194
525,6825,58,130305220
530,6890,50,111275889
535,6955,68,157143760
540,7020,49,112275530
545,7085,65,152296725
550,7150,49,115076506
555,7215,65,152382199
560,7280,68,153414651
565,7345,81,188626667
570,7410,57,132171856
575,7475,99,236639900
580,7540,49,119728723
585,7605,56,135451208
590,7670,51,123973190
595,7735,48,123316536
600,7800,66,162772488
605,7865,59,150049182
610,7930,79,196536891
615,7995,71,181250796
620,8060,53,138041874
625,8125,61,162205877
630,8190,74,191209135
635,8255,54,147613971
640,8320,64,170291208
645,8385,60,163847928
650,8450,43,120068918
655,8515,81,228540677
660,8580,64,184947912
665,8645,68,196816440
670,8710,77,224490265
675,8775,79,230819034
680,8840,63,184003120
685,8905,91,268191360
690,8970,88,265691337
695,9035,82,249941950
700,9100,102,303694296
705,9165,93,277135979
710,9230,81,242879611
715,9295,100,303346766
720,9360,107,326574907
725,9425,85,264457992
730,9490,68,213201839
735,9555,89,281493087
740,9620,71,226518446
745,9685,94,305348173
750,9750,94,299379697
755,9815,78,255300589
760,9880,80,262178602
765,9945,67,220498406
770,10010,94,310772406
775,10075,88,293810266
780,10140,101,340093728
785,10205,103,349448460
790,10270,112,377928065
795,10335,108,368383777
800,10400,106,370012954
805,10465,81,285170502
810,10530,109,379560560
815,10595,103,364626786
820,10660,115,407614201
825,10725,82,297714108
830,10790,71,257292207
835,10855,110,402219726
840,10920,94,349350465
845,10985,73,274640532
850,11050,123,453617731
855,11115,80,387881334
860,11180,98,383166266
865,11245,84,330404486
870,11310,98,375887147
875,11375,83,321179611
880,11440,105,416816445
885,11505,102,401046117
890,11570,80,318493142
895,11635,86,344178958
900,11700,113,457927946
905,11765,88,352112970
910,11830,83,338239954
915,11895,89,365036485
920,11960,98,407205688
925,12025,79,328791192
930,12090,96,400396382
935,12155,127,538748516
940,12220,89,383953363
945,12285,116,496255637
950,12350,94,405255096
955,12415,111,476648606
960,12480,133,583060507
965,12545,90,396123283
970,12610,130,560943156
975,12675,126,569524112
980,12740,127,572226640
985,12805,113,524118975
990,12870,116,543397136
995,12935,125,631320870
1000,13000,134,656853909
1005,13065,127,587585381
1010,13130,115,540226239
1015,13195,106,494919599
1020,13260,102,481649522
1025,13325,108,510650380
1030,13390,128,621793023
1035,13455,127,650397038
1040,13520,137,672059713
1045,13585,126,611215999
1050,13650,129,629597843
1055,13715,104,507188866
1060,13780,109,539023771
1065,13845,136,681030987
1070,13910,131,660513933
1075,13975,136,681650705
1080,14040,155,794183712
1085,14105,128,728772687
1090,14170,136,698275127
1095,14235,132,679530353
1100,14300,144,739578069
1105,14365,125,658541913
1110,14430,161,861744328
1115,14495,146,769118088
1120,14560,155,822819549
1125,14625,124,666055088
