n,m,cmin,cmax,dinic
50,600,1,1,80499
55,660,1,1,132674
60,720,1,1,140712
65,780,1,1,149894
70,840,1,1,145041
75,900,1,1,118421
80,960,1,1,120761
85,1020,1,1,120215
90,1080,1,1,190846
95,1140,1,1,165475
100,1200,1,1,194895
105,1260,1,1,164720
110,1320,1,1,180984
115,1380,1,1,213368
120,1440,1,1,344748
125,1500,1,1,215049
130,1560,1,1,194081
135,1620,1,1,192191
140,1680,1,1,205797
145,1740,1,1,195450
150,1800,1,1,238569
155,1860,1,1,214058
160,1920,1,1,255086
165,1980,1,1,218455
170,2040,1,1,213858
175,2100,1,1,244711
180,2160,1,1,252621
185,2220,1,1,254690
190,2280,1,1,301666
195,2340,1,1,254744
200,2400,1,1,292139
205,2460,1,1,313240
210,2520,1,1,280919
215,2580,1,1,316038
220,2640,1,1,426020
225,2700,1,1,297105
230,2760,1,1,338883
235,2820,1,1,292370
240,2880,1,1,343100
245,2940,1,1,377174
250,3000,1,1,421121
255,3060,1,1,456846
260,3120,1,1,430663
265,3180,1,1,476064
270,3240,1,1,471748
275,3300,1,1,389639
280,3360,1,1,384134
285,3420,1,1,428599
290,3480,1,1,411121
295,3540,1,1,413673
300,3600,1,1,431087
305,3660,1,1,368695
310,3720,1,1,547954
315,3780,1,1,541663
320,3840,1,1,387532
325,3900,1,1,430226
330,3960,1,1,428473
335,4020,1,1,431091
340,4080,1,1,524627
345,4140,1,1,493163
350,4200,1,1,506932
355,4260,1,1,605940
360,4320,1,1,461587
365,4380,1,1,533849
370,4440,1,1,526223
375,4500,1,1,513706
380,4560,1,1,561711
385,4620,1,1,567101
390,4680,1,1,445574
395,4740,1,1,575609
400,4800,1,1,567304
405,4860,1,1,689385
410,4920,1,1,568203
415,4980,1,1,528283
420,5040,1,1,672707
425,5100,1,1,649043
430,5160,1,1,1121724
435,5220,1,1,633899
440,5280,1,1,655425
445,5340,1,1,674231
450,5400,1,1,700943
455,5460,1,1,784671
460,5520,1,1,1008581
465,5580,1,1,724608
470,5640,1,1,688025
475,5700,1,1,721088
480,5760,1,1,741720
485,5820,1,1,684675
490,5880,1,1,706615
495,5940,1,1,717223
500,6000,1,1,714401
505,6060,1,1,728727
510,6120,1,1,675891
515,6180,1,1,874245
520,6240,1,1,1067721
525,6300,1,1,746223
530,6360,1,1,767486
535,6420,1,1,920337
540,6480,1,1,696995
545,6540,1,1,637326
550,6600,1,1,844747
555,6660,1,1,978633
560,6720,1,1,898147
565,6780,1,1,855385
570,6840,1,1,808890
575,6900,1,1,825708
580,6960,1,1,736787
585,7020,1,1,797194
590,7080,1,1,1003694
595,7140,1,1,927247
600,7200,1,1,1036184
605,7260,1,1,1026252
610,7320,1,1,1041385
615,7380,1,1,1009695
620,7440,1,1,1052906
625,7500,1,1,898994
630,7560,1,1,1000773
635,7620,1,1,1038637
640,7680,1,1,1273317
645,7740,1,1,1104005
650,7800,1,1,1096410
655,7860,1,1,1111642
660,7920,1,1,1111627
665,7980,1,1,1235503
670,8040,1,1,1095688
675,8100,1,1,1035312
680,8160,1,1,1316835
685,8220,1,1,1120926
690,8280,1,1,1216328
695,8340,1,1,1193250
700,8400,1,1,999885
705,8460,1,1,1238824
710,8520,1,1,1172173
715,8580,1,1,1585391
720,8640,1,1,1164092
725,8700,1,1,993744
730,8760,1,1,1074928
735,8820,1,1,1275894
740,8880,1,1,1046132
745,8940,1,1,1067341
750,9000,1,1,1321339
755,9060,1,1,1173304
760,9120,1,1,1351867
765,9180,1,1,1077008
770,9240,1,1,1138188
775,9300,1,1,1161379
780,9360,1,1,1039008
785,9420,1,1,1072561
790,9480,1,1,1734652
795,9540,1,1,1213138
800,9600,1,1,1389434
805,9660,1,1,1493596
810,9720,1,1,1440557
815,9780,1,1,1435602
820,9840,1,1,1258852
825,9900,1,1,1253355
830,9960,1,1,1501828
835,10020,1,1,1235238
840,10080,1,1,1603720
845,10140,1,1,1496409
850,10200,1,1,1502192
855,10260,1,1,1505443
860,10320,1,1,1488041
865,10380,1,1,1436930
870,10440,1,1,1569509
875,10500,1,1,1591598
880,10560,1,1,1540293
885,10620,1,1,1624423
890,10680,1,1,1556467
895,10740,1,1,1598134
900,10800,1,1,1602684
905,10860,1,1,1411442
910,10920,1,1,2097130
915,10980,1,1,1670876
920,11040,1,1,1397702
925,11100,1,1,1465307
930,11160,1,1,1407657
935,11220,1,1,1581575
940,11280,1,1,1478747
945,11340,1,1,1455920
950,11400,1,1,1534398
955,11460,1,1,1673349
960,11520,1,1,1573769
965,11580,1,1,1701484
970,11640,1,1,1683385
975,11700,1,1,1642593
980,11760,1,1,1569659
985,11820,1,1,1967949
990,11880,1,1,1526335
995,11940,1,1,1590997
1000,12000,1,1,1548471
1005,12060,1,1,1678623
1010,12120,1,1,1520195
1015,12180,1,1,1309274
1020,12240,1,1,1772873
1025,12300,1,1,1477399
1030,12360,1,1,1772255
1035,12420,1,1,1819840
1040,12480,1,1,1719895
1045,12540,1,1,2089088
1050,12600,1,1,1639474
1055,12660,1,1,1336478
1060,12720,1,1,1715940
1065,12780,1,1,1762118
1070,12840,1,1,2059340
1075,12900,1,1,1877296
1080,12960,1,1,1573081
1085,13020,1,1,1770643
1090,13080,1,1,1700758
1095,13140,1,1,1959096
1100,13200,1,1,1913403
1105,13260,1,1,1911119
1110,13320,1,1,2653212
1115,13380,1,1,2170125
1120,13440,1,1,1717405
1125,13500,1,1,2035798
1130,13560,1,1,1799175
1135,13620,1,1,1834987
1140,13680,1,1,1980708
1145,13740,1,1,1775276
1150,13800,1,1,2056248
1155,13860,1,1,1938006
1160,13920,1,1,1856932
1165,13980,1,1,1885989
1170,14040,1,1,1966796
1175,14100,1,1,2210339
1180,14160,1,1,2053648
1185,14220,1,1,2040933
1190,14280,1,1,2109116
1195,14340,1,1,1834441
1200,14400,1,1,2028285
1205,14460,1,1,2805260
1210,14520,1,1,2183075
1215,14580,1,1,2460460
1220,14640,1,1,2127747
1225,14700,1,1,2356225
1230,14760,1,1,2120333
1235,14820,1,1,2458970
1240,14880,1,1,2272488
1245,14940,1,1,1842096
1250,15000,1,1,1968994
1255,15060,1,1,2560971
1260,15120,1,1,2305480
1265,15180,1,1,2922106
1270,15240,1,1,2242619
1275,15300,1,1,2310899
1280,15360,1,1,3002981
1285,15420,1,1,2394307
1290,15480,1,1,2424733
1295,15540,1,1,2567530
1300,15600,1,1,2451667
1305,15660,1,1,2310947
1310,15720,1,1,2296142
1315,15780,1,1,2266992
1320,15840,1,1,2136050
1325,15900,1,1,2587606
1330,15960,1,1,2438787
1335,16020,1,1,2306077
1340,16080,1,1,2114005
1345,16140,1,1,2336016
1350,16200,1,1,2184660
1355,16260,1,1,2415851
1360,16320,1,1,2127068
1365,16380,1,1,2408255
1370,16440,1,1,2564905
1375,16500,1,1,2337114
1380,16560,1,1,2972959
1385,16620,1,1,2495638
1390,16680,1,1,2570974
1395,16740,1,1,2503354
1400,16800,1,1,2515479
1405,16860,1,1,2969555
1410,16920,1,1,2561006
1415,16980,1,1,2450909
1420,17040,1,1,2398096
1425,17100,1,1,2567597
1430,17160,1,1,2508281
1435,17220,1,1,2599641
1440,17280,1,1,2474482
1445,17340,1,1,2550584
1450,17400,1,1,2689021
1455,17460,1,1,3048268
1460,17520,1,1,2769101
1465,17580,1,1,2638118
1470,17640,1,1,2645155
1475,17700,1,1,2955266
1480,17760,1,1,3212146
1485,17820,1,1,2863287
1490,17880,1,1,5989626
1495,17940,1,1,3755406
1500,18000,1,1,2880738
1505,18060,1,1,2864956
1510,18120,1,1,4367000
1515,18180,1,1,2550060
1520,18240,1,1,2774502
1525,18300,1,1,3571622
1530,18360,1,1,3023005
1535,18420,1,1,2658419
1540,18480,1,1,2603819
1545,18540,1,1,2999921
1550,18600,1,1,2844571
1555,18660,1,1,2825535
1560,18720,1,1,2932107
1565,18780,1,1,2771181
1570,18840,1,1,2734044
1575,18900,1,1,2868614
1580,18960,1,1,2876308
1585,19020,1,1,2986863
1590,19080,1,1,3643416
1595,19140,1,1,3724273
1600,19200,1,1,3356434
1605,19260,1,1,3290859
1610,19320,1,1,2881567
1615,19380,1,1,3186781
1620,19440,1,1,3346156
1625,19500,1,1,2625590
1630,19560,1,1,2742044
1635,19620,1,1,3109993
1640,19680,1,1,3400953
1645,19740,1,1,2939737
1650,19800,1,1,2772920
1655,19860,1,1,3067309
1660,19920,1,1,2579513
1665,19980,1,1,2716080
1670,20040,1,1,2947099
1675,20100,1,1,2625568
1680,20160,1,1,2762640
1685,20220,1,1,2737287
1690,20280,1,1,2740846
1695,20340,1,1,2768387
1700,20400,1,1,4134776
1705,20460,1,1,2923913
1710,20520,1,1,2512224
1715,20580,1,1,2876363
1720,20640,1,1,3652229
1725,20700,1,1,3036424
1730,20760,1,1,2982472
1735,20820,1,1,2593864
1740,20880,1,1,2836281
