n,m,cmin,cmax,dinic
50,450,1,100,112122
55,495,1,100,67482
60,540,1,100,74294
65,585,1,100,69355
70,630,1,100,84938
75,675,1,100,93080
80,720,1,100,102157
85,765,1,100,93745
90,810,1,100,123849
95,855,1,100,130412
100,900,1,100,141994
105,945,1,100,129781
110,990,1,100,154409
115,1035,1,100,147718
120,1080,1,100,158313
125,1125,1,100,172172
130,1170,1,100,200872
135,1215,1,100,191092
140,1260,1,100,176616
145,1305,1,100,184046
150,1350,1,100,201186
155,1395,1,100,220906
160,1440,1,100,305421
165,1485,1,100,334232
170,1530,1,100,317940
175,1575,1,100,253798
180,1620,1,100,339972
185,1665,1,100,289848
190,1710,1,100,323815
195,1755,1,100,269619
200,1800,1,100,328568
205,1845,1,100,327398
210,1890,1,100,329745
215,1935,1,100,342424
220,1980,1,100,333812
225,2025,1,100,342503
230,2070,1,100,376607
235,2115,1,100,338653
240,2160,1,100,334361
245,2205,1,100,341326
250,2250,1,100,352417
255,2295,1,100,328590
260,2340,1,100,358767
265,2385,1,100,368555
270,2430,1,100,394685
275,2475,1,100,442620
280,2520,1,100,485956
285,2565,1,100,470025
290,2610,1,100,395019
295,2655,1,100,460634
300,2700,1,100,405816
305,2745,1,100,437969
310,2790,1,100,531715
315,2835,1,100,538127
320,2880,1,100,655028
325,2925,1,100,462051
330,2970,1,100,494528
335,3015,1,100,493237
340,3060,1,100,473235
345,3105,1,100,429771
350,3150,1,100,507300
355,3195,1,100,453173
360,3240,1,100,440147
365,3285,1,100,438638
370,3330,1,100,457349
375,3375,1,100,450315
380,3420,1,100,509008
385,3465,1,100,471543
390,3510,1,100,473967
395,3555,1,100,478881
400,3600,1,100,531605
405,3645,1,100,562310
410,3690,1,100,415481
415,3735,1,100,520095
420,3780,1,100,515718
425,3825,1,100,542363
430,3870,1,100,560974
435,3915,1,100,557553
440,3960,1,100,641155
445,4005,1,100,744425
450,4050,1,100,625223
455,4095,1,100,825329
460,4140,1,100,763360
465,4185,1,100,652945
470,4230,1,100,654418
475,4275,1,100,607487
480,4320,1,100,613963
485,4365,1,100,618867
490,4410,1,100,517231
495,4455,1,100,678509
500,4500,1,100,671354
505,4545,1,100,665093
510,4590,1,100,779166
515,4635,1,100,831884
520,4680,1,100,679917
525,4725,1,100,745748
530,4770,1,100,743204
535,4815,1,100,688103
540,4860,1,100,717134
545,4905,1,100,696555
550,4950,1,100,706216
555,4995,1,100,774530
560,5040,1,100,784671
565,5085,1,100,769890
570,5130,1,100,793197
575,5175,1,100,741091
580,5220,1,100,756107
585,5265,1,100,747301
590,5310,1,100,823498
595,5355,1,100,790456
600,5400,1,100,793794
605,5445,1,100,941359
610,5490,1,100,881797
615,5535,1,100,814142
620,5580,1,100,848165
625,5625,1,100,833662
630,5670,1,100,965585
635,5715,1,100,963955
640,5760,1,100,969392
645,5805,1,100,849804
650,5850,1,100,864680
655,5895,1,100,871150
660,5940,1,100,1457785
665,5985,1,100,896860
670,6030,1,100,715591
675,6075,1,100,942502
680,6120,1,100,743195
685,6165,1,100,904638
690,6210,1,100,1043960
695,6255,1,100,915862
700,6300,1,100,1150958
705,6345,1,100,1187754
710,6390,1,100,1532140
715,6435,1,100,1440187
720,6480,1,100,1129130
725,6525,1,100,950145
730,6570,1,100,1121096
735,6615,1,100,947893
740,6660,1,100,954765
745,6705,1,100,974161
750,6750,1,100,963263
755,6795,1,100,997203
760,6840,1,100,1536581
765,6885,1,100,1646189
770,6930,1,100,1674549
775,6975,1,100,1680518
780,7020,1,100,1599547
785,7065,1,100,2297511
790,7110,1,100,1783598
795,7155,1,100,1693486
800,7200,1,100,1723530
805,7245,1,100,2171853
810,7290,1,100,1922825
815,7335,1,100,2032091
820,7380,1,100,1953033
825,7425,1,100,1971713
830,7470,1,100,1908588
835,7515,1,100,2680603
840,7560,1,100,1973557
845,7605,1,100,2021555
850,7650,1,100,2483458
855,7695,1,100,1298499
860,7740,1,100,1363899
865,7785,1,100,1265979
870,7830,1,100,2210990
875,7875,1,100,2739943
880,7920,1,100,2082676
885,7965,1,100,2105497
890,8010,1,100,1303668
895,8055,1,100,1387102
900,8100,1,100,1227382
905,8145,1,100,1444154
910,8190,1,100,1188639
915,8235,1,100,1254381
920,8280,1,100,1462596
925,8325,1,100,1268049
930,8370,1,100,1860082
935,8415,1,100,1298204
940,8460,1,100,1500734
945,8505,1,100,1491142
950,8550,1,100,1571252
955,8595,1,100,1557002
960,8640,1,100,1573773
965,8685,1,100,1668270
970,8730,1,100,1588616
975,8775,1,100,1523460
980,8820,1,100,1424652
985,8865,1,100,1508747
990,8910,1,100,1331955
995,8955,1,100,1532722
1000,9000,1,100,1499679
1005,9045,1,100,1707181
1010,9090,1,100,1743331
1015,9135,1,100,1682159
1020,9180,1,100,1682102
1025,9225,1,100,1598891
1030,9270,1,100,1735588
1035,9315,1,100,1810444
1040,9360,1,100,2630720
1045,9405,1,100,1812323
1050,9450,1,100,1799191
1055,9495,1,100,1770430
1060,9540,1,100,1821820
1065,9585,1,100,1858797
1070,9630,1,100,1852794
1075,9675,1,100,1819964
1080,9720,1,100,2333839
1085,9765,1,100,1672593
1090,9810,1,100,2386511
1095,9855,1,100,1721262
1100,9900,1,100,2215502
1105,9945,1,100,1765306
1110,9990,1,100,2120269
1115,10035,1,100,1836275
1120,10080,1,100,1704509
1125,10125,1,100,1913448
1130,10170,1,100,1891779
1135,10215,1,100,1816577
1140,10260,1,100,1965857
1145,10305,1,100,1784948
1150,10350,1,100,1725689
1155,10395,1,100,1863047
1160,10440,1,100,1835753
1165,10485,1,100,1909182
1170,10530,1,100,1769666
1175,10575,1,100,1585259
1180,10620,1,100,1546853
1185,10665,1,100,2038504
1190,10710,1,100,1858951
1195,10755,1,100,1871150
1200,10800,1,100,1607809
1205,10845,1,100,2060322
1210,10890,1,100,1999698
1215,10935,1,100,1951515
1220,10980,1,100,1988243
1225,11025,1,100,2359223
1230,11070,1,100,1910049
1235,11115,1,100,2221334
1240,11160,1,100,2018681
1245,11205,1,100,2389003
1250,11250,1,100,2023964
1255,11295,1,100,2248454
1260,11340,1,100,2156310
1265,11385,1,100,2114522
1270,11430,1,100,2090891
1275,11475,1,100,1972571
1280,11520,1,100,1972777
1285,11565,1,100,1904042
1290,11610,1,100,1933976
1295,11655,1,100,2111325
1300,11700,1,100,2044713
1305,11745,1,100,2012969
1310,11790,1,100,2040108
1315,11835,1,100,2302727
1320,11880,1,100,2072957
1325,11925,1,100,2151112
1330,11970,1,100,2207968
1335,12015,1,100,1915599
1340,12060,1,100,1747673
1345,12105,1,100,1787770
1350,12150,1,100,2059604
1355,12195,1,100,2168281
1360,12240,1,100,1775877
1365,12285,1,100,2014591
1370,12330,1,100,2219324
1375,12375,1,100,2056598
1380,12420,1,100,2127512
1385,12465,1,100,2608452
1390,12510,1,100,2396129
1395,12555,1,100,1972205
1400,12600,1,100,2423251
1405,12645,1,100,2507845
1410,12690,1,100,2337424
1415,12735,1,100,3084066
1420,12780,1,100,1904785
1425,12825,1,100,2565938
